# Cloud Services Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Service_Name,Provider,Category,Region,Price_Per_Hour_USD,Price_Per_Month_USD,Storage_GB,CPU_Cores,Memory_GB,Network_GB,Data_Transfer_GB,Availability_Percent,SLA_Percent,Support_Level,Compliance_Certifications,Data_Residency,Backup_Retention_Days,Monitoring_Features,Scaling_Type,API_Access,Documentation_Quality,Community_Support,Enterprise_Support,Free_Tier_Available,Free_Tier_Limits,Market_Share_Percent,Customer_Satisfaction_Score,Innovation_Score,Reliability_Score
1,Amazon EC2,Amazon Web Services,Compute,Global,0.005,3.50,30,1,1,1,1,99.99,99.99,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,750,32.0,8.5,9.0,9.2
2,Microsoft Azure,Microsoft,Compute,Global,0.008,5.00,30,1,1,1,1,99.95,99.95,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,750,20.0,8.0,8.5,8.8
3,Google Cloud Platform,Google,Compute,Global,0.010,7.00,30,1,1,1,1,99.95,99.95,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,300,9.0,7.5,8.0,8.2
4,Amazon S3,Amazon Web Services,Storage,Global,0.023,16.00,1000,0,0,0,1,99.999999999,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,5,32.0,8.5,9.0,9.2
5,Microsoft Azure Blob,Microsoft,Storage,Global,0.025,18.00,1000,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,5,20.0,8.0,8.5,8.8
6,Google Cloud Storage,Google,Storage,Global,0.020,14.00,1000,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,5,9.0,7.5,8.0,8.2
7,Amazon RDS,Amazon Web Services,Database,Global,0.017,12.00,20,2,4,0,1,99.95,99.95,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,750,32.0,8.5,9.0,9.2
8,Microsoft Azure SQL,Microsoft,Database,Global,0.020,14.00,20,2,4,0,1,99.95,99.95,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,750,20.0,8.0,8.5,8.8
9,Google Cloud SQL,Google,Database,Global,0.025,17.00,20,2,4,0,1,99.95,99.95,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,300,9.0,7.5,8.0,8.2
10,Amazon Lambda,Amazon Web Services,Serverless,Global,0.0000166667,0.12,0,0,0,0,1,99.95,99.95,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,1000000,32.0,8.5,9.0,9.2
