# Cybersecurity Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Incident_Name,Company,Date,Attack_Type,Severity,Records_Affected_Millions,Financial_Loss_Millions_USD,Attack_Vector,Vulnerability_Type,Industry,Country,Response_Time_Hours,Detection_Method,Recovery_Time_Days,Legal_Action,Regulatory_Fine_Millions_USD,Insurance_Coverage_Millions_USD,Public_Disclosure_Delay_Days,Stock_Price_Impact_Percent,Reputation_Score_Impact,Prevention_Measures_Implemented,Lessons_Learned,Industry_Best_Practices_Adopted
1,Equifax Data Breach,Equifax,2017-07-29,Data Breach,Critical,147.9,1430.0,Web Application,SQL Injection,Financial Services,USA,24,External Audit,90,Yes,700.0,125.0,6,-35.0,-8.5,Multi-Factor Authentication,Improve Patch Management,ISO 27001
2,Yahoo Data Breaches,Yahoo,2013-2014,Data Breach,Critical,3000.0,350.0,Web Application,Stolen Credentials,Technology,USA,48,Internal Investigation,180,Yes,0.0,0.0,36,-15.0,-9.0,Password Reset,Implement Security Monitoring,NIST Framework
3,Marriott International,Marriott,2018-11-30,Data Breach,High,500.0,72.0,Web Application,Malware,Hospitality,USA,72,Third Party Alert,120,Yes,123.0,0.0,30,-20.0,-7.5,Network Segmentation,Improve Vendor Security,PCI DSS
4,Capital One,Capital One,2019-07-19,Data Breach,High,106.0,150.0,Cloud Infrastructure,Configuration Error,Financial Services,USA,12,Internal Detection,60,Yes,80.0,0.0,7,-10.0,-6.0,Cloud Security Controls,Implement Cloud Security,SOX Compliance
5,Facebook Cambridge Analytica,Facebook,2018-03-17,Data Misuse,High,87.0,5000.0,API Abuse,Data Scraping,Technology,USA,168,Media Investigation,365,Yes,5000.0,0.0,0,-25.0,-8.0,API Access Controls,Data Privacy Controls,GDPR Compliance
6,Target Data Breach,Target,2013-12-19,Data Breach,High,110.0,162.0,Point of Sale,Malware,Retail,USA,48,External Notification,90,Yes,18.5,0.0,14,-20.0,-7.0,EMV Chip Cards,Improve Network Security,PCI DSS
7,Home Depot,Home Depot,2014-09-08,Data Breach,High,56.0,179.0,Point of Sale,Malware,Retail,USA,72,External Notification,120,Yes,19.5,0.0,21,-15.0,-6.5,Network Segmentation,Implement Endpoint Protection,PCI DSS
8,Sony Pictures,Sony,2014-11-24,Data Breach,High,100.0,15.0,Network Intrusion,Spear Phishing,Entertainment,USA,24,Internal Detection,180,Yes,0.0,0.0,0,-30.0,-8.0,Employee Training,Improve Email Security,ISO 27001
9,Anthem,Anthem,2015-01-29,Data Breach,High,78.8,115.0,Web Application,SQL Injection,Healthcare,USA,48,Internal Detection,90,Yes,16.0,0.0,14,-20.0,-7.0,Data Encryption,Implement Security Controls,HIPAA Compliance
10,Office of Personnel Management,OPM,2015-06-04,Data Breach,Critical,21.5,500.0,Network Intrusion,Advanced Persistent Threat,Government,USA,168,External Investigation,365,Yes,0.0,0.0,30,-40.0,-9.5,Multi-Factor Authentication,Implement Zero Trust,FISMA Compliance
