# GitHub Projects Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Repository_Name,Owner,Language,Stars,Forks,Contributors,Last_Updated,Description,License,Topics,Size_KB,Commits,Issues,Pull_Requests,Watchers
1,freeCodeCamp,freeCodeCamp,JavaScript,380000,34000,5000,2024-01-15,Learn to code for free,BSD-3-Clause,"education,programming,web-development",2500,25000,1200,8000,15000
2,vue,vuejs,Vue,210000,35000,400,2024-01-14,Progressive JavaScript framework,MIT,"javascript,framework,vue",800,15000,800,5000,8000
3,react,facebook,JavaScript,220000,45000,1500,2024-01-15,A JavaScript library for building user interfaces,MIT,"javascript,react,ui",1200,20000,1000,6000,10000
4,tensorflow,tensorflow,Python,180000,88000,3000,2024-01-15,An Open Source Machine Learning Framework,Apache-2.0,"machine-learning,tensorflow,python",15000,50000,2000,15000,12000
5,bootstrap,twbs,JavaScript,170000,26000,500,2024-01-14,Most popular HTML CSS and JS library,MIT,"css,framework,front-end",2000,12000,600,3000,5000
6,free-programming-books,EbookFoundation,None,300000,60000,2000,2024-01-15,Freely available programming books,Unlicense,"books,programming,free",500,5000,200,2000,8000
7,awesome,sinatra,None,280000,28000,1000,2024-01-14,A curated list of awesome lists,MIT,"awesome,curated,lists",300,3000,100,1000,5000
8,oh-my-zsh,ohmyzsh,Shell,160000,25000,2000,2024-01-15,A delightful community-driven framework,MIT,"shell,zsh,framework",1000,15000,800,4000,6000
9,angular,angular,TypeScript,90000,24000,1000,2024-01-15,One framework Mobile & desktop,MIT,"angular,typescript,framework",8000,25000,1200,8000,5000
10,nodejs,nodejs,JavaScript,100000,27000,2000,2024-01-15,Node.js JavaScript runtime,MIT,"javascript,nodejs,runtime",5000,30000,1500,10000,8000
11,kubernetes,kubernetes,Go,110000,38000,3000,2024-01-15,Production-Grade Container Orchestration,Apache-2.0,"kubernetes,containers,orchestration",20000,80000,3000,20000,15000
12,docker,docker,Go,68000,19500,1000,2024-01-14,Docker - the open-source application container engine,Apache-2.0,"docker,containers,devops",8000,25000,1000,8000,4000
13,linux,linux,Assembly,150000,50000,5000,2024-01-15,Linux kernel source tree,GPL-2.0,"linux,kernel,operating-system",50000,100000,5000,30000,20000
14,pytorch,pytorch,Python,75000,20000,2000,2024-01-15,Tensors and Dynamic neural networks,BSD-3-Clause,"pytorch,machine-learning,python",25000,40000,1500,12000,8000
15,scikit-learn,scikit-learn,Python,58000,25000,1000,2024-01-14,scikit-learn machine learning library,BSD-3-Clause,"machine-learning,python,scikit-learn",15000,30000,1000,8000,5000
16,pandas-dev,pandas,Python,42000,18000,800,2024-01-15,Flexible and powerful data analysis,BSD-3-Clause,"pandas,python,data-analysis",12000,25000,800,6000,4000
17,numpy,numpy,Python,25000,8500,500,2024-01-14,The fundamental package for scientific computing,BSD-3-Clause,"numpy,python,scientific-computing",8000,20000,500,4000,3000
18,matplotlib,matplotlib,Python,19000,7000,400,2024-01-15,matplotlib plotting library,PSF,"matplotlib,python,plotting",10000,18000,400,3000,2500
19,jupyter,jupyter,Python,12000,4000,300,2024-01-14,Jupyter metapackage for installation,BSD-3-Clause,"jupyter,python,notebook",5000,15000,300,2000,2000
20,ipython,ipython,Python,16000,5000,200,2024-01-15,IPython: Productive Interactive Computing,BSD-3-Clause,"ipython,python,interactive",3000,12000,200,1500,1500
