# Internet Usage Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Year,Internet_Users_Millions,Internet_Penetration_Percent,Average_Speed_Mbps,Mobile_Internet_Percent,Broadband_Percent,4G_Coverage_Percent,5G_Coverage_Percent,Data_Usage_GB_Per_User,Total_Data_Consumption_PB,Internet_Infrastructure_Score,Digital_Divide_Score,Government_Support_Score,Private_Investment_Score,Innovation_Index,Cybersecurity_Score,Privacy_Score,Content_Localization_Percent,E_Commerce_Percent,Digital_Payments_Percent,Social_Media_Usage_Percent,Online_Education_Percent,Remote_Work_Percent
1,United States,2023,312.0,94.0,180.0,85.0,95.0,98.0,45.0,150.0,46800.0,9.5,2.0,8.5,9.0,8.8,7.5,6.5,75.0,85.0,80.0,70.0,60.0,65.0
2,China,2023,1020.0,72.0,120.0,95.0,85.0,99.0,60.0,200.0,204000.0,9.0,3.5,9.0,8.5,8.5,6.0,4.0,90.0,95.0,90.0,85.0,70.0,55.0
3,India,2023,800.0,58.0,60.0,98.0,25.0,85.0,15.0,80.0,64000.0,7.5,5.0,7.0,6.5,7.0,6.5,5.5,60.0,70.0,65.0,80.0,45.0,40.0
4,Japan,2023,118.0,94.0,200.0,80.0,98.0,99.0,70.0,180.0,21240.0,9.8,1.5,8.0,9.5,9.0,8.5,7.5,85.0,90.0,85.0,60.0,75.0,70.0
5,Germany,2023,78.0,94.0,160.0,75.0,95.0,98.0,40.0,140.0,10920.0,9.2,2.0,8.5,8.0,8.5,8.0,8.0,80.0,85.0,75.0,65.0,70.0,60.0
6,United Kingdom,2023,67.0,99.0,170.0,80.0,98.0,99.0,50.0,160.0,10720.0,9.5,1.5,8.0,8.5,8.8,7.5,7.0,85.0,90.0,80.0,70.0,75.0,65.0
7,France,2023,60.0,90.0,150.0,70.0,92.0,95.0,35.0,130.0,7800.0,8.8,2.5,8.0,7.5,8.0,7.8,7.5,75.0,80.0,70.0,60.0,65.0,55.0
8,South Korea,2023,52.0,100.0,250.0,85.0,99.0,100.0,80.0,220.0,11440.0,9.9,1.0,9.0,9.5,9.2,8.0,6.5,90.0,95.0,90.0,75.0,80.0,75.0
9,Canada,2023,38.0,100.0,190.0,82.0,96.0,98.0,55.0,170.0,6460.0,9.3,1.5,8.5,8.5,8.7,8.2,8.5,80.0,85.0,75.0,68.0,72.0,68.0
10,Australia,2023,25.0,98.0,180.0,78.0,95.0,97.0,50.0,160.0,4000.0,9.0,2.0,8.0,8.0,8.3,7.8,7.8,75.0,80.0,70.0,65.0,70.0,60.0
11,Brazil,2023,180.0,85.0,80.0,90.0,60.0,70.0,20.0,100.0,18000.0,7.0,4.0,6.5,6.0,6.5,6.0,5.5,70.0,75.0,60.0,75.0,50.0,45.0
12,Russia,2023,120.0,82.0,70.0,85.0,55.0,65.0,10.0,90.0,10800.0,6.5,4.5,5.0,5.5,6.0,5.5,4.5,65.0,70.0,55.0,60.0,40.0,35.0
13,Mexico,2023,95.0,75.0,50.0,92.0,40.0,60.0,15.0,70.0,6650.0,6.0,5.0,5.5,5.0,5.5,5.0,4.5,60.0,65.0,50.0,70.0,35.0,30.0
14,Indonesia,2023,200.0,73.0,45.0,95.0,30.0,55.0,10.0,60.0,12000.0,5.5,5.5,5.0,4.5,5.0,4.5,4.0,55.0,60.0,45.0,80.0,30.0,25.0
15,South Africa,2023,45.0,76.0,40.0,88.0,35.0,50.0,8.0,55.0,2475.0,5.0,6.0,4.5,4.0,4.5,4.0,3.5,50.0,55.0,40.0,65.0,25.0,20.0
16,Nigeria,2023,120.0,58.0,35.0,95.0,25.0,40.0,5.0,45.0,5400.0,4.0,7.0,3.5,3.0,3.5,3.0,2.5,45.0,50.0,35.0,70.0,20.0,15.0
17,Kenya,2023,35.0,65.0,30.0,92.0,20.0,35.0,3.0,40.0,1400.0,3.5,7.5,3.0,2.5,3.0,2.5,2.0,40.0,45.0,30.0,65.0,15.0,10.0
18,Egypt,2023,60.0,58.0,25.0,90.0,30.0,45.0,5.0,35.0,2100.0,4.0,6.5,3.5,3.0,3.5,3.0,2.5,45.0,50.0,35.0,60.0,20.0,15.0
19,Thailand,2023,55.0,79.0,60.0,85.0,50.0,70.0,15.0,80.0,4400.0,6.5,4.0,6.0,5.5,6.0,5.5,4.5,60.0,70.0,55.0,75.0,40.0,35.0
20,Vietnam,2023,70.0,72.0,55.0,88.0,45.0,65.0,12.0,75.0,5250.0,6.0,4.5,5.5,5.0,5.5,5.0,4.0,55.0,65.0,50.0,80.0,35.0,30.0
21,Philippines,2023,85.0,78.0,40.0,90.0,35.0,55.0,8.0,65.0,5525.0,5.5,5.0,5.0,4.5,5.0,4.5,3.5,50.0,60.0,45.0,75.0,30.0,25.0
22,Malaysia,2023,30.0,92.0,100.0,80.0,70.0,85.0,25.0,120.0,3600.0,8.0,3.0,7.0,6.5,7.0,6.5,5.5,70.0,80.0,65.0,70.0,50.0,45.0
23,Singapore,2023,6.0,100.0,300.0,85.0,99.0,100.0,90.0,250.0,1500.0,9.9,1.0,9.0,9.5,9.5,8.5,7.0,95.0,98.0,90.0,80.0,85.0,80.0
24,Israel,2023,8.0,95.0,180.0,75.0,90.0,95.0,60.0,160.0,1280.0,9.0,2.0,8.5,8.0,8.5,8.0,7.5,80.0,85.0,75.0,70.0,75.0,70.0
25,United Arab Emirates,2023,10.0,100.0,200.0,80.0,95.0,98.0,70.0,180.0,1800.0,9.5,1.5,8.5,8.5,8.8,7.5,6.0,85.0,90.0,80.0,75.0,80.0,75.0
26,Saudi Arabia,2023,35.0,100.0,150.0,85.0,90.0,95.0,50.0,140.0,4900.0,8.5,2.0,8.0,7.5,8.0,7.0,5.5,75.0,80.0,70.0,70.0,60.0,55.0
27,Turkey,2023,70.0,84.0,65.0,80.0,60.0,75.0,20.0,90.0,6300.0,6.5,4.0,6.0,5.5,6.0,5.5,4.5,60.0,70.0,55.0,65.0,45.0,40.0
28,Poland,2023,35.0,92.0,120.0,75.0,85.0,90.0,30.0,110.0,3850.0,8.0,3.0,7.5,7.0,7.5,7.0,6.5,75.0,80.0,70.0,65.0,60.0,55.0
29,Italy,2023,55.0,93.0,140.0,70.0,88.0,92.0,25.0,120.0,6600.0,8.2,2.5,7.5,7.0,7.5,7.2,6.8,70.0,75.0,65.0,60.0,55.0,50.0
30,Spain,2023,45.0,95.0,130.0,75.0,90.0,94.0,30.0,115.0,5175.0,8.3,2.0,7.5,7.5,7.8,7.0,6.5,75.0,80.0,70.0,65.0,60.0,55.0
31,Netherlands,2023,17.0,98.0,200.0,80.0,96.0,98.0,60.0,180.0,3060.0,9.5,1.5,8.5,8.5,8.8,8.5,8.0,85.0,90.0,80.0,70.0,75.0,70.0
32,Sweden,2023,10.0,98.0,220.0,78.0,95.0,98.0,65.0,190.0,1900.0,9.6,1.0,8.5,9.0,9.0,8.8,8.5,90.0,95.0,85.0,75.0,80.0,75.0
33,Norway,2023,5.0,98.0,210.0,75.0,94.0,97.0,60.0,185.0,925.0,9.4,1.0,8.5,8.5,8.8,8.5,8.2,88.0,92.0,82.0,75.0,78.0,73.0
34,Denmark,2023,6.0,98.0,200.0,78.0,95.0,98.0,55.0,175.0,1050.0,9.3,1.5,8.5,8.0,8.5,8.2,8.0,85.0,90.0,80.0,72.0,75.0,70.0
35,Finland,2023,5.0,98.0,190.0,76.0,94.0,97.0,50.0,170.0,850.0,9.2,1.5,8.0,8.0,8.3,8.0,7.8,82.0,88.0,78.0,70.0,73.0,68.0
36,Switzerland,2023,8.0,95.0,180.0,75.0,92.0,95.0,45.0,160.0,1280.0,9.0,2.0,8.0,8.0,8.2,7.8,7.5,80.0,85.0,75.0,68.0,70.0,65.0
37,Austria,2023,8.0,90.0,160.0,70.0,88.0,92.0,35.0,140.0,1120.0,8.5,2.5,7.5,7.5,7.8,7.5,7.0,75.0,80.0,70.0,65.0,68.0,63.0
38,Belgium,2023,11.0,95.0,150.0,75.0,90.0,94.0,40.0,135.0,1485.0,8.3,2.0,7.5,7.5,7.8,7.2,6.8,75.0,80.0,70.0,65.0,67.0,62.0
39,Portugal,2023,10.0,98.0,120.0,80.0,85.0,90.0,25.0,110.0,1100.0,7.8,2.5,7.0,6.5,7.0,6.8,6.2,70.0,75.0,65.0,60.0,62.0,57.0
40,Greece,2023,10.0,95.0,100.0,75.0,80.0,85.0,20.0,95.0,950.0,7.0,3.0,6.5,6.0,6.5,6.0,5.5,65.0,70.0,60.0,55.0,58.0,53.0
41,Czech Republic,2023,10.0,95.0,110.0,75.0,82.0,88.0,25.0,105.0,1050.0,7.5,2.5,7.0,6.5,7.0,6.5,6.0,70.0,75.0,65.0,60.0,62.0,57.0
42,Hungary,2023,9.0,93.0,100.0,70.0,78.0,85.0,20.0,90.0,810.0,7.0,3.0,6.5,6.0,6.5,6.0,5.5,65.0,70.0,60.0,55.0,58.0,53.0
43,Romania,2023,18.0,95.0,90.0,75.0,75.0,80.0,15.0,85.0,1530.0,6.8,3.5,6.0,5.5,6.0,5.5,5.0,60.0,65.0,55.0,50.0,55.0,50.0
44,Bulgaria,2023,7.0,100.0,80.0,70.0,70.0,75.0,10.0,75.0,525.0,6.5,4.0,5.5,5.0,5.5,5.0,4.5,55.0,60.0,50.0,45.0,52.0,47.0
45,Croatia,2023,4.0,100.0,85.0,75.0,72.0,78.0,12.0,80.0,320.0,6.8,3.5,6.0,5.5,6.0,5.5,5.0,60.0,65.0,55.0,50.0,55.0,50.0
46,Slovenia,2023,2.0,100.0,120.0,78.0,85.0,90.0,20.0,110.0,220.0,8.0,2.5,7.0,6.5,7.0,6.5,6.0,70.0,75.0,65.0,60.0,62.0,57.0
47,Slovakia,2023,5.0,92.0,95.0,72.0,80.0,85.0,15.0,88.0,440.0,7.2,3.0,6.5,6.0,6.5,6.0,5.5,65.0,70.0,60.0,55.0,58.0,53.0
48,Estonia,2023,1.0,100.0,180.0,80.0,95.0,98.0,40.0,160.0,160.0,9.0,1.5,8.0,8.0,8.2,7.8,7.5,80.0,85.0,75.0,70.0,72.0,67.0
49,Latvia,2023,2.0,100.0,150.0,78.0,90.0,95.0,35.0,140.0,280.0,8.5,2.0,7.5,7.0,7.5,7.0,6.5,75.0,80.0,70.0,65.0,67.0,62.0
50,Lithuania,2023,3.0,100.0,140.0,76.0,88.0,92.0,30.0,130.0,390.0,8.2,2.0,7.5,7.0,7.5,7.0,6.5,75.0,80.0,70.0,65.0,67.0,62.0
51,New Zealand,2023,5.0,100.0,170.0,80.0,92.0,95.0,45.0,150.0,750.0,8.8,1.5,8.0,7.5,8.0,7.5,7.2,78.0,83.0,73.0,68.0,70.0,65.0
52,Chile,2023,18.0,95.0,70.0,85.0,60.0,70.0,15.0,80.0,1440.0,6.5,3.5,6.0,5.5,6.0,5.5,5.0,60.0,65.0,55.0,50.0,55.0,50.0
53,Argentina,2023,45.0,100.0,60.0,88.0,55.0,65.0,12.0,75.0,3375.0,6.0,4.0,5.5,5.0,5.5,5.0,4.5,55.0,60.0,50.0,45.0,52.0,47.0
54,Colombia,2023,50.0,98.0,55.0,90.0,50.0,60.0,10.0,70.0,3500.0,5.8,4.5,5.0,4.5,5.0,4.5,4.0,50.0,55.0,45.0,40.0,48.0,43.0
55,Peru,2023,30.0,90.0,45.0,92.0,40.0,55.0,8.0,65.0,1950.0,5.5,5.0,4.5,4.0,4.5,4.0,3.5,45.0,50.0,40.0,35.0,45.0,40.0
56,Ecuador,2023,15.0,85.0,40.0,90.0,35.0,50.0,6.0,60.0,900.0,5.0,5.5,4.0,3.5,4.0,3.5,3.0,40.0,45.0,35.0,30.0,42.0,37.0
57,Bolivia,2023,8.0,70.0,35.0,88.0,30.0,45.0,5.0,55.0,440.0,4.5,6.0,3.5,3.0,3.5,3.0,2.5,35.0,40.0,30.0,25.0,38.0,33.0
58,Paraguay,2023,6.0,85.0,30.0,85.0,25.0,40.0,4.0,50.0,300.0,4.0,6.5,3.0,2.5,3.0,2.5,2.0,30.0,35.0,25.0,20.0,35.0,30.0
59,Uruguay,2023,3.0,95.0,65.0,80.0,60.0,75.0,12.0,85.0,255.0,6.5,3.5,6.0,5.5,6.0,5.5,5.0,60.0,65.0,55.0,50.0,55.0,50.0
60,Guatemala,2023,12.0,70.0,25.0,90.0,20.0,35.0,3.0,45.0,540.0,3.5,7.0,3.0,2.5,3.0,2.5,2.0,30.0,35.0,25.0,20.0,35.0,30.0
61,Honduras,2023,6.0,60.0,20.0,88.0,15.0,30.0,2.0,40.0,240.0,3.0,8.0,2.5,2.0,2.5,2.0,1.5,25.0,30.0,20.0,15.0,32.0,27.0
62,El Salvador,2023,5.0,80.0,30.0,85.0,25.0,40.0,3.0,50.0,250.0,3.5,6.5,3.0,2.5,3.0,2.5,2.0,30.0,35.0,25.0,20.0,35.0,30.0
