# Artists Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Artist_Name,Art_Medium,Nationality,Birth_Year,Death_Year,Art_Movement,Famous_Works,Estimated_Value_Millions_USD,Exhibitions_Count,Museums_Represented,Style_Description
1,Leonardo da Vinci,Painting,Italian,1452,1519,Renaissance,Mona Lisa,Salvator Mundi,850,150,Louvre,Uffizi,Naturalistic
2,Pablo Picasso,Painting,Spanish,1881,1973,Cubism,Guernica,Les Demoiselles d'Avignon,1200,200,MOMA,Guggenheim,Abstract
3,Vincent van Gogh,Painting,Dutch,1853,1890,Post-Impressionism,Starry Night,Sunflowers,800,180,Van Gogh Museum,MOMA,Expressionistic
4,Claude Monet,Painting,French,1840,1926,Impressionism,Water Lilies,Impression Sunrise,600,120,Musée d'Orsay,Metropolitan,Impressionistic
5,Salvador Dalí,Painting,Spanish,1904,1989,Surrealism,The Persistence of Memory,The Elephants,400,100,Dalí Museum,MOMA,Surrealistic
6,Andy Warhol,Painting,American,1928,1987,Pop Art,Campbell's Soup Cans,Marilyn Monroe,300,80,Whitney Museum,MOMA,Pop Art
7,Jackson Pollock,Painting,American,1912,1956,Abstract Expressionism,No. 1,1950,Blue Poles,250,60,MOMA,Guggenheim,Abstract
8,Henri Matisse,Painting,French,1869,1954,Fauvism,The Dance,The Red Studio,200,90,Pompidou Centre,MOMA,Fauvist
9,Edvard Munch,Painting,Norwegian,1863,1944,Expressionism,The Scream,Madonna,180,70,Munch Museum,National Gallery,Expressionistic
10,Gustav Klimt,Painting,Austrian,1862,1918,Art Nouveau,The Kiss,Portrait of Adele Bloch-Bauer,150,50,Belvedere Museum,MOMA,Decorative
11,Frida Kahlo,Painting,Mexican,1907,1954,Surrealism,The Two Fridas,Self-Portrait with Thorn Necklace,120,40,Frida Kahlo Museum,MOMA,Surrealistic
12,Georgia O'Keeffe,Painting,American,1887,1986,American Modernism,Black Iris,Jimson Weed,100,30,Georgia O'Keeffe Museum,Whitney Museum,Modernist
13,Mark Rothko,Painting,American,1903,1970,Abstract Expressionism,No. 61,Orange Red Yellow,80,25,Rothko Chapel,MOMA,Abstract
14,Willem de Kooning,Painting,Dutch-American,1904,1997,Abstract Expressionism,Woman I,Excavation,70,20,MOMA,Guggenheim,Abstract
15,Francis Bacon,Painting,Irish,1909,1992,Expressionism,Three Studies of Lucian Freud,Triptych,60,15,Tate Modern,MOMA,Expressionistic
16,Lucian Freud,Painting,German-British,1922,2011,Realism,Benefits Supervisor Sleeping,Portrait of the Queen,50,10,Tate Modern,National Portrait Gallery,Realistic
17,David Hockney,Painting,British,1937,0,Pop Art,A Bigger Splash,Portrait of an Artist,40,15,Tate Modern,MOMA,Pop Art
18,Gerhard Richter,Painting,German,1932,0,Contemporary Art,Abstraktes Bild,Betty,35,12,Tate Modern,MOMA,Contemporary
19,Anselm Kiefer,Painting,German,1945,0,Contemporary Art,The Orders of the Night,Margarete,30,10,Tate Modern,Pompidou Centre,Contemporary
20,Georg Baselitz,Painting,German,1938,0,Neo-Expressionism,The Great Friends,Der Brückenschlag,25,8,Tate Modern,Pompidou Centre,Expressionistic
21,Jean-Michel Basquiat,Painting,American,1960,1988,Neo-Expressionism,Untitled,In This Case,20,5,Brooklyn Museum,MOMA,Expressionistic
22,Keith Haring,Painting,American,1958,1990,Pop Art,Radiant Baby,Untitled,15,3,Whitney Museum,MOMA,Pop Art
23,Jean Dubuffet,Painting,French,1901,1985,Art Brut,The Cow with the Subtle Nose,Corps de Dame,12,4,Pompidou Centre,MOMA,Art Brut
24,Alberto Giacometti,Sculpture,Swiss,1901,1966,Surrealism,The Walking Man,The Palace at 4 a.m.,10,6,Tate Modern,MOMA,Surrealistic
25,Henry Moore,Sculpture,British,1898,1986,Modernism,Reclining Figure,Family Group,8,5,Tate Modern,MOMA,Modernist
26,Barbara Hepworth,Sculpture,British,1903,1975,Modernism,Single Form,Two Forms,6,3,Tate Modern,MOMA,Modernist
27,Alexander Calder,Sculpture,American,1898,1976,Modernism,Mobile,Stabile,5,4,Whitney Museum,MOMA,Modernist
28,Louise Bourgeois,Sculpture,French-American,1911,2010,Contemporary Art,Maman,Spider,4,3,Tate Modern,MOMA,Contemporary
29,Richard Serra,Sculpture,American,1939,0,Minimalism,Tilted Arc,The Matter of Time,3,2,Guggenheim,MOMA,Minimalist
30,Donald Judd,Sculpture,American,1928,1994,Minimalism,Untitled,Stack,2,2,Whitney Museum,MOMA,Minimalist
31,Dan Flavin,Sculpture,American,1933,1996,Minimalism,Untitled,Monument for V. Tatlin,1,1,Guggenheim,MOMA,Minimalist
32,Carl Andre,Sculpture,American,1935,0,Minimalism,Equivalent VIII,144 Magnesium Square,1,1,Tate Modern,MOMA,Minimalist
33,Sol LeWitt,Sculpture,American,1928,2007,Conceptual Art,Wall Drawing,Incomplete Open Cubes,1,1,Guggenheim,MOMA,Conceptual
34,Joseph Beuys,Sculpture,German,1921,1986,Conceptual Art,The Pack,7000 Oaks,1,1,Tate Modern,Pompidou Centre,Conceptual
35,Marcel Duchamp,Sculpture,French,1887,1968,Dada,Fountain,The Large Glass,1,1,MOMA,Pompidou Centre,Dada
