# Banking Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Bank_Name,Country,Region,Total_Assets_Billions_USD,Total_Deposits_Billions_USD,Total_Loans_Billions_USD,Interest_Rate_Savings_Percent,Interest_Rate_Loans_Percent,Net_Interest_Margin_Percent,Return_on_Assets_Percent,Return_on_Equity_Percent,Capital_Adequacy_Ratio_Percent,Non_Performing_Loans_Percent,Number_of_Branches,Number_of_Employees,Digital_Banking_Penetration_Percent,Mobile_Banking_Users_Millions,Credit_Card_Issued_Millions,ATM_Network_Size,Revenue_Billions_USD,Profit_Billions_USD,Customer_Satisfaction_Score
1,JPMorgan Chase,United States,North America,3500.0,2800.0,2200.0,0.5,4.2,2.8,1.2,15.8,14.2,1.8,4800,250000,85.0,45.2,65.8,18000,120.5,42.8,8.2
2,Bank of America,United States,North America,2800.0,2200.0,1800.0,0.3,4.5,3.1,1.0,12.5,13.8,2.2,4200,200000,82.0,38.5,58.2,15000,95.8,35.2,7.8
3,Wells Fargo,United States,North America,1950.0,1500.0,1200.0,0.2,4.8,3.5,0.8,10.2,12.5,2.8,5500,180000,78.0,32.8,45.5,12000,75.2,28.5,7.5
4,Citigroup,United States,North America,1800.0,1400.0,1100.0,0.4,4.3,2.9,0.9,11.8,13.2,2.5,2800,150000,80.0,35.2,52.8,8000,68.5,25.8,7.2
5,Goldman Sachs,United States,North America,1200.0,800.0,600.0,0.1,5.2,4.8,1.5,18.5,16.8,1.2,45,40000,95.0,8.5,12.2,200,45.2,18.5,8.5
6,Morgan Stanley,United States,North America,950.0,650.0,480.0,0.2,5.5,5.1,1.3,16.2,15.5,1.5,38,35000,92.0,6.8,8.5,150,38.5,15.2,8.2
7,HSBC,United Kingdom,Western Europe,2800.0,2200.0,1800.0,0.8,3.8,2.5,0.7,8.5,14.8,2.8,3800,220000,75.0,28.5,42.8,12000,85.2,32.5,7.8
8,Banco Santander,Spain,Western Europe,1800.0,1400.0,1200.0,0.5,4.2,3.2,0.8,9.2,13.5,2.5,12000,180000,70.0,25.8,38.5,15000,65.8,28.2,7.5
9,BNP Paribas,France,Western Europe,2200.0,1800.0,1500.0,0.3,3.5,2.8,0.6,7.8,12.8,2.2,8500,190000,68.0,22.5,35.2,10000,72.5,25.8,7.2
10,Deutsche Bank,Germany,Western Europe,1500.0,1200.0,1000.0,0.1,3.2,2.5,0.4,5.5,11.2,3.5,1800,85000,65.0,18.5,28.8,5000,45.2,12.5,6.8
11,ING Group,Netherlands,Western Europe,1200.0,950.0,800.0,0.2,3.8,3.2,0.7,8.8,13.5,1.8,2800,52000,85.0,15.2,22.5,3000,38.5,18.2,8.0
12,UBS,Switzerland,Western Europe,800.0,650.0,500.0,0.0,2.8,2.5,0.8,12.5,18.2,1.2,280,45000,90.0,8.5,12.8,800,25.8,15.5,8.8
13,Credit Suisse,Switzerland,Western Europe,600.0,480.0,380.0,0.0,3.2,2.8,0.6,10.8,16.5,1.5,180,35000,88.0,6.8,8.5,500,18.5,12.2,8.5
14,Barclays,United Kingdom,Western Europe,1500.0,1200.0,950.0,0.5,4.5,3.8,0.5,6.8,12.8,2.8,1800,85000,72.0,18.5,28.2,4000,42.5,15.8,7.0
15,Lloyds Banking Group,United Kingdom,Western Europe,1200.0,950.0,750.0,0.3,4.2,3.5,0.4,5.2,11.5,3.2,2200,65000,70.0,15.8,22.5,5000,35.8,12.5,6.8
16,Royal Bank of Scotland,United Kingdom,Western Europe,800.0,650.0,500.0,0.2,4.8,4.2,0.3,4.5,10.8,3.8,1800,45000,68.0,12.5,18.5,3000,28.5,8.8,6.5
17,Standard Chartered,United Kingdom,Western Europe,700.0,550.0,450.0,0.4,5.2,4.5,0.6,8.2,14.5,2.2,1200,85000,75.0,15.2,22.8,2000,25.8,12.5,7.2
18,Commonwealth Bank,Australia,Oceania,850.0,680.0,550.0,0.8,4.8,3.8,1.0,12.5,15.2,1.8,1200,45000,88.0,12.5,18.5,4000,28.5,15.8,8.5
19,Westpac Banking,Australia,Oceania,750.0,600.0,480.0,0.6,4.5,3.5,0.8,10.8,14.5,2.0,1000,40000,85.0,10.8,15.2,3500,25.2,12.8,8.2
20,ANZ Banking Group,Australia,Oceania,650.0,520.0,420.0,0.5,4.2,3.2,0.7,9.5,13.8,2.2,800,35000,82.0,9.5,12.8,2800,22.5,10.5,7.8
21,National Australia Bank,Australia,Oceania,580.0,460.0,380.0,0.4,4.0,3.0,0.6,8.8,12.5,2.5,700,30000,80.0,8.2,10.5,2200,20.2,8.8,7.5
22,Royal Bank of Canada,Canada,North America,1200.0,950.0,750.0,0.5,4.5,3.5,0.8,11.2,14.8,1.5,1200,85000,82.0,18.5,25.8,5000,35.8,18.5,8.0
23,Toronto-Dominion Bank,Canada,North America,1100.0,880.0,680.0,0.4,4.2,3.2,0.7,10.5,13.5,1.8,1000,75000,80.0,16.8,22.5,4500,32.5,15.8,7.8
24,Bank of Nova Scotia,Canada,North America,850.0,680.0,520.0,0.3,4.0,3.0,0.6,9.2,12.8,2.0,800,60000,78.0,14.5,18.5,3500,28.2,12.5,7.5
25,Bank of Montreal,Canada,North America,750.0,600.0,460.0,0.2,3.8,2.8,0.5,8.5,11.5,2.2,700,50000,75.0,12.8,15.2,3000,25.8,10.2,7.2
26,Canadian Imperial Bank,Canada,North America,650.0,520.0,400.0,0.3,4.1,3.1,0.6,9.8,13.2,1.8,600,45000,77.0,11.5,14.5,2500,22.5,9.5,7.0
27,Mitsubishi UFJ Financial,Japan,East Asia,2800.0,2200.0,1800.0,0.1,2.8,2.2,0.3,4.5,8.2,1.2,850,180000,65.0,35.2,45.8,12000,45.8,12.5,6.5
28,Sumitomo Mitsui Financial,Japan,East Asia,2200.0,1800.0,1500.0,0.1,2.5,2.0,0.2,3.8,7.5,1.5,650,150000,62.0,28.5,38.2,10000,38.5,10.2,6.2
29,Mizuho Financial,Japan,East Asia,1800.0,1500.0,1200.0,0.0,2.2,1.8,0.2,3.2,6.8,1.8,500,120000,60.0,22.8,32.5,8000,32.5,8.5,6.0
30,Norinchukin Bank,Japan,East Asia,1200.0,1000.0,800.0,0.0,2.0,1.5,0.1,2.8,5.5,2.2,180,45000,55.0,15.2,22.8,2000,18.5,5.2,5.8
31,Industrial and Commercial Bank,China,East Asia,4500.0,3800.0,3200.0,1.5,5.8,3.8,0.8,12.5,15.2,1.8,18000,450000,85.0,180.5,280.8,50000,120.5,85.2,7.8
