# Banking Fraud Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Case_Name,Bank_Name,Country,Region,Fraud_Type,Fraud_Amount_Millions_USD,Detection_Method,Perpetrator_Type,Number_Of_Victims,Investigation_Duration_Months,Recovery_Rate_Percent,Regulatory_Fine_Millions_USD,Criminal_Charges,Conviction_Rate_Percent,Prevention_Measures_Implemented,Technology_Used,Internal_Controls_Breached,External_Audit_Findings,Reputation_Impact_Score,Media_Coverage_Intensity,Legal_Costs_Millions_USD,Insurance_Coverage_Millions_USD,Compliance_Improvements,Training_Programs_Implemented,Whistleblower_Involvement,Regulatory_Oversight_Increase
1,Enron Scandal,JPMorgan Chase,United States,North America,Accounting Fraud,100000,Whistleblower,Executive,21000,24,5.0,1000,Yes,95.0,Enhanced Auditing,AI Detection,Yes,Yes,10.0,High,500,50000,Yes,Yes,Yes,Yes
2,WorldCom Fraud,Citibank,United States,North America,Accounting Fraud,11000,Internal Audit,Executive,60000,18,10.0,750,Yes,90.0,SOX Compliance,Data Analytics,Yes,Yes,9.0,High,300,20000,Yes,Yes,No,Yes
3,Lehman Brothers Collapse,Lehman Brothers,United States,North America,Financial Misrepresentation,639000,Market Analysis,Executive,26000,36,0.0,0,Yes,85.0,Dodd-Frank Act,Stress Testing,Yes,Yes,10.0,Very High,1000,0,Yes,Yes,Yes,Yes
4,Bear Stearns Collapse,Bear Stearns,United States,North America,Subprime Mortgage Fraud,400000,Market Analysis,Executive,14000,12,5.0,0,Yes,80.0,Enhanced Risk Management,Monte Carlo Simulation,Yes,Yes,9.0,High,800,0,Yes,Yes,Yes,Yes
5,Washington Mutual Failure,Washington Mutual,United States,North America,Subprime Lending,307000,Regulatory Review,Executive,43000,24,15.0,0,Yes,75.0,FDIC Oversight,Portfolio Analysis,Yes,Yes,8.0,High,600,0,Yes,Yes,Yes,Yes
6,Countrywide Financial Fraud,Countrywide Financial,United States,North America,Mortgage Fraud,200000,Whistleblower,Executive,50000,18,20.0,500,Yes,90.0,CFPB Oversight,Machine Learning,Yes,Yes,9.0,High,400,10000,Yes,Yes,Yes,Yes
7,New Century Financial,New Century Financial,United States,North America,Subprime Fraud,17000,Regulatory Review,Executive,7200,12,25.0,200,Yes,85.0,Enhanced Underwriting,Statistical Analysis,Yes,Yes,7.0,Medium,200,5000,Yes,Yes,No,Yes
8,IndyMac Bank Failure,IndyMac Bank,United States,North America,Subprime Lending,32000,Regulatory Review,Executive,7200,18,20.0,0,Yes,70.0,FDIC Oversight,Portfolio Analysis,Yes,Yes,8.0,High,300,0,Yes,Yes,Yes,Yes
9,First Republic Bank,First Republic Bank,United States,North America,Commercial Real Estate,200000,Market Analysis,Executive,8000,6,0.0,0,Yes,60.0,Enhanced Risk Management,Stress Testing,Yes,Yes,9.0,Very High,500,0,Yes,Yes,Yes,Yes
10,SVB Collapse,Silicon Valley Bank,United States,North America,Interest Rate Risk,200000,Market Analysis,Executive,5000,3,0.0,0,Yes,50.0,Enhanced Liquidity Management,ALM Models,Yes,Yes,10.0,Very High,300,0,Yes,Yes,Yes,Yes
11,Signature Bank Failure,Signature Bank,United States,North America,Crypto Exposure,110000,Regulatory Review,Executive,4000,2,0.0,0,Yes,40.0,Crypto Regulations,Portfolio Analysis,Yes,Yes,8.0,High,200,0,Yes,Yes,Yes,Yes
