# Business Bankruptcy Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Company_Name,Industry,Sector,Country,Region,Bankruptcy_Date,Assets_Before_Bankruptcy_Millions_USD,Debts_Millions_USD,Employees_At_Bankruptcy,Year_Founded,Last_Revenue_Millions_USD,Chapter_Type,Recovery_Rate_Percent,Time_In_Bankruptcy_Months,Main_Creditors,Primary_Causes,Industry_Impact_Score,Job_Losses,Supplier_Impact_Score,Customer_Impact_Score,Government_Assistance_Received,Regulatory_Issues,Market_Share_Lost_Percent,Competitor_Benefits_Millions_USD
1,WeWork,Real Estate,Technology,United States,North America,2023-11-06,15000,18000,15000,2010,3000,Chapter 11,15.0,18,SoftBank,Overexpansion,8.5,12000,7.0,6.0,0,Yes,25.0,2000
2,FTX,Cryptocurrency,Financial Services,United States,North America,2022-11-11,32000,8800,300,2019,2000,Chapter 11,5.0,12,Alameda Research,Fraud,9.0,300,9.0,8.0,0,Yes,90.0,5000
3,Bed Bath & Beyond,Retail,Consumer Goods,United States,North America,2023-04-23,5000,5200,14000,1971,6000,Chapter 11,20.0,8,Suppliers,Competition,7.0,14000,6.0,7.0,0,No,15.0,800
4,Revlon,Beauty,Consumer Goods,United States,North America,2022-06-15,2300,3300,6000,1932,2500,Chapter 11,25.0,6,Bondholders,Debt,6.0,6000,5.0,6.0,0,No,10.0,300
5,Party City,Retail,Consumer Goods,United States,North America,2023-01-17,1200,1500,8000,1986,2200,Chapter 11,30.0,10,Suppliers,COVID-19,5.0,8000,4.0,5.0,0,No,8.0,150
6,David's Bridal,Retail,Consumer Goods,United States,North America,2023-04-17,200,300,1200,1950,500,Chapter 11,40.0,6,Suppliers,Competition,4.0,1200,3.0,4.0,0,No,5.0,50
7,Modell's Sporting Goods,Retail,Consumer Goods,United States,North America,2020-03-11,300,400,2000,1889,800,Chapter 11,35.0,8,Suppliers,Competition,5.0,2000,4.0,5.0,0,No,3.0,100
8,J.C. Penney,Retail,Consumer Goods,United States,North America,2020-05-15,8000,12000,85000,1902,12000,Chapter 11,45.0,12,Bondholders,Competition,8.0,85000,7.0,8.0,0,No,20.0,2000
9,Neiman Marcus,Luxury Retail,Consumer Goods,United States,North America,2020-05-07,5000,4800,14000,1907,4800,Chapter 11,50.0,10,Bondholders,Debt,6.0,14000,5.0,6.0,0,No,8.0,400
10,J.Crew,Retail,Consumer Goods,United States,North America,2020-05-04,1600,1800,13000,1983,2500,Chapter 11,55.0,8,Bondholders,Debt,5.0,13000,4.0,5.0,0,No,6.0,200
11,True Religion,Retail,Consumer Goods,United States,North America,2017-07-05,200,300,1500,2002,300,Chapter 11,60.0,6,Suppliers,Competition,3.0,1500,2.0,3.0,0,No,2.0,30
12,Payless ShoeSource,Retail,Consumer Goods,United States,North America,2019-02-18,1000,1200,16000,1956,2000,Chapter 11,25.0,12,Suppliers,Competition,6.0,16000,5.0,6.0,0,No,10.0,300
13,Toys R Us,Retail,Consumer Goods,United States,North America,2017-09-19,7000,5000,33000,1948,12000,Chapter 11,20.0,15,Bondholders,Competition,8.0,33000,7.0,8.0,0,No,25.0,1500
14,Sears,Retail,Consumer Goods,United States,North America,2018-10-15,10000,12000,68000,1893,16000,Chapter 11,30.0,18,Bondholders,Competition,9.0,68000,8.0,9.0,0,No,30.0,3000
15,RadioShack,Retail,Consumer Goods,United States,North America,2015-02-05,1200,1400,27000,1921,2000,Chapter 11,35.0,12,Suppliers,Competition,7.0,27000,6.0,7.0,0,No,15.0,500
16,Blockbuster,Entertainment,Media,United States,North America,2010-09-23,1000,900,60000,1985,3000,Chapter 11,10.0,24,Bondholders,Competition,9.0,60000,8.0,9.0,0,No,40.0,2000
17,Borders,Retail,Consumer Goods,United States,North America,2011-02-16,1200,1300,19000,1971,3000,Chapter 11,15.0,18,Suppliers,Competition,8.0,19000,7.0,8.0,0,No,20.0,600
18,Circuit City,Retail,Consumer Goods,United States,North America,2008-11-10,2000,2300,34000,1949,12000,Chapter 11,25.0,15,Bondholders,Competition,7.0,34000,6.0,7.0,0,No,12.0,800
19,Linens 'n Things,Retail,Consumer Goods,United States,North America,2008-05-02,1000,1100,10000,1975,2000,Chapter 11,30.0,12,Suppliers,Competition,6.0,10000,5.0,6.0,0,No,8.0,200
20,Sharper Image,Retail,Consumer Goods,United States,North America,2008-02-20,200,300,2000,1977,400,Chapter 11,40.0,8,Suppliers,Competition,4.0,2000,3.0,4.0,0,No,3.0,50
21,CompUSA,Retail,Consumer Goods,United States,North America,2007-12-07,800,1000,8000,1984,2000,Chapter 11,35.0,10,Suppliers,Competition,5.0,8000,4.0,5.0,0,No,5.0,150
22,Tower Records,Retail,Consumer Goods,United States,North America,2006-10-06,300,400,3000,1960,800,Chapter 11,20.0,15,Suppliers,Competition,6.0,3000,5.0,6.0,0,No,4.0,100
23,KB Toys,Retail,Consumer Goods,United States,North America,2004-01-14,400,500,5000,1922,1000,Chapter 11,45.0,12,Suppliers,Competition,5.0,5000,4.0,5.0,0,No,6.0,120
24,Kmart,Retail,Consumer Goods,United States,North America,2002-01-22,15000,10000,200000,1899,37000,Chapter 11,50.0,18,Bondholders,Competition,9.0,200000,8.0,9.0,0,No,25.0,5000
25,Enron,Energy,Utilities,United States,North America,2001-12-02,65000,31000,21000,1985,101000,Chapter 11,5.0,24,Bondholders,Fraud,10.0,21000,9.0,10.0,0,Yes,50.0,10000
26,WorldCom,Telecommunications,Technology,United States,North America,2002-07-21,104000,41000,60000,1983,35000,Chapter 11,10.0,30,Bondholders,Fraud,9.0,60000,8.0,9.0,0,Yes,30.0,8000
27,Lehman Brothers,Financial Services,Financial Services,United States,North America,2008-09-15,639000,613000,26000,1850,59000,Chapter 11,0.0,36,Bondholders,Financial Crisis,10.0,26000,9.0,10.0,0,Yes,100.0,50000
28,Bear Stearns,Financial Services,Financial Services,United States,North America,2008-03-16,400000,395000,14000,1923,16000,Chapter 11,5.0,6,Bondholders,Financial Crisis,9.0,14000,8.0,9.0,0,Yes,80.0,20000
29,Washington Mutual,Financial Services,Financial Services,United States,North America,2008-09-25,307000,188000,43000,1889,16000,Chapter 11,15.0,12,Depositors,Financial Crisis,8.0,43000,7.0,8.0,0,Yes,60.0,15000
