# Corporate Mergers & Acquisitions Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Deal_Name,Acquirer_Company,Target_Company,Deal_Value_Billions_USD,Deal_Type,Industry_Sector,Announcement_Date,Closing_Date,Deal_Status,Acquirer_Country,Target_Country,Acquirer_Revenue_Billions_USD,Target_Revenue_Billions_USD,Acquirer_Employees,Target_Employees,Synergies_Expected_Billions_USD,Regulatory_Approval_Required,Deal_Premium_Percent,Financing_Method,Strategic_Rationale,Market_Cap_Acquirer_Billions_USD,Market_Cap_Target_Billions_USD,Deal_Advisor_Acquirer,Deal_Advisor_Target
1,Microsoft Activision Blizzard,Microsoft,Activision Blizzard,68.7,Acquisition,Technology,2022-01-18,2023-10-13,Completed,United States,United States,198.3,8.8,221000,9800,1.5,Yes,45.0,Cash and Stock,Game Development Expansion,2800.0,65.2,Goldman Sachs,Morgan Stanley
2,Broadcom VMware,Broadcom,VMware,61.0,Acquisition,Technology,2022-05-26,2023-11-22,Completed,United States,United States,33.2,12.9,20000,38000,2.0,Yes,48.0,Cash and Stock,Cloud Infrastructure,320.0,55.8,JPMorgan Chase,Credit Suisse
3,Elon Musk Twitter,Elon Musk,Twitter,44.0,Acquisition,Technology,2022-04-25,2022-10-27,Completed,United States,United States,N/A,5.1,N/A,7500,0.5,Yes,38.0,Cash,Social Media Platform,N/A,45.2,Morgan Stanley,Goldman Sachs
4,AMD Xilinx,AMD,Xilinx,35.0,Acquisition,Semiconductors,2020-10-27,2022-02-14,Completed,United States,United States,16.4,3.2,15500,5000,0.8,Yes,25.0,Stock,FPGA Technology,180.0,28.5,JPMorgan Chase,Goldman Sachs
5,NVIDIA ARM,NVIDIA,ARM,40.0,Acquisition,Semiconductors,2020-09-13,2022-02-08,Cancelled,United States,United Kingdom,26.9,2.0,22000,6200,1.2,Yes,50.0,Cash and Stock,Chip Design IP,800.0,32.0,Guggenheim Partners,Goldman Sachs
6,Amazon MGM,Amazon,MGM,8.5,Acquisition,Entertainment,2021-05-26,2022-03-17,Completed,United States,United States,469.8,1.5,1540000,8000,0.3,Yes,60.0,Cash,Content Library,1600.0,5.2,JPMorgan Chase,Morgan Stanley
7,Microsoft LinkedIn,Microsoft,LinkedIn,26.2,Acquisition,Technology,2016-06-13,2016-12-08,Completed,United States,United States,93.6,3.0,114000,15000,0.5,Yes,50.0,Cash,Professional Network,450.0,18.5,Qatalyst Partners,Allen & Company
8,Facebook WhatsApp,Facebook,WhatsApp,19.0,Acquisition,Technology,2014-02-19,2014-10-06,Completed,United States,United States,12.5,0.0,7000,55,0.2,Yes,3000.0,Cash and Stock,Mobile Messaging,200.0,15.2,Allen & Company,Morgan Stanley
9,Disney 21st Century Fox,Disney,21st Century Fox,71.3,Acquisition,Entertainment,2017-12-14,2019-03-20,Completed,United States,United States,55.6,30.4,201000,22000,2.0,Yes,35.0,Stock,Content and Streaming,180.0,52.8,JPMorgan Chase,Goldman Sachs
10,AT&T Time Warner,AT&T,Time Warner,85.4,Acquisition,Telecommunications,2016-10-22,2018-06-14,Completed,United States,United States,160.5,31.3,230000,25000,1.5,Yes,20.0,Cash and Stock,Content Distribution,250.0,75.2,Lazard,Goldman Sachs
