# Employment & Wage Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Unemployment_Rate_Percent,Employment_Rate_Percent,Average_Wage_USD_Month,Minimum_Wage_USD_Month,Median_Wage_USD_Month,Agriculture_Employment_Percent,Industry_Employment_Percent,Services_Employment_Percent,Public_Sector_Employment_Percent,Private_Sector_Employment_Percent,Self_Employed_Percent,Part_Time_Employment_Percent,Full_Time_Employment_Percent,Youth_Unemployment_Percent,Female_Employment_Rate_Percent,Male_Employment_Rate_Percent,Wage_Growth_Rate_Percent,Productivity_Growth_Percent,Labor_Force_Participation_Rate_Percent,Working_Hours_Per_Week,Vacation_Days_Per_Year,Union_Membership_Percent
1,Switzerland,Western Europe,2.1,75.8,6500,4200,5800,2.8,18.5,78.7,15.2,84.8,12.5,18.2,81.8,4.5,72.5,79.2,2.8,1.8,68.5,42,25,15.8
2,Norway,Northern Europe,3.8,72.5,5800,3800,5200,2.2,15.8,82.0,28.5,71.5,8.8,22.5,77.5,8.2,68.8,76.2,3.2,2.2,70.2,38,25,52.8
3,Iceland,Northern Europe,3.1,78.2,5200,3500,4800,3.5,16.2,80.3,22.8,77.2,15.2,25.8,74.2,6.8,75.5,80.8,2.8,1.8,75.8,40,25,85.2
4,Japan,East Asia,2.5,78.8,4200,2800,3800,3.2,22.5,74.3,8.5,91.5,12.8,28.5,71.5,4.2,68.5,88.2,1.8,1.2,62.8,40,20,18.5
5,Denmark,Northern Europe,4.2,75.2,4800,3200,4200,2.5,16.8,80.7,25.8,74.2,10.5,20.8,79.2,7.5,72.8,77.5,2.5,1.5,72.5,37,30,68.5
6,Netherlands,Western Europe,3.5,78.5,4500,3000,4000,2.8,15.2,82.0,12.5,87.5,8.2,35.8,64.2,6.2,75.2,81.8,2.2,1.8,74.8,36,25,18.2
7,Germany,Western Europe,3.0,76.8,3800,2500,3500,1.5,25.8,72.7,12.8,87.2,10.8,22.5,77.5,5.8,72.5,81.2,2.8,1.5,78.5,35,30,18.8
8,Austria,Western Europe,4.8,74.2,3500,2300,3200,3.8,22.5,73.7,18.5,81.5,12.2,18.8,81.2,8.5,70.8,77.5,2.5,1.2,72.8,38,25,28.5
9,Sweden,Northern Europe,6.8,72.8,4200,2800,3800,2.2,18.5,79.3,28.2,71.8,8.5,15.8,84.2,12.5,70.5,75.2,2.8,2.0,74.2,40,25,68.8
10,Finland,Northern Europe,7.0,72.5,3800,2500,3500,3.5,20.8,75.7,25.5,74.5,10.2,12.5,87.5,14.2,69.8,75.2,2.2,1.5,73.5,38,25,72.5
11,Belgium,Western Europe,5.5,65.8,3200,2200,3000,1.2,18.8,80.0,22.5,77.5,8.8,25.2,74.8,15.8,62.5,69.2,2.0,1.0,65.2,38,20,55.8
12,France,Western Europe,7.4,68.2,3000,2000,2800,2.8,20.5,76.7,22.8,77.2,12.5,18.5,81.5,18.5,65.8,70.5,1.8,0.8,68.8,35,25,8.2
