# Global Trade Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Exports_Billions_USD,Imports_Billions_USD,Trade_Balance_Billions_USD,Top_Export_Product,Top_Import_Product,Main_Trade_Partner,Export_Growth_Percent,Import_Growth_Percent,Trade_Volume_Billions_USD,Export_Diversification_Index
1,China,3250,2650,600,Electronics,Machinery,United States,8.5,6.2,5900,0.72
2,United States,1650,2650,-1000,Machinery,Electronics,China,5.8,7.2,4300,0.68
3,Germany,1480,1200,280,Machinery,Energy,France,4.2,3.8,2680,0.75
4,Japan,705,720,-15,Motor Vehicles,Energy,United States,2.8,4.1,1425,0.69
5,Netherlands,680,620,60,Chemicals,Machinery,Germany,6.2,5.8,1300,0.71
6,South Korea,650,600,50,Electronics,Energy,China,7.8,6.5,1250,0.73
7,France,580,650,-70,Aerospace,Energy,Germany,3.5,4.2,1230,0.67
8,Italy,580,550,30,Machinery,Energy,Germany,4.8,3.9,1130,0.70
9,United Kingdom,520,680,-160,Financial Services,Machinery,Germany,2.1,3.5,1200,0.65
10,India,450,550,-100,Textiles,Energy,United States,12.5,8.9,1000,0.58
11,Canada,450,480,-30,Energy,Machinery,United States,5.2,4.8,930,0.62
13,Spain,380,420,-40,Machinery,Energy,France,4.5,3.8,800,0.64
14,Australia,350,280,70,Minerals,Machinery,China,8.9,5.2,630,0.55
15,Russia,450,280,170,Energy,Machinery,China,6.8,4.5,730,0.48
16,Brazil,280,220,60,Agricultural Products,Machinery,China,7.2,5.8,500,0.52
17,Mexico,450,480,-30,Motor Vehicles,Energy,United States,6.5,7.2,930,0.61
18,Belgium,380,360,20,Chemicals,Machinery,Germany,5.8,4.9,740,0.69
19,Switzerland,350,320,30,Pharmaceuticals,Machinery,Germany,3.2,2.8,670,0.71
20,Thailand,280,250,30,Electronics,Energy,China,8.5,6.8,530,0.63
21,Poland,280,300,-20,Machinery,Energy,Germany,7.8,6.2,580,0.66
22,Malaysia,250,220,30,Electronics,Energy,China,9.2,7.5,470,0.68
23,Indonesia,220,200,20,Agricultural Products,Energy,China,6.8,5.9,420,0.55
24,Turkey,200,250,-50,Textiles,Energy,Germany,5.5,8.2,450,0.59
25,Vietnam,280,250,30,Electronics,Energy,China,12.8,9.5,530,0.64
26,Austria,180,190,-10,Machinery,Energy,Germany,4.2,3.8,370,0.67
27,Sweden,180,170,10,Machinery,Energy,Germany,3.8,3.2,350,0.70
28,Norway,120,100,20,Energy,Machinery,Germany,5.2,4.8,220,0.45
29,Denmark,120,110,10,Machinery,Energy,Germany,4.5,3.9,230,0.68
30,Finland,80,85,-5,Machinery,Energy,Germany,3.8,3.5,165,0.69
31,Portugal,80,90,-10,Textiles,Energy,Spain,4.2,3.8,170,0.61
32,Greece,50,60,-10,Agricultural Products,Energy,Germany,3.5,4.2,110,0.58
33,Czech Republic,180,170,10,Machinery,Energy,Germany,6.8,5.9,350,0.72
34,Hungary,120,110,10,Machinery,Energy,Germany,5.8,4.9,230,0.70
35,Romania,80,90,-10,Machinery,Energy,Germany,6.2,5.8,170,0.65
36,Bulgaria,40,45,-5,Agricultural Products,Energy,Germany,5.5,4.8,85,0.58
37,Croatia,25,30,-5,Machinery,Energy,Germany,4.8,4.2,55,0.62
