# Inflation Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Inflation_Rate_2023_Percent,Inflation_Rate_2022_Percent,Inflation_Rate_2021_Percent,Inflation_Rate_2020_Percent,Inflation_Rate_2019_Percent,Average_Inflation_5_Years_Percent,Core_Inflation_2023_Percent,Food_Inflation_2023_Percent,Energy_Inflation_2023_Percent,Housing_Inflation_2023_Percent,Transportation_Inflation_2023_Percent,Healthcare_Inflation_2023_Percent,Education_Inflation_2023_Percent,Entertainment_Inflation_2023_Percent,Clothing_Inflation_2023_Percent,Central_Bank_Target_Percent,Interest_Rate_2023_Percent,GDP_Growth_2023_Percent,Unemployment_Rate_2023_Percent,Currency_Depreciation_2023_Percent
1,Switzerland,Western Europe,1.4,2.8,0.6,-0.7,0.4,0.9,1.2,2.1,0.8,1.5,1.8,2.2,1.8,1.5,1.2,2.0,1.75,1.8,2.1,0.5
2,Japan,East Asia,2.5,2.5,0.2,0.0,0.5,1.1,2.8,3.2,1.8,2.2,2.5,2.8,2.5,2.2,1.8,2.0,0.25,1.2,2.5,2.8
3,China,East Asia,0.7,2.0,0.9,2.5,2.9,1.8,1.2,1.8,0.5,1.5,1.2,1.8,1.5,1.2,0.8,3.0,3.45,5.2,5.2,1.2
4,Taiwan,East Asia,1.8,3.0,2.0,0.2,0.6,1.5,2.2,2.8,1.2,2.0,2.2,2.5,2.0,1.8,1.5,2.0,1.875,2.8,3.8,2.5
5,Malaysia,Southeast Asia,2.5,3.4,2.5,-1.1,0.7,1.6,2.8,3.2,2.0,2.5,2.8,3.0,2.5,2.2,1.8,3.0,3.00,4.2,3.5,3.8
6,Thailand,Southeast Asia,1.2,6.1,1.2,-0.8,0.7,1.7,1.5,2.2,0.8,1.8,1.5,2.0,1.8,1.5,1.2,3.0,2.50,2.8,1.2,2.2
7,Singapore,Southeast Asia,4.1,6.1,2.3,-0.2,0.6,2.6,3.8,5.2,2.8,4.0,4.2,4.5,4.0,3.8,3.5,2.0,3.25,1.1,2.0,1.8
8,South Korea,East Asia,3.6,5.1,2.5,0.5,0.4,2.4,3.8,4.2,2.5,3.5,3.8,4.0,3.5,3.2,2.8,2.0,3.50,1.4,2.8,3.2
9,Indonesia,Southeast Asia,3.7,5.5,1.6,2.0,2.8,3.1,4.0,4.8,2.8,3.8,4.0,4.2,3.8,3.5,3.2,3.5,6.00,5.0,5.8,4.5
10,Philippines,Southeast Asia,6.0,5.8,3.2,2.6,2.5,4.0,5.5,7.2,4.5,5.8,6.0,6.2,5.8,5.5,5.2,3.0,6.25,5.6,4.5,5.8
11,India,South Asia,5.4,6.7,5.1,6.2,4.8,5.6,5.8,6.5,4.2,5.5,5.8,6.0,5.5,5.2,4.8,4.0,6.50,6.8,7.2,6.2
12,Bangladesh,South Asia,9.5,7.7,5.6,5.7,5.5,6.8,8.8,12.5,6.8,8.5,9.0,9.5,8.5,8.2,7.8,5.0,6.00,5.8,4.2,8.5
13,Pakistan,South Asia,29.2,12.1,9.5,10.7,6.7,13.6,25.8,35.5,22.8,28.5,30.0,32.5,28.5,26.8,24.2,5.0,22.00,0.3,6.5,25.8
14,Sri Lanka,South Asia,4.0,49.7,6.2,4.6,4.3,13.8,3.5,5.2,2.8,3.8,4.0,4.2,3.8,3.5,3.2,5.0,15.50,-7.8,4.8,15.2
15,Nepal,South Asia,7.4,7.7,4.2,4.6,4.6,5.7,6.8,9.5,5.2,7.0,7.5,8.0,7.0,6.5,6.2,5.0,7.00,2.1,11.2,8.5
16,Bhutan,South Asia,4.2,5.6,3.8,3.2,2.8,3.9,3.8,5.5,2.8,4.0,4.2,4.5,4.0,3.8,3.5,4.0,5.00,4.8,2.5,4.8
17,Afghanistan,South Asia,5.0,2.1,2.3,2.3,2.0,2.7,4.5,6.8,3.2,4.8,5.0,5.2,4.8,4.5,4.2,5.0,0.00,-20.1,40.0,0.0
18,Turkey,Middle East,53.8,72.3,19.6,14.0,11.8,34.3,45.2,65.8,38.5,48.5,52.0,55.5,48.5,45.8,42.2,5.0,45.00,4.5,10.2,45.8
19,Iran,Middle East,45.8,43.5,39.3,30.6,34.2,38.7,38.5,55.2,32.8,42.5,45.0,48.5,42.5,40.2,38.8,5.0,18.00,2.5,8.8,38.5
20,Lebanon,Middle East,123.5,154.8,84.9,84.9,2.9,90.0,95.2,145.8,85.5,115.2,120.0,125.8,115.2,110.5,105.8,5.0,0.00,-7.0,25.0,95.2
21,Syria,Middle East,85.2,78.5,45.2,45.2,15.8,53.9,72.5,105.8,58.5,78.5,82.0,85.5,78.5,75.2,72.8,5.0,0.00,-2.1,15.2,72.5
22,Yemen,Middle East,25.8,22.5,18.5,18.5,12.8,19.5,22.5,35.8,15.2,28.5,30.0,32.5,28.5,26.8,25.2,5.0,0.00,-1.2,8.5,22.5
23,Sudan,North Africa,63.3,138.1,359.1,163.3,50.2,154.8,55.8,85.5,38.5,58.5,62.0,65.5,58.5,55.2,52.8,5.0,0.00,-12.0,25.0,55.8
24,Egypt,North Africa,33.9,13.9,5.2,5.7,9.2,13.6,28.5,45.2,22.8,32.5,35.0,38.5,32.5,30.2,28.8,7.0,19.25,3.8,7.2,28.5
25,Zimbabwe,Sub-Saharan Africa,18.4,104.6,98.5,557.2,255.3,206.8,15.2,25.8,8.5,18.5,20.0,22.5,18.5,16.8,15.2,5.0,150.00,5.5,8.8,15.2
26,Ghana,Sub-Saharan Africa,23.2,31.9,9.9,9.9,7.8,16.5,20.5,32.8,15.2,22.5,25.0,28.5,22.5,20.8,18.5,8.0,30.00,2.9,14.7,20.5
27,Nigeria,Sub-Saharan Africa,24.5,18.9,16.9,13.2,11.4,16.9,22.8,35.5,18.5,25.2,28.0,32.5,25.2,23.5,22.8,6.0,18.75,2.9,8.2,22.8
28,Angola,Sub-Saharan Africa,15.2,21.6,25.8,22.3,17.1,20.4,12.8,22.5,8.5,15.2,18.0,22.5,15.2,13.5,12.2,5.0,18.00,0.7,7.2,12.8
