# Insurance Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Insurance_Premiums_Billions_USD,Life_Insurance_Premiums_Billions_USD,Non_Life_Insurance_Premiums_Billions_USD,Insurance_Penetration_Percent,Insurance_Density_USD_Per_Capita,Claims_Paid_Billions_USD,Claims_Ratio_Percent,Combined_Ratio_Percent,Return_on_Equity_Percent,Number_of_Insurance_Companies,Insurance_Employment_Thousands,Regulatory_Framework_Score,Digital_Adoption_Percent,Reinsurance_Dependency_Percent,Natural_Disaster_Coverage_Percent,Cyber_Insurance_Premiums_Millions_USD,Health_Insurance_Coverage_Percent,Automotive_Insurance_Penetration_Percent,Property_Insurance_Penetration_Percent,Marine_Insurance_Premiums_Millions_USD,Aviation_Insurance_Premiums_Millions_USD,Agricultural_Insurance_Premiums_Millions_USD
1,United States,North America,1500,800,700,7.2,4500,1200,80.0,95.0,12.5,2500,2000,9.5,85.0,15.0,45.0,25000,90.0,95.0,85.0,5000,3000,2000
2,China,East Asia,650,400,250,4.5,460,520,80.0,92.0,15.0,180,800,8.0,75.0,25.0,30.0,8000,95.0,60.0,40.0,2000,1500,1000
3,Japan,East Asia,350,200,150,6.8,2800,280,80.0,90.0,8.0,80,300,9.0,80.0,20.0,60.0,5000,100.0,90.0,70.0,800,600,500
4,Germany,Western Europe,200,120,80,5.2,2400,160,80.0,88.0,10.0,150,180,9.0,70.0,30.0,50.0,3000,95.0,85.0,60.0,600,400,300
5,United Kingdom,Western Europe,180,100,80,6.5,2700,144,80.0,85.0,12.0,120,150,9.5,85.0,25.0,55.0,2500,95.0,90.0,75.0,500,350,200
6,France,Western Europe,160,90,70,6.0,2400,128,80.0,87.0,9.0,100,120,8.5,75.0,35.0,45.0,2000,100.0,85.0,65.0,400,300,150
7,Italy,Western Europe,120,70,50,6.8,2000,96,80.0,90.0,7.0,80,100,8.0,65.0,40.0,35.0,1500,90.0,80.0,50.0,300,200,100
8,Canada,North America,100,60,40,6.5,2700,80,80.0,88.0,11.0,60,80,9.0,80.0,20.0,50.0,1200,95.0,90.0,70.0,250,180,120
9,Spain,Western Europe,80,45,35,6.0,1700,64,80.0,89.0,8.0,50,70,8.5,70.0,30.0,40.0,1000,90.0,85.0,55.0,200,150,80
10,Netherlands,Western Europe,70,40,30,8.5,4000,56,80.0,85.0,13.0,40,60,9.5,85.0,15.0,60.0,800,95.0,90.0,80.0,150,100,60
11,Switzerland,Western Europe,60,35,25,8.0,7000,48,80.0,82.0,15.0,35,50,9.5,90.0,10.0,70.0,600,95.0,95.0,85.0,120,80,40
12,South Korea,East Asia,80,50,30,4.2,1600,64,80.0,88.0,9.0,60,80,8.5,75.0,25.0,35.0,1200,90.0,70.0,45.0,300,200,100
13,Australia,Oceania,70,40,30,4.5,2800,56,80.0,86.0,12.0,45,70,9.0,80.0,20.0,55.0,1000,95.0,85.0,70.0,200,150,80
14,Brazil,South America,60,35,25,3.2,280,48,80.0,92.0,6.0,80,100,7.0,60.0,40.0,25.0,800,70.0,60.0,30.0,150,100,50
15,India,South Asia,80,50,30,2.8,60,64,80.0,90.0,8.0,120,200,6.5,50.0,50.0,20.0,1000,30.0,40.0,25.0,200,150,80
16,Russia,Eastern Europe,50,30,20,3.5,350,40,80.0,88.0,7.0,60,80,7.5,55.0,45.0,30.0,600,80.0,70.0,40.0,100,80,40
17,Mexico,North America,40,25,15,3.2,320,32,80.0,90.0,6.0,50,70,7.0,65.0,35.0,25.0,500,60.0,50.0,30.0,80,60,30
18,South Africa,Sub-Saharan Africa,35,20,15,5.5,580,28,80.0,88.0,8.0,40,60,7.5,60.0,40.0,35.0,400,70.0,60.0,40.0,70,50,25
19,Thailand,Southeast Asia,30,18,12,6.8,430,24,80.0,85.0,9.0,35,50,7.0,55.0,45.0,30.0,300,80.0,65.0,35.0,60,40,20
20,Malaysia,Southeast Asia,25,15,10,6.5,780,20,80.0,82.0,10.0,30,40,8.0,70.0,30.0,40.0,250,85.0,75.0,50.0,50,35,15
21,Indonesia,Southeast Asia,20,12,8,2.2,75,16,80.0,90.0,5.0,40,60,6.0,45.0,55.0,20.0,200,50.0,40.0,25.0,40,30,15
22,Philippines,Southeast Asia,15,9,6,3.8,140,12,80.0,88.0,6.0,25,35,6.5,50.0,50.0,25.0,150,60.0,45.0,30.0,30,20,10
