# Pension & Retirement Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Pension_Fund_Assets_Billions_USD,Public_Pension_Assets_Billions_USD,Private_Pension_Assets_Billions_USD,Pension_Fund_Assets_GDP_Percent,Pension_Coverage_Percent,Average_Pension_USD_Month,Retirement_Age_Men,Retirement_Age_Women,Life_Expectancy_At_65_Men,Life_Expectancy_At_65_Women,Replacement_Rate_Percent,Contribution_Rate_Employee_Percent,Contribution_Rate_Employer_Percent,Government_Contribution_Percent,Number_of_Beneficiaries_Millions,Active_Contributors_Millions,Dependency_Ratio_65_Plus,Funded_Ratio_Percent,Investment_Return_Average_Percent,Administrative_Costs_Percent,Indexation_System,Early_Retirement_Penalty_Percent,Delayed_Retirement_Bonus_Percent
1,United States,North America,35000,0,35000,150.0,85.0,1800,67,67,18.5,21.0,45.0,6.2,6.2,0.0,65.0,150.0,22.0,100.0,7.5,0.8,CPI,5.0,8.0
2,Netherlands,Western Europe,1800,0,1800,200.0,95.0,2500,67,67,19.0,22.0,80.0,7.0,7.0,0.0,3.5,8.0,20.0,100.0,6.8,0.5,Wage,3.0,6.0
3,Denmark,Northern Europe,1200,0,1200,180.0,90.0,2200,67,67,18.5,21.5,75.0,8.0,8.0,0.0,1.5,3.0,22.0,100.0,6.5,0.6,Wage,4.0,7.0
4,Switzerland,Western Europe,1000,0,1000,120.0,95.0,2800,65,64,19.5,22.5,70.0,8.5,8.5,0.0,2.0,4.5,18.0,100.0,6.2,0.7,Wage,2.0,5.0
5,Canada,North America,2800,0,2800,140.0,90.0,1600,65,65,19.0,21.5,60.0,9.9,9.9,0.0,6.0,18.0,20.0,100.0,7.0,0.9,CPI,4.0,6.0
6,Australia,Oceania,2200,0,2200,120.0,95.0,1400,67,67,19.5,22.0,65.0,9.5,9.5,0.0,4.5,12.0,19.0,100.0,7.2,1.0,CPI,3.0,5.0
7,United Kingdom,Western Europe,3500,0,3500,130.0,85.0,1200,66,66,18.0,20.5,55.0,8.0,8.0,0.0,12.0,30.0,18.0,100.0,6.8,1.2,CPI,5.0,7.0
8,Germany,Western Europe,2500,0,2500,70.0,95.0,1500,67,67,18.5,21.0,50.0,9.3,9.3,0.0,20.0,40.0,22.0,100.0,5.5,0.8,Wage,6.0,8.0
9,Japan,East Asia,1800,0,1800,40.0,90.0,800,65,65,19.5,24.0,40.0,9.15,9.15,0.0,35.0,60.0,28.0,100.0,4.2,0.6,Wage,7.0,9.0
10,Sweden,Northern Europe,400,0,400,80.0,95.0,1800,65,65,19.0,21.5,65.0,7.0,7.0,0.0,2.0,5.0,20.0,100.0,6.0,0.7,Wage,4.0,6.0
11,Norway,Northern Europe,300,0,300,60.0,95.0,2000,67,67,19.5,22.0,70.0,8.2,8.2,0.0,1.0,2.5,18.0,100.0,6.5,0.8,Wage,3.0,5.0
12,Finland,Northern Europe,200,0,200,80.0,95.0,1600,65,65,18.5,21.0,60.0,7.0,7.0,0.0,1.5,3.0,22.0,100.0,5.8,0.9,Wage,5.0,7.0
13,Belgium,Western Europe,150,0,150,40.0,90.0,1400,65,65,18.0,21.0,55.0,7.5,7.5,0.0,2.0,4.0,20.0,100.0,5.5,1.0,Wage,6.0,8.0
14,Austria,Western Europe,120,0,120,30.0,90.0,1300,65,60,18.5,21.5,50.0,10.25,10.25,0.0,1.8,3.5,19.0,100.0,5.2,1.1,Wage,7.0,9.0
15,France,Western Europe,100,0,100,20.0,95.0,1200,62,62,18.0,21.0,45.0,6.9,6.9,0.0,15.0,25.0,20.0,100.0,4.8,1.2,Wage,8.0,10.0
16,Italy,Western Europe,80,0,80,15.0,90.0,1000,67,67,18.5,21.5,40.0,9.19,9.19,0.0,12.0,20.0,23.0,100.0,4.5,1.3,Wage,9.0,11.0
17,Spain,Western Europe,60,0,60,12.0,85.0,900,66,66,18.0,21.0,35.0,6.35,6.35,0.0,8.0,15.0,19.0,100.0,4.2,1.4,Wage,10.0,12.0
18,Portugal,Western Europe,40,0,40,20.0,80.0,700,66,66,17.5,20.5,30.0,11.0,11.0,0.0,2.0,4.0,21.0,100.0,4.0,1.5,Wage,11.0,13.0
19,Greece,Western Europe,30,0,30,15.0,75.0,600,67,67,18.0,20.5,25.0,6.67,6.67,0.0,2.5,5.0,22.0,100.0,3.8,1.6,Wage,12.0,14.0
20,Poland,Eastern Europe,50,0,50,10.0,70.0,500,65,60,16.5,19.5,35.0,9.76,9.76,0.0,4.0,8.0,18.0,100.0,5.5,1.7,Wage,8.0,10.0
21,Czech Republic,Eastern Europe,30,0,30,15.0,80.0,600,65,65,17.0,20.0,40.0,6.5,6.5,0.0,2.0,4.0,19.0,100.0,5.0,1.8,Wage,9.0,11.0
22,Hungary,Eastern Europe,20,0,20,12.0,75.0,400,65,65,16.0,19.0,30.0,10.0,10.0,0.0,1.5,3.0,20.0,100.0,4.8,1.9,Wage,10.0,12.0
23,Slovakia,Eastern Europe,15,0,15,18.0,85.0,450,62,62,16.5,19.5,35.0,9.0,9.0,0.0,1.0,2.0,16.0,100.0,5.2,2.0,Wage,7.0,9.0
