# Real Estate Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Avg_Home_Price_USD,Avg_Rent_Monthly_USD,Price_Per_Square_Meter_USD,Rent_Per_Square_Meter_USD,Home_Ownership_Rate_Percent,Price_to_Income_Ratio,Price_to_Rent_Ratio,Mortgage_Interest_Rate_Percent,Construction_Cost_Index,New_Housing_Units_Built,Construction_Starts,Construction_Completions,Housing_Stock_Millions,Population_Millions,Housing_Density_Per_1000_People,Urbanization_Rate_Percent,GDP_Per_Capita_USD,Unemployment_Rate_Percent,Population_Growth_Rate_Percent,Inflation_Rate_Percent,Government_Support_Index,Foreign_Investment_Restrictions,Property_Tax_Rate_Percent,Transaction_Costs_Percent
1,Monaco,Western Europe,5000000,4500,50000,45,15,50.0,92.6,2.5,150,50,45,48,0.04,0.04,1000,100,200000,2.0,0.5,2.0,8,5,0.0,8.0
2,Hong Kong,East Asia,1200000,2500,15000,25,50,45.0,40.0,2.8,120,15000,12000,13000,2.8,7.5,373,100,55000,3.2,0.3,2.5,6,3,0.0,6.0
3,Singapore,Southeast Asia,800000,2000,12000,20,90,20.0,33.3,2.5,110,12000,10000,11000,1.4,5.9,237,100,65000,2.1,0.8,2.0,9,2,0.0,4.0
4,Switzerland,Western Europe,650000,1800,10000,18,40,15.0,30.1,1.5,100,25000,20000,22000,3.8,8.7,437,74,85000,2.1,0.8,1.4,7,1,0.0,3.0
5,South Korea,East Asia,400000,800,6000,8,60,12.0,41.7,3.5,90,200000,180000,190000,22.0,51.8,425,82,35000,3.8,0.2,2.5,6,2,0.0,5.0
6,Japan,East Asia,350000,600,5000,6,62,8.0,48.6,1.2,85,800000,750000,780000,60.0,125.8,477,92,42000,2.5,0.0,2.5,5,1,0.0,4.0
7,United States,North America,300000,1200,3000,12,65,4.5,20.8,6.5,95,1500000,1400000,1450000,140.0,331.9,422,83,65000,3.7,0.6,3.2,6,1,1.0,3.0
8,United Kingdom,Western Europe,280000,1000,3500,10,65,8.0,23.3,4.5,105,200000,180000,190000,28.0,67.9,412,84,45000,4.2,0.5,6.7,5,2,0.0,4.0
9,Canada,North America,450000,1200,4000,12,68,6.0,31.3,5.2,100,200000,180000,190000,16.0,38.0,421,82,52000,5.8,1.0,2.8,6,1,0.0,3.5
10,Australia,Oceania,550000,1500,5000,15,67,8.0,30.6,4.8,110,180000,160000,170000,10.0,25.7,390,86,55000,3.8,1.2,4.1,7,2,0.0,4.5
11,New Zealand,Oceania,600000,1600,5500,16,65,9.0,31.3,5.5,115,30000,25000,28000,1.8,5.1,353,87,45000,3.5,1.0,2.8,6,1,0.0,5.0
12,Germany,Western Europe,250000,800,3000,8,52,6.0,26.0,2.8,90,300000,280000,290000,42.0,83.2,505,77,48000,3.0,0.1,3.7,8,1,0.0,3.5
13,France,Western Europe,200000,700,2500,7,58,5.0,23.8,2.5,85,350000,320000,340000,30.0,67.4,445,81,42000,7.4,0.3,4.9,7,1,0.0,4.0
14,Netherlands,Western Europe,350000,1200,4000,12,70,7.0,24.3,3.2,95,60000,55000,58000,8.0,17.4,460,92,55000,3.5,0.4,4.2,8,1,0.0,3.0
15,Belgium,Western Europe,180000,600,2000,6,72,4.0,25.0,2.8,80,40000,35000,38000,5.0,11.6,431,98,48000,5.5,0.4,2.3,6,1,0.0,3.5
16,Austria,Western Europe,220000,800,2500,8,55,5.0,22.9,3.0,85,25000,22000,24000,4.0,9.0,444,59,52000,4.8,0.5,4.2,7,1,0.0,4.0
17,Sweden,Northern Europe,300000,1000,3500,10,65,6.0,25.0,3.5,100,50000,45000,48000,5.0,10.4,481,88,55000,7.0,0.8,8.4,8,1,0.0,4.5
18,Norway,Northern Europe,400000,1300,4500,13,77,6.0,25.6,3.8,110,30000,25000,28000,2.5,5.4,463,83,75000,3.8,0.8,5.5,8,1,0.0,5.0
19,Denmark,Northern Europe,350000,1100,4000,11,60,6.0,26.5,3.2,105,25000,22000,24000,2.8,5.8,483,88,65000,3.4,0.4,3.4,8,1,0.0,4.5
20,Finland,Northern Europe,250000,800,3000,8,70,5.0,26.0,3.0,95,20000,18000,19000,2.8,5.5,509,86,52000,7.0,0.3,4.3,8,1,0.0,4.0
21,Iceland,Northern Europe,300000,1000,3500,10,75,6.0,25.0,4.2,110,2000,1500,1800,0.4,0.4,1000,94,68000,3.1,1.0,8.6,8,1,0.0,5.0
22,Spain,Western Europe,150000,500,2000,5,78,4.0,25.0,2.8,75,80000,70000,75000,25.0,47.4,527,81,30000,12.8,0.1,3.5,5,1,0.0,3.5
23,Italy,Western Europe,120000,400,1500,4,72,3.0,25.0,2.5,70,60000,55000,58000,30.0,60.4,497,71,35000,8.2,0.0,5.9,6,1,0.0,3.0
24,Portugal,Western Europe,100000,350,1200,3.5,75,3.0,23.8,2.8,65,15000,12000,14000,5.0,10.3,485,66,22000,6.8,0.0,2.8,5,1,0.0,2.5
25,Greece,Western Europe,80000,300,1000,3,80,2.5,22.2,2.5,60,10000,8000,9000,4.5,10.7,420,80,20000,12.5,0.0,5.2,4,1,0.0,2.0
