# Retail Sales Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Total_Retail_Sales_Billions_USD,Retail_Sales_Growth_Rate_Percent,Per_Capita_Retail_Sales_USD,Online_Retail_Sales_Billions_USD,E_Commerce_Penetration_Percent,Food_Retail_Sales_Billions_USD,Clothing_Retail_Sales_Billions_USD,Electronics_Retail_Sales_Billions_USD,Home_Furniture_Retail_Sales_Billions_USD,Automotive_Retail_Sales_Billions_USD,Health_Beauty_Retail_Sales_Billions_USD,Sports_Recreation_Retail_Sales_Billions_USD,Books_Media_Retail_Sales_Billions_USD,Other_Retail_Sales_Billions_USD,Retail_Employment_Millions,Average_Store_Size_Square_Meters,Number_of_Stores_Thousands,Retail_Density_Per_1000_People,Consumer_Confidence_Index,Disposable_Income_Billions_USD,Inflation_Rate_Percent,Unemployment_Rate_Percent
1,United States,North America,7500,2.8,22500,1200,16.0,1500,800,900,600,1200,500,400,300,800,750,15.2,2500,1000,3.0,105.2,18000,3.2,3.7
2,China,East Asia,6500,8.5,4600,1800,27.7,2000,1200,800,500,400,300,200,150,1150,120,45.0,1800,5000,3.6,101.8,8500,0.7,5.2
3,Japan,East Asia,1200,1.2,9500,180,15.0,400,200,150,100,80,60,50,40,120,200,6.5,1200,200,1.6,98.5,5500,2.5,2.5
4,Germany,Western Europe,800,1.8,9600,120,15.0,200,100,80,60,120,50,40,30,120,200,4.2,800,150,1.8,103.5,4000,3.7,3.0
5,United Kingdom,Western Europe,650,2.5,9600,130,20.0,150,80,60,50,100,40,30,25,115,200,3.8,600,120,1.8,100.5,3200,6.7,4.2
6,France,Western Europe,600,1.5,8900,90,15.0,180,90,70,50,80,35,30,25,100,200,3.5,700,100,1.5,101.8,2800,4.9,7.4
7,India,South Asia,850,12.5,600,200,23.5,400,150,100,80,60,50,40,30,90,200,25.0,200,800,0.6,97.5,2800,5.4,7.8
8,Italy,Western Europe,450,0.8,7600,68,15.1,120,60,50,40,70,30,25,20,80,150,2.8,500,80,1.3,97.8,2200,5.9,8.2
9,Brazil,South America,400,3.2,1900,60,15.0,150,80,60,40,50,30,25,20,70,150,8.5,300,200,0.9,99.5,1800,4.6,8.0
10,Canada,North America,380,2.8,10000,76,20.0,90,50,40,30,60,25,20,15,90,150,2.2,400,60,1.6,103.8,2000,3.9,5.8
11,Russia,Eastern Europe,350,2.5,2400,70,20.0,120,60,50,40,50,25,20,15,70,150,5.5,400,120,0.8,97.8,1800,5.9,3.2
12,Spain,Western Europe,320,1.2,6800,48,15.0,100,50,40,30,60,25,20,15,70,120,2.5,500,70,1.5,99.2,1800,3.5,12.8
13,Australia,Oceania,300,2.8,11700,60,20.0,80,40,30,25,50,20,15,12,80,120,1.8,350,50,2.0,104.2,1800,4.1,3.8
14,Mexico,North America,280,4.5,2200,42,15.0,100,50,40,30,40,20,15,12,60,120,6.5,250,150,1.2,98.8,1200,4.7,3.2
15,South Korea,East Asia,250,3.5,4800,50,20.0,80,40,30,25,40,20,15,12,60,100,2.8,300,60,1.2,101.2,1800,3.6,2.8
16,Netherlands,Western Europe,200,2.2,11500,40,20.0,50,25,20,15,30,12,10,8,50,80,1.2,200,30,1.8,106.5,1200,4.2,3.5
17,Indonesia,Southeast Asia,180,8.5,650,36,20.0,80,40,30,20,30,15,12,10,50,100,8.5,150,200,0.7,98.5,1200,3.7,5.8
18,Belgium,Western Europe,150,1.8,13000,30,20.0,40,20,15,12,25,10,8,6,40,60,0.8,180,25,2.2,102.8,800,2.3,5.5
19,Switzerland,Western Europe,140,1.5,16200,28,20.0,35,18,15,12,22,8,6,5,35,55,0.6,200,20,2.4,108.5,700,1.4,2.1
