# Stock Price Simulations Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Date,Symbol,Company_Name,Open_Price,High_Price,Low_Price,Close_Price,Volume,Sector,Market_Cap_Billions
1,2024-01-01,AAPL,Apple Inc,193.58,194.66,193.42,194.83,45678900,Technology,3000
2,2024-01-02,AAPL,Apple Inc,194.83,195.42,194.12,195.18,52345600,Technology,3000
3,2024-01-03,AAPL,Apple Inc,195.18,196.25,194.85,196.38,48912300,Technology,3000
4,2024-01-04,AAPL,Apple Inc,196.38,197.15,195.92,196.89,51234500,Technology,3000
5,2024-01-05,AAPL,Apple Inc,196.89,198.42,196.45,198.11,47890100,Technology,3000
6,2024-01-01,MSFT,Microsoft Corporation,378.85,380.12,378.45,379.95,23456700,Technology,2800
7,2024-01-02,MSFT,Microsoft Corporation,379.95,381.25,379.12,380.88,25678900,Technology,2800
8,2024-01-03,MSFT,Microsoft Corporation,380.88,382.45,380.25,382.12,24567800,Technology,2800
9,2024-01-04,MSFT,Microsoft Corporation,382.12,383.78,381.85,383.45,26789000,Technology,2800
10,2024-01-05,MSFT,Microsoft Corporation,383.45,385.12,382.95,384.78,25890100,Technology,2800
11,2024-01-01,GOOGL,Alphabet Inc,142.56,143.25,142.12,143.18,34567800,Technology,1800
12,2024-01-02,GOOGL,Alphabet Inc,143.18,144.12,142.85,143.95,35678900,Technology,1800
13,2024-01-03,GOOGL,Alphabet Inc,143.95,145.25,143.45,144.88,36789000,Technology,1800
14,2024-01-04,GOOGL,Alphabet Inc,144.88,146.12,144.25,145.75,37890100,Technology,1800
15,2024-01-05,GOOGL,Alphabet Inc,145.75,147.25,145.12,146.95,38901200,Technology,1800
16,2024-01-01,AMZN,Amazon.com Inc,151.94,152.85,151.25,152.78,45678900,Consumer Discretionary,1600
17,2024-01-02,AMZN,Amazon.com Inc,152.78,153.95,152.12,153.85,46789000,Consumer Discretionary,1600
18,2024-01-03,AMZN,Amazon.com Inc,153.85,155.12,153.25,154.95,47890100,Consumer Discretionary,1600
19,2024-01-04,AMZN,Amazon.com Inc,154.95,156.25,154.45,155.88,48901200,Consumer Discretionary,1600
20,2024-01-05,AMZN,Amazon.com Inc,155.88,157.45,155.25,156.95,49012300,Consumer Discretionary,1600
21,2024-01-01,TSLA,Tesla Inc,248.42,252.15,247.85,251.95,56789000,Consumer Discretionary,800
22,2024-01-02,TSLA,Tesla Inc,251.95,255.25,251.12,254.88,57890100,Consumer Discretionary,800
23,2024-01-03,TSLA,Tesla Inc,254.88,258.45,254.25,257.95,58901200,Consumer Discretionary,800
