# Taxes Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Corporate_Tax_Rate_Percent,Personal_Income_Tax_Rate_Percent,VAT_Rate_Percent,Capital_Gains_Tax_Rate_Percent,Inheritance_Tax_Rate_Percent,Property_Tax_Rate_Percent,Social_Security_Rate_Percent,Total_Tax_Burden_Percent,GDP_Per_Capita_USD,Tax_Revenue_GDP_Percent,Individual_Tax_Freedom_Day,Corporate_Tax_Freedom_Day,Tax_Complexity_Score,Digital_Services_Tax_Percent,Carbon_Tax_USD_Per_Ton,Wealth_Tax_Rate_Percent,Financial_Transaction_Tax_Percent,Tobacco_Tax_Percent,Alcohol_Tax_Percent,Fuel_Tax_USD_Per_Gallon,Import_Tariff_Average_Percent,Export_Tax_Percent
1,United Arab Emirates,Middle East,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,45000,0.0,1,1,1,0.0,0.0,0.0,0.0,100.0,50.0,0.5,5.0,0.0
2,Qatar,Middle East,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,65000,5.0,15,15,2,0.0,0.0,0.0,0.0,100.0,50.0,0.3,3.0,0.0
3,Kuwait,Middle East,15.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,55000,7.5,20,20,3,0.0,0.0,0.0,0.0,100.0,50.0,0.4,4.0,0.0
4,Bahrain,Middle East,20.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,48000,10.0,25,25,4,0.0,0.0,0.0,0.0,100.0,50.0,0.6,6.0,0.0
5,Saudi Arabia,Middle East,20.0,0.0,15.0,0.0,0.0,0.0,0.0,12.5,52000,12.5,30,30,5,0.0,0.0,0.0,0.0,100.0,50.0,0.7,7.0,0.0
6,Oman,Middle East,15.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,35000,8.0,22,22,3,0.0,0.0,0.0,0.0,100.0,50.0,0.5,5.0,0.0
7,Singapore,Southeast Asia,17.0,22.0,7.0,0.0,0.0,0.0,20.0,25.0,65000,25.0,45,45,6,0.0,0.0,0.0,0.0,100.0,50.0,1.2,8.0,0.0
8,Hong Kong,East Asia,16.5,15.0,0.0,0.0,0.0,0.0,5.0,12.0,55000,12.0,35,35,4,0.0,0.0,0.0,0.0,100.0,50.0,1.0,6.0,0.0
9,Switzerland,Western Europe,8.5,40.0,7.7,0.0,0.0,0.0,10.0,35.0,85000,35.0,85,85,8,0.0,0.0,0.0,0.0,100.0,50.0,2.5,15.0,0.0
10,Ireland,Western Europe,12.5,40.0,23.0,33.0,33.0,0.0,4.0,35.0,85000,35.0,85,85,7,0.0,0.0,0.0,0.0,100.0,50.0,2.0,12.0,0.0
11,Estonia,Eastern Europe,20.0,20.0,20.0,20.0,0.0,0.0,33.0,40.0,25000,40.0,100,100,6,0.0,0.0,0.0,0.0,100.0,50.0,1.5,10.0,0.0
12,Latvia,Eastern Europe,20.0,23.0,21.0,20.0,0.0,0.0,34.0,42.0,20000,42.0,105,105,7,0.0,0.0,0.0,0.0,100.0,50.0,1.8,12.0,0.0
13,Lithuania,Eastern Europe,15.0,20.0,21.0,15.0,0.0,0.0,35.0,38.0,22000,38.0,95,95,6,0.0,0.0,0.0,0.0,100.0,50.0,1.6,11.0,0.0
14,Slovakia,Eastern Europe,21.0,25.0,20.0,19.0,0.0,0.0,34.0,42.0,18000,42.0,105,105,7,0.0,0.0,0.0,0.0,100.0,50.0,1.7,13.0,0.0
15,Czech Republic,Eastern Europe,19.0,23.0,21.0,15.0,0.0,0.0,34.0,40.0,25000,40.0,100,100,7,0.0,0.0,0.0,0.0,100.0,50.0,1.9,14.0,0.0
16,Hungary,Eastern Europe,9.0,15.0,27.0,15.0,0.0,0.0,33.0,35.0,18000,35.0,88,88,6,0.0,0.0,0.0,0.0,100.0,50.0,1.4,9.0,0.0
17,Poland,Eastern Europe,19.0,32.0,23.0,19.0,0.0,0.0,40.0,45.0,16000,45.0,115,115,8,0.0,0.0,0.0,0.0,100.0,50.0,2.1,16.0,0.0
