# Venture Capital Deals Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Company_Name,Industry,Sector,Deal_Value_Millions_USD,Deal_Stage,Investor_Type,Lead_Investor,Country,Region,Founding_Year,Employees,Revenue_Millions_USD,Valuation_Millions_USD,Previous_Funding_Rounds,Total_Funding_Millions_USD,Deal_Date,Exit_Strategy,Market_Cap_Estimate_Millions_USD,Revenue_Growth_Rate_Percent,User_Base_Millions,Monthly_Active_Users_Millions,Annual_Recurring_Revenue_Millions_USD,Customer_Acquisition_Cost_USD,Lifetime_Value_USD,Churn_Rate_Percent
1,OpenAI,Artificial Intelligence,Technology,10000.0,Series D,Corporate,Microsoft,United States,North America,2015,2000,200.0,29000.0,4,14000.0,2023-01-01,IPO,80000.0,150.0,100.0,50.0,200.0,25.0,500.0,5.0
2,Stripe,Fintech,Financial Services,6000.0,Series H,Private Equity,Sequoia Capital,United States,North America,2010,8000,12000.0,95000.0,8,22000.0,2023-03-01,IPO,120000.0,25.0,500.0,200.0,12000.0,15.0,800.0,2.0
3,SpaceX,Aerospace,Technology,2000.0,Series H,Private Equity,Founders Fund,United States,North America,2002,12000,2000.0,150000.0,12,15000.0,2023-05-01,IPO,200000.0,50.0,0.0,0.0,2000.0,0.0,0.0,0.0
4,Canva,Design Software,Technology,2000.0,Series C,Private Equity,Blackbird Ventures,Australia,Oceania,2013,4000,1000.0,40000.0,6,5000.0,2023-04-01,IPO,60000.0,80.0,135.0,100.0,1000.0,5.0,200.0,3.0
5,Discord,Communication,Technology,500.0,Series H,Private Equity,Index Ventures,United States,North America,2015,600,300.0,15000.0,7,1000.0,2023-06-01,IPO,25000.0,40.0,150.0,150.0,300.0,2.0,50.0,1.0
6,Epic Games,Gaming,Entertainment,2000.0,Series Unknown,Private Equity,Sony,United States,North America,1991,1000,5000.0,32000.0,3,5000.0,2023-02-01,IPO,50000.0,30.0,500.0,400.0,5000.0,10.0,100.0,2.0
7,ByteDance,Social Media,Technology,5000.0,Series F,Private Equity,SoftBank,China,East Asia,2012,150000,80000.0,300000.0,8,100000.0,2023-01-01,IPO,400000.0,100.0,2000.0,1500.0,80000.0,1.0,20.0,1.0
8,Klarna,Fintech,Financial Services,800.0,Series Unknown,Private Equity,Sequoia Capital,Sweden,Northern Europe,2005,5000,1000.0,6500.0,10,4000.0,2023-03-01,IPO,15000.0,20.0,150.0,100.0,1000.0,8.0,120.0,4.0
9,Revolut,Fintech,Financial Services,800.0,Series E,Private Equity,Tiger Global,United Kingdom,Western Europe,2015,8000,1000.0,33000.0,8,2000.0,2023-04-01,IPO,50000.0,60.0,35.0,25.0,1000.0,12.0,200.0,3.0
10,Chime,Fintech,Financial Services,1000.0,Series F,Private Equity,General Atlantic,United States,North America,2013,2000,1000.0,25000.0,7,2000.0,2023-05-01,IPO,40000.0,50.0,20.0,15.0,1000.0,15.0,300.0,2.0
11,UiPath,Robotic Process Automation,Technology,750.0,Series F,Private Equity,Accel,United States,North America,2005,4000,1000.0,35000.0,8,2000.0,2023-06-01,IPO,60000.0,40.0,10.0,5.0,1000.0,50.0,2000.0,5.0
12,Palantir,Data Analytics,Technology,1000.0,Series Unknown,Private Equity,Founders Fund,United States,North America,2003,3000,2000.0,20000.0,5,3000.0,2023-02-01,IPO,30000.0,30.0,5.0,2.0,2000.0,100.0,5000.0,3.0
13,Snowflake,Cloud Data,Technology,500.0,Series G,Private Equity,Altimeter Capital,United States,North America,2012,8000,2000.0,12000.0,6,1500.0,2023-03-01,IPO,25000.0,60.0,8.0,3.0,2000.0,200.0,10000.0,2.0
14,Airbnb,Travel,Technology,1000.0,Series F,Private Equity,Andreessen Horowitz,United States,North America,2008,6000,8000.0,100000.0,10,6000.0,2023-04-01,IPO,150000.0,20.0,1000.0,800.0,8000.0,5.0,100.0,1.0
15,Uber,Transportation,Technology,500.0,Series H,Private Equity,SoftBank,United States,North America,2009,32000,25000.0,120000.0,15,25000.0,2023-05-01,IPO,200000.0,15.0,150.0,100.0,25000.0,8.0,200.0,2.0
16,Lyft,Transportation,Technology,300.0,Series I,Private Equity,General Motors,United States,North America,2012,5000,4000.0,15000.0,12,5000.0,2023-06-01,IPO,25000.0,10.0,30.0,20.0,4000.0,10.0,150.0,3.0
17,DoorDash,Food Delivery,Technology,400.0,Series H,Private Equity,SoftBank,United States,North America,2013,20000,8000.0,40000.0,10,3000.0,2023-02-01,IPO,60000.0,25.0,50.0,40.0,8000.0,12.0,80.0,2.0
18,Instacart,Grocery Delivery,Technology,200.0,Series H,Private Equity,Andreessen Horowitz,United States,North America,2012,10000,3000.0,39000.0,9,2000.0,2023-03-01,IPO,50000.0,30.0,15.0,10.0,3000.0,20.0,200.0,4.0
19,Peloton,Fitness,Technology,100.0,Series F,Private Equity,Tiger Global,United States,North America,2012,5000,4000.0,8000.0,8,1000.0,2023-04-01,IPO,15000.0,5.0,7.0,5.0,4000.0,30.0,500.0,6.0
20,Robinhood,Fintech,Financial Services,200.0,Series G,Private Equity,Index Ventures,United States,North America,2013,3000,2000.0,12000.0,7,2000.0,2023-05-01,IPO,20000.0,40.0,23.0,15.0,2000.0,25.0,300.0,3.0
21,Coinbase,Cryptocurrency,Financial Services,300.0,Series E,Private Equity,Andreessen Horowitz,United States,North America,2012,5000,8000.0,100000.0,8,5000.0,2023-06-01,IPO,150000.0,80.0,100.0,50.0,8000.0,15.0,200.0,2.0
22,Kraken,Cryptocurrency,Financial Services,100.0,Series C,Private Equity,Hummingbird Ventures,United States,North America,2011,3000,1000.0,10000.0,5,2000.0,2023-02-01,IPO,20000.0,60.0,9.0,6.0,1000.0,20.0,400.0,3.0
23,FTX,Cryptocurrency,Financial Services,400.0,Series B,Private Equity,Paradigm,United States,North America,2019,300,2000.0,32000.0,3,2000.0,2023-03-01,Bankruptcy,0.0,200.0,1.0,0.5,2000.0,50.0,1000.0,1.0
