# Holidays Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Holiday_Name,Date,Country,Significance,Traditions,Type,Public_Holiday,Religious_Holiday,Season,Popularity_Score
1,New Year's Day,January 1,Global,Celebration of new year,Fireworks parties resolutions,Cultural,Yes,No,Winter,95
2,Christmas Day,December 25,Global,Birth of Jesus Christ,Gift giving family gatherings,Religious,Yes,Yes,Winter,98
3,Easter Sunday,Varies,Global,Resurrection of Jesus Christ,Egg hunts church services,Religious,Yes,Yes,Spring,85
4,Thanksgiving,Fourth Thursday November,United States,Gratitude and harvest feast,Family dinner turkey,Cultural,Yes,No,Autumn,90
5,Halloween,October 31,United States,Celtic festival of the dead,Trick-or-treating costumes,Cultural,No,No,Autumn,88
6,Valentine's Day,February 14,Global,Celebration of love,Romance gifts flowers,Cultural,No,No,Winter,75
7,Independence Day,July 4,United States,Declaration of Independence,Fireworks parades barbecues,Cultural,Yes,No,Summer,92
8,Mother's Day,Second Sunday May,United States,Honoring mothers,Flowers gifts brunch,Cultural,No,No,Spring,80
9,Father's Day,Third Sunday June,United States,Honoring fathers,Gifts barbecues activities,Cultural,No,No,Summer,75
10,Labor Day,First Monday September,United States,Honoring workers,Parades barbecues rest,Cultural,Yes,No,Autumn,70
11,Memorial Day,Last Monday May,United States,Honoring fallen soldiers,Parades ceremonies,Cultural,Yes,No,Spring,85
12,Veterans Day,November 11,United States,Honoring veterans,Parades ceremonies,Cultural,Yes,No,Autumn,80
13,Martin Luther King Jr Day,Third Monday January,United States,Civil rights leader,Service parades,Cultural,Yes,No,Winter,75
14,Presidents Day,Third Monday February,United States,Honoring presidents,Sales ceremonies,Cultural,Yes,No,Winter,60
15,Columbus Day,Second Monday October,United States,Discovery of America,Parades ceremonies,Cultural,Yes,No,Autumn,55
16,Cinco de Mayo,May 5,Mexico,Battle of Puebla victory,Parades music food,Cultural,Yes,No,Spring,70
17,Day of the Dead,November 1-2,Mexico,Honoring deceased ancestors,Altars offerings,Cultural,Yes,No,Autumn,85
18,Chinese New Year,Varies,China,New year celebration,Fireworks family gatherings,Cultural,Yes,No,Winter,90
19,Mid-Autumn Festival,Varies,China,Harvest celebration,Mooncakes family gatherings,Cultural,Yes,No,Autumn,80
20,Diwali,Varies,India,Festival of lights,Fireworks sweets lights,Religious,Yes,Yes,Autumn,95
21,Holi,Varies,India,Festival of colors,Color throwing celebrations,Religious,Yes,Yes,Spring,85
22,Ramadan,Varies,Islamic World,Holy month of fasting,Fasting prayer charity,Religious,Yes,Yes,Varies,90
23,Eid al-Fitr,Varies,Islamic World,End of Ramadan,Feasting gifts charity,Religious,Yes,Yes,Varies,88
24,Eid al-Adha,Varies,Islamic World,Feast of sacrifice,Sacrifice charity pilgrimage,Religious,Yes,Yes,Varies,85
25,Hanukkah,Varies,Jewish Communities,Rededication of Temple,Menorah lighting gifts,Religious,Yes,Yes,Winter,80
26,Passover,Varies,Jewish Communities,Exodus from Egypt,Seder meal matzah,Religious,Yes,Yes,Spring,85
27,Rosh Hashanah,Varies,Jewish Communities,Jewish New Year,Apples honey prayers,Religious,Yes,Yes,Autumn,80
28,Yom Kippur,Varies,Jewish Communities,Day of Atonement,Fasting prayer repentance,Religious,Yes,Yes,Autumn,85
29,Buddha's Birthday,Varies,Buddhist Countries,Birth of Buddha,Temple visits offerings,Religious,Yes,Yes,Spring,75
30,Vesak,Varies,Buddhist Countries,Buddha's enlightenment,Temple visits meditation,Religious,Yes,Yes,Spring,70
31,Oktoberfest,September-October,Germany,Bavarian culture celebration,Beer music food,Cultural,Yes,No,Autumn,85
32,Carnival,Varies,Brazil,Pre-Lenten celebration,Parades costumes music,Cultural,Yes,No,Winter,90
33,Mardi Gras,Varies,United States,Pre-Lenten celebration,Parades beads music,Cultural,Yes,No,Winter,80
34,St Patrick's Day,March 17,Ireland,Patron saint of Ireland,Green clothing parades,Cultural,Yes,No,Spring,75
35,Bastille Day,July 14,France,French Revolution,Parades fireworks,Cultural,Yes,No,Summer,85
36,Canada Day,July 1,Canada,Confederation of Canada,Fireworks parades,Cultural,Yes,No,Summer,80
37,Australia Day,January 26,Australia,Foundation of Australia,Fireworks barbecues,Cultural,Yes,No,Summer,75
38,Boxing Day,December 26,United Kingdom,St Stephen's Day,Shopping sales,Cultural,Yes,No,Winter,70
39,Guy Fawkes Night,November 5,United Kingdom,Gunpowder Plot,Fireworks bonfires,Cultural,No,No,Autumn,65
40,May Day,May 1,Global,International Workers' Day,Parades demonstrations,Cultural,Yes,No,Spring,60
41,Earth Day,April 22,Global,Environmental awareness,Environmental activities,Cultural,No,No,Spring,70
42,Black Friday,Day after Thanksgiving,United States,Shopping holiday,Shopping sales,Cultural,No,No,Autumn,85
43,Cyber Monday,Monday after Thanksgiving,United States,Online shopping,Shopping sales,Cultural,No,No,Autumn,75
44,Super Bowl Sunday,First Sunday February,United States,NFL championship,Parties food,Cultural,No,No,Winter,90
