# Languages Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Language_Name,Language_Family,Native_Speakers_Millions,Total_Speakers_Millions,Writing_System,Country_Origin,Endangered_Status,UNESCO_Status,Script_Type,Language_Code
1,Mandarin Chinese,Sino-Tibetan,918,1120,Chinese characters,China,Not Endangered,Safe,Logographic,zh
2,Spanish,Indo-European,460,580,Latin script,Spain,Not Endangered,Safe,Alphabetic,es
3,English,Indo-European,379,1500,Latin script,United Kingdom,Not Endangered,Safe,Alphabetic,en
4,Hindi,Indo-European,341,600,Devanagari script,India,Not Endangered,Safe,Alphabetic,hi
5,Arabic,Afro-Asiatic,315,422,Arabic script,Saudi Arabia,Not Endangered,Safe,Abjad,ar
6,Bengali,Indo-European,228,265,Bengali script,Bangladesh,Not Endangered,Safe,Alphabetic,bn
7,Portuguese,Indo-European,221,260,Latin script,Portugal,Not Endangered,Safe,Alphabetic,pt
8,Russian,Indo-European,154,258,Cyrillic script,Russia,Not Endangered,Safe,Alphabetic,ru
9,Japanese,Japanese,125,125,Japanese scripts,Japan,Not Endangered,Safe,Logographic,jp
10,Punjabi,Indo-European,119,150,Gurmukhi script,India,Not Endangered,Safe,Alphabetic,pa
11,German,Indo-European,95,100,Latin script,Germany,Not Endangered,Safe,Alphabetic,de
12,Javanese,Austronesian,84,84,Latin script,Indonesia,Not Endangered,Safe,Alphabetic,jv
13,French,Indo-European,80,280,Latin script,France,Not Endangered,Safe,Alphabetic,fr
14,Korean,Korean,77,77,Hangul script,South Korea,Not Endangered,Safe,Alphabetic,ko
15,Telugu,Dravidian,75,75,Telugu script,India,Not Endangered,Safe,Alphabetic,te
16,Marathi,Indo-European,73,73,Devanagari script,India,Not Endangered,Safe,Alphabetic,mr
17,Turkish,Turkic,71,80,Latin script,Turkey,Not Endangered,Safe,Alphabetic,tr
18,Tamil,Dravidian,69,75,Tamil script,India,Not Endangered,Safe,Alphabetic,ta
19,Vietnamese,Austroasiatic,68,75,Latin script,Vietnam,Not Endangered,Safe,Alphabetic,vi
20,Italian,Indo-European,65,65,Latin script,Italy,Not Endangered,Safe,Alphabetic,it
21,Urdu,Indo-European,64,230,Perso-Arabic script,Pakistan,Not Endangered,Safe,Alphabetic,ur
22,Gujarati,Indo-European,56,56,Gujarati script,India,Not Endangered,Safe,Alphabetic,gu
23,Polish,Indo-European,38,50,Latin script,Poland,Not Endangered,Safe,Alphabetic,pl
24,Ukrainian,Indo-European,37,40,Cyrillic script,Ukraine,Not Endangered,Safe,Alphabetic,uk
25,Malayalam,Dravidian,35,35,Malayalam script,India,Not Endangered,Safe,Alphabetic,ml
26,Kannada,Dravidian,35,35,Kannada script,India,Not Endangered,Safe,Alphabetic,kn
27,Oriya,Indo-European,33,33,Odia script,India,Not Endangered,Safe,Alphabetic,or
28,Burmese,Sino-Tibetan,32,32,Burmese script,Myanmar,Not Endangered,Safe,Alphabetic,my
