# Religions Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Religion_Name,Followers_Millions,Percentage_World_Population,Founding_Year,Founder,Main_Texts,Primary_Regions,Main_Beliefs,Practices,Festivals,Sacred_Places,Denominations
1,Christianity,2400,31.1,1 CE,Jesus Christ,Bible,Global,Monotheism Trinity Resurrection,Baptism Communion Prayer,Easter Christmas Pentecost,Jerusalem Vatican Bethlehem,Catholic Protestant Orthodox
2,Islam,1900,24.9,610 CE,Muhammad,Quran Hadith,Middle East Africa Asia,Monotheism Five Pillars,Jihad Hajj Prayer Ramadan,Id al-Fitr Id al-Adha Ramadan,Mecca Medina Jerusalem,Sunni Shia Sufi
3,Hinduism,1200,15.7,1500 BCE,No single founder,Vedas Upanishads Bhagavad Gita,India Nepal,Polytheism Karma Dharma Moksha,Puja Meditation Yoga,Diwali Holi Navratri,Varanasi Haridwar Ayodhya,Vaishnavism Shaivism Shaktism
4,Buddhism,500,6.5,563 BCE,Siddhartha Gautama,Tripitaka Sutras,Asia,Four Noble Truths Eightfold Path,Meditation Mindfulness,Visakha Puja Vesak Bodhi Day,Bodh Gaya Lumbini Sarnath,Theravada Mahayana Vajrayana
5,Sikhism,30,0.4,1469 CE,Guru Nanak,Guru Granth Sahib,India Pakistan,Monotheism Equality Service,Langar Meditation Prayer,Vaisakhi Diwali Gurpurab,Golden Temple Amritsar,No denominations
6,Judaism,15,0.2,2000 BCE,Abraham,Torah Talmud,Israel United States,Monotheism Covenant,Shabbat Kosher Prayer,Hanukkah Passover Yom Kippur,Jerusalem Western Wall,Orthodox Conservative Reform
7,Baha'i Faith,8,0.1,1844 CE,Baha'u'llah,Kitab-i-Aqdas,Global,Unity of God Unity of Religion,Fasting Prayer Service,Naw-Ruz Ridvan,Bahji Haifa,No denominations
8,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
9,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
10,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
11,Confucianism,6,0.1,551 BCE,Confucius,Analects,China Korea,Five Relationships Filial piety,Rituals Education,Confucius Birthday,Confucius Temple,No denominations
12,Zoroastrianism,0.1,0.001,1500 BCE,Zoroaster,Avesta,Iran India,Good vs Evil Dualism,Fire worship Prayer,Nowruz Yalda,Fire temples,No denominations
