# Animation Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Title,Studio,Style,Release_Year,Country,Genre,Duration_Minutes,Budget_Millions_USD,Box_Office_Millions_USD,IMDb_Rating,Rotten_Tomatoes_Percent,Director,Producer,Animation_Technique,Target_Audience,Language,Sequel_Prequel,Academy_Award_Nominated,Academy_Award_Won,Golden_Globe_Nominated,Golden_Globe_Won,Annie_Award_Nominated,Annie_Award_Won,Streaming_Platform,Home_Media_Release,Merchandise_Revenue_Millions_USD,Cultural_Impact_Score
1,Toy Story,Pixar,3D Computer,1995,USA,Adventure,81,30.0,373.6,8.3,100,John Lasseter,Ralph Guggenheim,3D Computer Animation,Family,English,Original,Yes,No,Yes,Yes,Yes,Yes,Disney+,1996-03-22,500.0,9.5
2,The Lion King,Disney,2D Traditional,1994,USA,Musical,88,45.0,968.5,8.5,93,Roger Allers,Don Hahn,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,1995-03-03,1000.0,9.8
3,Spirited Away,Studio Ghibli,2D Traditional,2001,Japan,Fantasy,125,19.0,395.0,8.6,97,Hayao Miyazaki,Toshio Suzuki,2D Traditional Animation,Family,Japanese,Original,Yes,Yes,No,No,Yes,Yes,HBO Max,2003-09-12,200.0,9.2
4,Finding Nemo,Pixar,3D Computer,2003,USA,Adventure,100,94.0,940.3,8.1,99,Andrew Stanton,Graham Walters,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2003-11-04,800.0,9.0
5,Shrek,DreamWorks,3D Computer,2001,USA,Comedy,90,60.0,484.4,7.8,88,Andrew Adamson,Aron Warner,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Peacock,2001-11-02,600.0,8.5
6,The Incredibles,Pixar,3D Computer,2004,USA,Action,115,92.0,631.4,8.0,97,Brad Bird,John Walker,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2004-11-05,700.0,8.8
7,Up,Pixar,3D Computer,2009,USA,Adventure,96,175.0,735.1,8.2,98,Pete Docter,Jonas Rivera,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2009-11-10,500.0,9.0
8,WALL-E,Pixar,3D Computer,2008,USA,Sci-Fi,98,180.0,521.3,8.4,96,Andrew Stanton,Jim Morris,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2008-11-18,400.0,9.3
9,Frozen,Disney,3D Computer,2013,USA,Musical,102,150.0,1280.0,7.4,89,Chris Buck,Jennifer Lee,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2014-03-18,1200.0,8.5
10,Moana,Disney,3D Computer,2016,USA,Adventure,107,150.0,643.3,7.6,95,Ron Clements,Osnat Shurer,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2017-03-07,600.0,8.2
11,Coco,Pixar,3D Computer,2017,USA,Musical,105,175.0,807.8,8.4,97,Lee Unkrich,Darla K. Anderson,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2018-02-27,500.0,9.1
12,Spider-Man: Into the Spider-Verse,Sony Pictures,3D Computer,2018,USA,Action,117,90.0,375.5,8.4,97,Peter Ramsey,Bob Persichetti,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Netflix,2019-03-19,300.0,9.2
13,Your Name,Makoto Shinkai,2D Traditional,2016,Japan,Romance,106,3.5,358.0,8.2,98,Makoto Shinkai,Genki Kawamura,2D Traditional Animation,Teen,Japanese,Original,No,No,No,No,Yes,Yes,Crunchyroll,2017-04-18,100.0,8.8
14,The Nightmare Before Christmas,Disney,Stop Motion,1993,USA,Musical,76,18.0,91.0,8.0,95,Henry Selick,Tim Burton,Stop Motion Animation,Family,English,Original,Yes,No,Yes,Yes,Yes,Yes,Disney+,1994-10-13,200.0,8.5
15,Corpse Bride,Warner Bros,Stop Motion,2005,USA,Musical,77,40.0,117.2,7.3,84,Tim Burton,Allison Abbate,Stop Motion Animation,Family,English,Original,Yes,No,Yes,Yes,Yes,Yes,HBO Max,2006-01-31,150.0,7.8
16,Kubo and the Two Strings,Laika,Stop Motion,2016,USA,Adventure,101,60.0,77.6,7.8,97,Travis Knight,Arianne Sutner,Stop Motion Animation,Family,English,Original,Yes,No,Yes,Yes,Yes,Yes,Netflix,2017-01-24,100.0,8.5
17,The Iron Giant,Warner Bros,2D Traditional,1999,USA,Sci-Fi,86,50.0,31.3,8.1,96,Brad Bird,Des McAnuff,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,HBO Max,2000-02-15,50.0,8.8
18,Princess Mononoke,Studio Ghibli,2D Traditional,1997,Japan,Fantasy,134,23.5,159.4,8.4,93,Hayao Miyazaki,Toshio Suzuki,2D Traditional Animation,Family,Japanese,Original,No,No,No,No,Yes,Yes,HBO Max,2000-10-20,150.0,9.0
19,Howl's Moving Castle,Studio Ghibli,2D Traditional,2004,Japan,Fantasy,119,24.0,235.2,8.2,87,Hayao Miyazaki,Toshio Suzuki,2D Traditional Animation,Family,Japanese,Original,Yes,No,No,No,Yes,Yes,HBO Max,2005-06-10,200.0,8.7
20,My Neighbor Totoro,Studio Ghibli,2D Traditional,1988,Japan,Fantasy,86,3.5,41.0,8.2,94,Hayao Miyazaki,Toru Hara,2D Traditional Animation,Family,Japanese,Original,No,No,No,No,Yes,Yes,HBO Max,1993-05-07,300.0,9.3
21,Grave of the Fireflies,Studio Ghibli,2D Traditional,1988,Japan,Drama,89,3.8,516.0,8.5,100,Isao Takahata,Toru Hara,2D Traditional Animation,Family,Japanese,Original,No,No,No,No,Yes,Yes,HBO Max,1993-07-26,100.0,9.5
22,Akira,Toho,2D Traditional,1988,Japan,Sci-Fi,124,8.0,80.0,8.0,90,Katsuhiro Otomo,Ryohei Suzuki,2D Traditional Animation,Adult,Japanese,Original,No,No,No,No,Yes,Yes,HBO Max,1991-12-25,200.0,9.0
23,Ghost in the Shell,Production I.G,2D Traditional,1995,Japan,Sci-Fi,83,10.0,2.0,8.0,96,Mamoru Oshii,Mitsuhisa Ishikawa,2D Traditional Animation,Adult,Japanese,Original,No,No,No,No,Yes,Yes,HBO Max,1996-09-27,150.0,8.8
24,Perfect Blue,Madhouse,2D Traditional,1997,Japan,Thriller,81,3.0,0.1,8.0,78,Satoshi Kon,Masao Maruyama,2D Traditional Animation,Adult,Japanese,Original,No,No,No,No,Yes,Yes,HBO Max,1999-05-28,50.0,8.5
25,Paprika,Madhouse,2D Traditional,2006,Japan,Sci-Fi,90,3.0,0.9,7.7,85,Satoshi Kon,Masao Maruyama,2D Traditional Animation,Adult,Japanese,Original,No,No,No,No,Yes,Yes,HBO Max,2007-05-25,75.0,8.2
26,The Tale of the Princess Kaguya,Studio Ghibli,2D Traditional,2013,Japan,Drama,137,49.0,25.0,8.0,100,Isao Takahata,Yoshiaki Nishimura,2D Traditional Animation,Family,Japanese,Original,Yes,No,No,No,Yes,Yes,HBO Max,2015-02-17,100.0,8.8
27,The Wind Rises,Studio Ghibli,2D Traditional,2013,Japan,Drama,126,30.0,136.0,7.8,88,Hayao Miyazaki,Toshio Suzuki,2D Traditional Animation,Family,Japanese,Original,Yes,No,No,No,Yes,Yes,HBO Max,2014-11-18,150.0,8.5
28,When Marnie Was There,Studio Ghibli,2D Traditional,2014,Japan,Drama,103,10.0,37.0,7.7,92,Hiromasa Yonebayashi,Yoshiaki Nishimura,2D Traditional Animation,Family,Japanese,Original,Yes,No,No,No,Yes,Yes,HBO Max,2015-07-03,75.0,8.0
29,The Red Turtle,Studio Ghibli,2D Traditional,2016,Japan,Drama,80,10.0,1.0,7.3,93,Michaël Dudok de Wit,Toshio Suzuki,2D Traditional Animation,Family,None,Original,Yes,No,No,No,Yes,Yes,HBO Max,2017-01-20,50.0,8.2
30,Earwig and the Witch,Studio Ghibli,3D Computer,2020,Japan,Fantasy,82,10.0,5.0,5.2,29,Goro Miyazaki,Toshio Suzuki,3D Computer Animation,Family,Japanese,Original,No,No,No,No,Yes,No,HBO Max,2021-02-03,25.0,6.0
31,The Boy and the Heron,Studio Ghibli,2D Traditional,2023,Japan,Fantasy,124,50.0,168.0,7.6,96,Hayao Miyazaki,Toshio Suzuki,2D Traditional Animation,Family,Japanese,Original,Yes,No,No,No,Yes,Yes,HBO Max,2024-03-12,200.0,8.8
32,Inside Out,Pixar,3D Computer,2015,USA,Comedy,95,175.0,858.8,8.1,98,Pete Docter,Jonas Rivera,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2015-11-03,600.0,9.0
33,Zootopia,Disney,3D Computer,2016,USA,Comedy,108,150.0,1024.0,8.0,98,Byron Howard,Jared Bush,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2016-06-07,800.0,8.8
34,Big Hero 6,Disney,3D Computer,2014,USA,Action,102,165.0,657.8,7.8,89,Don Hall,Chris Williams,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2015-02-24,500.0,8.2
35,Wreck-It Ralph,Disney,3D Computer,2012,USA,Comedy,101,165.0,471.2,7.7,87,Rich Moore,Clark Spencer,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2013-03-05,400.0,8.0
