# Awards Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Award_Name,Category,Year,Winner,Work_Title,Genre,Platform,Country,Age,Gender,Previous_Wins,Previous_Nominations,Box_Office_Millions_USD,IMDb_Rating,Rotten_Tomatoes_Percent,Metacritic_Score,Audience_Score,Social_Media_Reaction,Controversy_Level,Acceptance_Speech_Length_Seconds,Red_Carpet_Rating,After_Party_Rating,Media_Coverage_Hours,Public_Reaction_Score,Cultural_Impact_Score
1,Academy Award,Best Picture,2023,Everything Everywhere All at Once,Everything Everywhere All at Once,Sci-Fi Comedy,Theater,USA,0,0,0,0,143.0,8.1,95,81,85,Positive,Low,45,9.0,8.5,24,9.2,9.5
2,Academy Award,Best Director,2023,Daniel Kwan,Everything Everywhere All at Once,Sci-Fi Comedy,Theater,USA,34,Male,0,0,143.0,8.1,95,81,85,Positive,Low,38,8.5,8.0,20,9.0,9.2
3,Academy Award,Best Actor,2023,Brendan Fraser,The Whale,Drama,Theater,USA,54,Male,0,1,54.0,7.7,64,60,70,Positive,Medium,42,8.0,7.5,18,8.5,8.8
4,Academy Award,Best Actress,2023,Michelle Yeoh,Everything Everywhere All at Once,Sci-Fi Comedy,Theater,USA,60,Female,0,0,143.0,8.1,95,81,85,Positive,Low,35,9.0,8.5,22,9.5,9.8
5,Academy Award,Best Supporting Actor,2023,Ke Huy Quan,Everything Everywhere All at Once,Sci-Fi Comedy,Theater,USA,51,Male,0,0,143.0,8.1,95,81,85,Positive,Low,40,8.5,8.0,19,9.0,9.2
6,Academy Award,Best Supporting Actress,2023,Jamie Lee Curtis,Everything Everywhere All at Once,Sci-Fi Comedy,Theater,USA,64,Female,0,0,143.0,8.1,95,81,85,Positive,Low,33,8.0,7.5,17,8.8,8.9
7,Academy Award,Best Original Screenplay,2023,Daniel Kwan,Everything Everywhere All at Once,Sci-Fi Comedy,Theater,USA,34,Male,0,0,143.0,8.1,95,81,85,Positive,Low,28,8.5,8.0,15,9.0,9.2
8,Academy Award,Best Adapted Screenplay,2023,Sarah Polley,Women Talking,Drama,Theater,USA,44,Female,0,1,12.0,7.2,90,78,80,Positive,Low,31,7.5,7.0,12,8.5,8.7
9,Academy Award,Best Animated Feature,2023,Guillermo del Toro,Guillermo del Toro's Pinocchio,Fantasy,Theater,USA,58,Male,2,3,25.0,7.4,97,79,82,Positive,Low,36,8.0,7.5,16,8.8,8.9
10,Academy Award,Best International Feature,2023,Edward Berger,All Quiet on the Western Front,War,Theater,Germany,52,Male,0,0,15.0,7.8,90,76,78,Positive,Low,29,7.5,7.0,14,8.5,8.6
