# Celebrity Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Name,Profession,Net_Worth_Millions_USD,Age,Country,Industry,Social_Media_Followers_Millions,Instagram_Handle,Twitter_Handle,TikTok_Handle,YouTube_Subscribers_Millions,Annual_Income_Millions_USD,Endorsements_Count,Awards_Won,Awards_Nominated,Marital_Status,Children_Count,Education_Level,Charity_Work,Business_Ventures,Public_Image_Score,Controversy_Count,Media_Coverage_Rating,Influence_Score
1,Dwayne Johnson,Actor,800.0,51,USA,Entertainment,400.0,@therock,@TheRock,@therock,0.0,87.5,15,0,0,Married,3,Bachelor's,Yes,Multiple,9.2,1,High,9.5
2,Taylor Swift,Musician,740.0,34,USA,Music,300.0,@taylorswift,@taylorswift,@taylorswift,0.0,92.0,8,12,25,Single,0,Bachelor's,Yes,Multiple,9.0,2,High,9.8
3,Kim Kardashian,Reality Star,1.8,43,USA,Entertainment,350.0,@kimkardashian,@KimKardashian,@kimkardashian,0.0,75.0,12,0,0,Divorced,4,High School,Yes,Multiple,7.5,5,High,8.5
4,Kanye West,Musician,400.0,46,USA,Music,50.0,@kanyewest,@kanyewest,@kanyewest,0.0,45.0,5,24,67,Divorced,4,High School,Yes,Multiple,6.0,10,High,8.0
5,Cristiano Ronaldo,Athlete,500.0,39,Portugal,Sports,600.0,@cristiano,@Cristiano,@cristiano,0.0,105.0,20,5,8,Single,5,High School,Yes,Multiple,8.5,3,High,9.2
6,Lionel Messi,Athlete,600.0,36,Argentina,Sports,500.0,@leomessi,@leomessi,@leomessi,0.0,95.0,15,7,12,Married,3,High School,Yes,Multiple,9.0,1,High,9.5
7,Oprah Winfrey,Media Mogul,2.8,70,USA,Media,50.0,@oprah,@Oprah,@oprah,0.0,150.0,3,18,25,Single,0,Bachelor's,Yes,Multiple,9.5,0,Medium,9.8
8,Elon Musk,Entrepreneur,180.0,52,USA,Technology,150.0,@elonmusk,@elonmusk,@elonmusk,0.0,200.0,2,0,0,Divorced,10,Bachelor's,Yes,Multiple,7.0,8,High,9.0
9,Jeff Bezos,Entrepreneur,150.0,60,USA,Technology,5.0,@jeffbezos,@JeffBezos,@jeffbezos,0.0,180.0,1,0,0,Divorced,4,Bachelor's,Yes,Multiple,8.0,3,Medium,8.5
10,Bill Gates,Entrepreneur,120.0,68,USA,Technology,10.0,@billgates,@BillGates,@billgates,0.0,100.0,0,0,0,Married,3,Bachelor's,Yes,Multiple,9.0,1,Medium,9.2
11,Warren Buffett,Investor,100.0,93,USA,Finance,2.0,@warrenbuffett,@WarrenBuffett,@warrenbuffett,0.0,80.0,0,0,0,Widowed,3,Bachelor's,Yes,Multiple,9.5,0,Low,8.8
12,Mark Zuckerberg,Entrepreneur,90.0,40,USA,Technology,20.0,@zuck,@zuck,@zuck,0.0,70.0,0,0,0,Married,3,Bachelor's,Yes,Multiple,6.5,5,High,8.0
13,Tom Cruise,Actor,600.0,61,USA,Entertainment,10.0,@tomcruise,@TomCruise,@tomcruise,0.0,50.0,3,3,6,Divorced,3,High School,Yes,Multiple,8.0,2,High,8.5
14,Robert Downey Jr,Actor,300.0,59,USA,Entertainment,25.0,@robertdowneyjr,@RobertDowneyJr,@robertdowneyjr,0.0,40.0,5,1,2,Married,3,High School,Yes,Multiple,8.5,3,High,8.8
15,Leonardo DiCaprio,Actor,260.0,49,USA,Entertainment,30.0,@leonardodicaprio,@LeoDiCaprio,@leonardodicaprio,0.0,30.0,2,1,6,Single,0,High School,Yes,Multiple,9.0,1,High,9.0
16,Will Smith,Actor,350.0,55,USA,Entertainment,40.0,@willsmith,@WillSmith,@willsmith,0.0,35.0,4,1,2,Married,3,High School,Yes,Multiple,7.5,2,High,8.5
17,Tom Hanks,Actor,400.0,67,USA,Entertainment,5.0,@tomhanks,@TomHanks,@tomhanks,0.0,25.0,1,2,5,Married,4,Bachelor's,Yes,Multiple,9.5,0,Medium,9.2
18,George Clooney,Actor,500.0,63,USA,Entertainment,8.0,@georgeclooney,@GeorgeClooney,@georgeclooney,0.0,20.0,2,2,4,Married,2,Bachelor's,Yes,Multiple,9.0,0,Medium,8.8
19,Brad Pitt,Actor,300.0,60,USA,Entertainment,15.0,@bradpitt,@BradPitt,@bradpitt,0.0,25.0,3,1,3,Divorced,6,High School,Yes,Multiple,8.0,2,High,8.5
20,Johnny Depp,Actor,150.0,61,USA,Entertainment,20.0,@johnnydepp,@JohnnyDepp,@johnnydepp,0.0,15.0,2,0,3,Divorced,2,High School,Yes,Multiple,6.0,5,High,7.5
21,Scarlett Johansson,Actor,165.0,39,USA,Entertainment,25.0,@scarlettjohansson,@ScarlettJohansson,@scarlettjohansson,0.0,20.0,4,0,2,Married,2,Bachelor's,Yes,Multiple,8.5,1,High,8.8
