# Music Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Artist_Name,Song_Title,Album_Name,Release_Year,Genre,Duration_Seconds,Label,Country,Language,Chart_Peak,Platinum_Certifications,Sales_Millions,Spotify_Streams_Millions
1,Taylor Swift,Anti-Hero,Midnights,2022,Pop,201,Republic Records,United States,English,1,3,15.2,1200
2,Bad Bunny,Un Coco,Bad Bunny,2022,Reggaeton,180,Rimas Entertainment,Puerto Rico,Spanish,1,2,12.8,980
3,Drake,God's Plan,Scorpion,2018,Hip-Hop,198,OVO Sound,Canada,English,1,4,18.5,1500
4,Ed Sheeran,Shape of You,÷,2017,Pop,233,Asylum Records,United Kingdom,English,1,4,20.1,1800
5,The Weeknd,Blinding Lights,After Hours,2020,Pop,200,Republic Records,Canada,English,1,3,16.8,1400
6,Dua Lipa,Levitating,Future Nostalgia,2020,Pop,203,Warner Records,United Kingdom,English,2,2,12.5,1100
7,Olivia Rodrigo,drivers license,SOUR,2021,Pop,242,Geffen Records,United States,English,1,3,14.2,1200
8,Billie Eilish,bad guy,When We All Fall Asleep,2019,Pop,194,Darkroom Records,United States,English,1,3,15.8,1300
9,Ariana Grande,7 rings,thank u next,2019,Pop,179,Republic Records,United States,English,1,3,16.5,1250
10,Post Malone,Circles,Hollywood's Bleeding,2019,Hip-Hop,215,Republic Records,United States,English,1,3,14.8,1150
11,Lewis Capaldi,Someone You Loved,Divinely Uninspired,2019,Pop,182,Vertigo Records,United Kingdom,English,1,2,13.2,1050
12,Shawn Mendes,Señorita,Shawn Mendes,2019,Pop,191,Island Records,Canada,English,1,2,12.8,1000
13,Camila Cabello,Havana,Camila,2018,Pop,217,Epic Records,Cuba,English,1,2,15.5,1200
14,Bruno Mars,That's What I Like,24K Magic,2016,Pop,207,Atlantic Records,United States,English,1,2,14.2,1100
15,Justin Bieber,Sorry,Purpose,2015,Pop,200,Def Jam Recordings,Canada,English,1,2,16.8,1300
16,Adele,Hello,25,2015,Pop,295,XL Recordings,United Kingdom,English,1,3,18.5,1500
17,Mark Ronson,Uptown Funk,Uptown Special,2014,Funk,269,RCA Records,United Kingdom,English,1,3,17.2,1400
18,Pharrell Williams,Happy,Girl,2013,Pop,233,Columbia Records,United States,English,1,3,16.8,1300
19,Lorde,Royals,Pure Heroine,2013,Pop,201,Lava Records,New Zealand,English,1,2,15.5,1200
20,Macklemore,Thrift Shop,The Heist,2012,Hip-Hop,218,Macklemore LLC,United States,English,1,2,14.2,1100
21,Gotye,Somebody That I Used to Know,Making Mirrors,2011,Pop,244,Eleven,Belgium,English,1,2,13.8,1050
22,Adele,Rolling in the Deep,21,2010,Pop,228,XL Recordings,United Kingdom,English,1,3,17.5,1400
23,Lady Gaga,Bad Romance,The Fame Monster,2009,Pop,294,Interscope Records,United States,English,2,2,15.2,1200
24,Beyoncé,Single Ladies,I Am... Sasha Fierce,2008,R&B,200,Columbia Records,United States,English,1,2,14.8,1150
25,Rihanna,Umbrella,Good Girl Gone Bad,2007,R&B,256,Def Jam Recordings,Barbados,English,1,2,16.5,1300
26,Justin Timberlake,What Goes Around... Comes Around,FutureSex/LoveSounds,2006,Pop,467,Jive Records,United States,English,1,2,15.8,1250
27,Kanye West,Gold Digger,Late Registration,2005,Hip-Hop,207,Roc-A-Fella Records,United States,English,1,2,14.2,1100
28,Usher,Yeah!,Confessions,2004,R&B,250,Arista Records,United States,English,1,2,16.8,1300
29,OutKast,Hey Ya!,Speakerboxxx/The Love Below,2003,Hip-Hop,233,Arista Records,United States,English,1,2,15.5,1200
30,Eminem,Lose Yourself,8 Mile,2002,Hip-Hop,326,Shady Records,United States,English,1,3,18.2,1500
31,Nelly,Hot in Herre,Nellyville,2002,Hip-Hop,218,Universal Records,United States,English,1,2,14.8,1150
32,Alicia Keys,Fallin',Songs in A Minor,2001,R&B,207,J Records,United States,English,1,2,15.2,1200
33,Destiny's Child,Survivor,Survivor,2001,R&B,251,Columbia Records,United States,English,2,2,13.8,1050
34,Christina Aguilera,Genie in a Bottle,Christina Aguilera,1999,Pop,217,RCA Records,United States,English,1,2,16.5,1300
35,Britney Spears,Baby One More Time,...Baby One More Time,1998,Pop,211,Jive Records,United States,English,1,2,17.8,1400
36,Backstreet Boys,I Want It That Way,Millennium,1999,Pop,207,Jive Records,United States,English,6,2,15.2,1200
37,Spice Girls,Wannabe,Spice,1996,Pop,172,Virgin Records,United Kingdom,English,1,2,14.8,1150
38,Whitney Houston,I Will Always Love You,The Bodyguard,1992,R&B,273,Arista Records,United States,English,1,3,18.5,1500
