# Streaming Platforms Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Platform_Name,Company,Launch_Year,Subscribers_Millions,Monthly_Price_USD,Annual_Price_USD,Content_Library_Size,Original_Content_Count,Available_Countries,Supported_Devices,Video_Quality,Download_Feature,Offline_Viewing,Simultaneous_Streams,Parental_Controls,Ad_Supported_Tier,Revenue_Millions_USD,Market_Share_Percent,User_Satisfaction_Rating,Content_Categories,Language_Options,Accessibility_Features,Data_Usage_Per_Hour_GB
1,Netflix,Netflix Inc,2007,260.0,15.49,186.0,15000,3000,190,15,4K,Yes,Yes,4,Yes,Yes,33000,25.0,4.2,Movies TV Shows,50,Yes,3.0
2,Disney+,Disney,2019,150.0,7.99,96.0,8000,500,60,10,4K,Yes,Yes,4,Yes,No,12000,15.0,4.5,Movies TV Shows,30,Yes,2.5
3,Amazon Prime Video,Amazon,2006,200.0,14.99,180.0,25000,2000,200,20,4K,Yes,Yes,3,Yes,Yes,25000,20.0,4.0,Movies TV Shows,40,Yes,2.8
4,HBO Max,Warner Bros,2020,95.0,15.99,192.0,12000,1000,60,15,4K,Yes,Yes,3,Yes,Yes,8000,10.0,4.3,Movies TV Shows,25,Yes,3.2
5,Hulu,Disney,2007,50.0,7.99,96.0,8000,500,1,10,4K,Yes,Yes,2,Yes,Yes,4000,5.0,4.1,Movies TV Shows,5,Yes,2.2
6,Apple TV+,Apple,2019,25.0,4.99,60.0,2000,100,100,15,4K,Yes,Yes,6,Yes,No,2000,3.0,4.4,Movies TV Shows,20,Yes,2.0
7,Paramount+,Paramount,2021,40.0,9.99,120.0,5000,300,60,12,4K,Yes,Yes,3,Yes,Yes,3000,4.0,4.0,Movies TV Shows,15,Yes,2.5
8,Peacock,NBCUniversal,2020,30.0,4.99,60.0,6000,200,1,10,4K,Yes,Yes,3,Yes,Yes,2000,3.0,3.9,Movies TV Shows,5,Yes,2.3
9,YouTube Premium,Google,2018,80.0,11.99,144.0,100000,100,100,20,4K,Yes,Yes,6,Yes,No,5000,8.0,4.1,Videos Music,100,Yes,3.5
10,Spotify,Spotify,2008,220.0,9.99,120.0,100000,1000,180,25,High,Yes,Yes,6,Yes,Yes,12000,35.0,4.3,Music Podcasts,60,Yes,0.1
11,Apple Music,Apple,2015,80.0,10.99,132.0,100000,500,160,20,High,Yes,Yes,6,Yes,No,8000,12.0,4.4,Music,60,Yes,0.1
12,Amazon Music,Amazon,2007,55.0,8.99,108.0,100000,300,50,15,High,Yes,Yes,6,Yes,Yes,4000,8.0,4.2,Music,40,Yes,0.1
13,Tidal,Jay-Z,2014,3.0,9.99,120.0,100000,50,60,10,High,Yes,Yes,6,Yes,No,200,0.5,4.5,Music,20,Yes,0.1
14,Deezer,Deezer,2007,16.0,9.99,120.0,100000,100,180,15,High,Yes,Yes,6,Yes,Yes,500,2.0,4.1,Music,40,Yes,0.1
15,Pandora,Pandora,2000,6.0,4.99,60.0,50000,50,1,10,High,Yes,Yes,6,Yes,Yes,300,1.0,3.8,Music,5,Yes,0.1
16,SoundCloud,SoundCloud,2007,175.0,4.99,60.0,200000,1000,190,20,High,Yes,Yes,6,Yes,Yes,2000,25.0,4.0,Music,50,Yes,0.1
17,Twitch,Amazon,2011,140.0,4.99,60.0,50000,1000,190,20,4K,Yes,Yes,6,Yes,Yes,3000,20.0,4.2,Gaming,30,Yes,2.0
18,YouTube Gaming,Google,2015,200.0,11.99,144.0,100000,500,100,20,4K,Yes,Yes,6,Yes,No,4000,30.0,4.1,Gaming,100,Yes,2.5
19,Facebook Gaming,Meta,2018,50.0,0.0,0.0,20000,200,100,15,4K,Yes,Yes,6,Yes,Yes,1000,8.0,3.8,Gaming,20,Yes,2.0
20,Mixer,Microsoft,2016,10.0,0.0,0.0,5000,50,50,10,4K,Yes,Yes,6,Yes,Yes,100,2.0,3.5,Gaming,10,Yes,1.8
21,Crunchyroll,Sony,2006,5.0,7.99,96.0,1000,100,200,15,4K,Yes,Yes,4,Yes,Yes,300,1.0,4.3,Anime,20,Yes,2.0
22,Funimation,Sony,1994,3.0,5.99,72.0,800,80,60,12,4K,Yes,Yes,4,Yes,Yes,200,0.5,4.2,Anime,15,Yes,1.8
23,Hidive,Sentai,2017,1.0,4.99,60.0,500,50,50,10,4K,Yes,Yes,4,Yes,Yes,50,0.2,4.0,Anime,10,Yes,1.5
24,VRV,Ellation,2016,2.0,9.99,120.0,2000,200,1,15,4K,Yes,Yes,6,Yes,Yes,100,0.3,4.1,Anime,5,Yes,2.0
