# Theater Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Play_Name,Playwright,Theater_Name,City,Country,Opening_Date,Closing_Date,Performances_Count,Attendance_Total,Average_Attendance_Per_Show,Ticket_Price_Range_USD,Genre,Language,Duration_Minutes,Critical_Rating_Out_Of_10
1,Hamilton,Lin-Manuel Miranda,Richard Rodgers Theatre,New York,United States,2015-08-06,2024-12-31,3000,2400000,800,150-500,Musical,English,165,9.5
2,The Lion King,Julie Taymor,Minskoff Theatre,New York,United States,1997-11-13,2024-12-31,8500,6800000,800,120-400,Musical,English,120,9.2
3,Wicked,Winnie Holzman,Gershwin Theatre,New York,United States,2003-10-30,2024-12-31,7500,6000000,800,100-350,Musical,English,165,9.0
4,The Phantom of the Opera,Andrew Lloyd Webber,Majestic Theatre,New York,United States,1988-01-26,2023-04-16,13661,10928800,800,100-300,Musical,English,145,8.8
5,Chicago,John Kander,Ambassador Theatre,New York,United States,1996-11-14,2024-12-31,11000,8800000,800,80-250,Musical,English,130,8.5
6,The Book of Mormon,Trey Parker,Eugene O'Neill Theatre,New York,United States,2011-03-24,2024-12-31,5000,4000000,800,150-400,Musical,English,155,9.3
7,Aladdin,Alan Menken,New Amsterdam Theatre,New York,United States,2014-03-20,2024-12-31,4000,3200000,800,100-300,Musical,English,135,8.7
8,Frozen,Kristen Anderson-Lopez,St. James Theatre,New York,United States,2018-03-22,2020-03-11,825,660000,800,120-350,Musical,English,140,8.2
9,Mean Girls,Tina Fey,August Wilson Theatre,New York,United States,2018-04-08,2020-03-11,833,666400,800,100-300,Musical,English,150,7.8
10,Come From Away,Irene Sankoff,Schoenfeld Theatre,New York,United States,2017-03-12,2022-10-02,1675,1340000,800,80-200,Musical,English,100,9.1
11,Dear Evan Hansen,Steven Levenson,Music Box Theatre,New York,United States,2016-12-04,2022-09-18,1675,1340000,800,100-300,Musical,English,150,8.9
12,Waitress,Sara Bareilles,Brooks Atkinson Theatre,New York,United States,2016-04-24,2020-01-05,1544,1235200,800,80-200,Musical,English,140,8.3
13,The Band's Visit,David Yazbek,Ethel Barrymore Theatre,New York,United States,2017-11-09,2019-04-07,589,471200,800,100-250,Musical,English,100,9.4
14,Once on This Island,Stephen Flaherty,Circle in the Square Theatre,New York,United States,2017-12-03,2019-01-06,450,360000,800,80-200,Musical,English,90,8.6
15,SpongeBob SquarePants,Kyle Jarrow,Palace Theatre,New York,United States,2017-12-04,2018-09-16,327,261600,800,100-250,Musical,English,150,7.5
16,Anastasia,Terrence McNally,Broadhurst Theatre,New York,United States,2017-04-24,2019-03-31,808,646400,800,100-300,Musical,English,140,8.0
17,Groundhog Day,Danny Rubin,August Wilson Theatre,New York,United States,2017-04-17,2017-09-17,175,140000,800,100-250,Musical,English,150,7.7
18,Charlie and the Chocolate Factory,Marc Shaiman,Lunt-Fontanne Theatre,New York,United States,2017-04-23,2018-01-14,305,244000,800,100-300,Musical,English,140,7.2
19,Sunset Boulevard,Andrew Lloyd Webber,Palace Theatre,New York,United States,2017-02-09,2017-06-25,137,109600,800,100-250,Musical,English,150,8.8
20,Miss Saigon,Claude-Michel Schönberg,Broadway Theatre,New York,United States,2017-03-23,2018-01-14,408,326400,800,100-300,Musical,English,165,8.5
21,School of Rock,Andrew Lloyd Webber,Winter Garden Theatre,New York,United States,2015-12-06,2019-01-20,1312,1049600,800,100-250,Musical,English,140,8.1
22,On Your Feet!,Alexander Dinelaris,Marquis Theatre,New York,United States,2015-11-05,2017-08-20,746,596800,800,100-250,Musical,English,140,7.9
23,Fun Home,Jeanine Tesori,Circle in the Square Theatre,New York,United States,2015-04-19,2016-09-10,582,465600,800,80-200,Musical,English,100,9.2
24,The Color Purple,Marsha Norman,Bernard B. Jacobs Theatre,New York,United States,2015-12-10,2017-01-08,449,359200,800,100-250,Musical,English,150,8.7
25,Allegiance,Jay Kuo,Longacre Theatre,New York,United States,2015-11-08,2016-02-14,150,120000,800,100-200,Musical,English,140,7.8
26,Amazing Grace,Christopher Smith,Nederlander Theatre,New York,United States,2015-07-16,2015-09-06,116,92800,800,100-200,Musical,English,150,7.0
27,Doctor Zhivago,Lucy Simon,Broadway Theatre,New York,United States,2015-04-21,2015-05-10,24,19200,800,100-200,Musical,English,150,6.8
28,It Shoulda Been You,Brian Hargrove,Brooks Atkinson Theatre,New York,United States,2015-04-14,2015-05-10,27,21600,800,100-200,Musical,English,120,7.2
29,The Visit,John Kander,Bernard B. Jacobs Theatre,New York,United States,2015-04-23,2015-06-14,56,44800,800,100-200,Musical,English,140,8.1
30,Gigi,Alan Jay Lerner,Neil Simon Theatre,New York,United States,2015-04-08,2015-06-21,84,67200,800,100-200,Musical,English,130,7.5
31,An American in Paris,George Gershwin,Palace Theatre,New York,United States,2015-04-12,2016-10-09,623,498400,800,100-250,Musical,English,140,8.9
32,Something Rotten!,John O'Farrell,St. James Theatre,New York,United States,2015-04-22,2017-01-01,742,593600,800,100-250,Musical,English,150,8.3
33,The King and I,Rodgers and Hammerstein,Lincoln Center Theater,New York,United States,2015-04-16,2016-06-26,493,394400,800,100-250,Musical,English,165,8.6
34,Hand to God,Robert Askins,Booth Theatre,New York,United States,2015-04-07,2016-01-03,375,300000,800,80-200,Play,English,100,8.4
35,The Curious Incident of the Dog in the Night-Time,Simon Stephens,Ethel Barrymore Theatre,New York,United States,2014-10-05,2016-09-04,800,640000,800,100-250,Play,English,120,9.0
36,Disgraced,Ayad Akhtar,American Airlines Theatre,New York,United States,2014-10-23,2015-03-01,105,84000,800,100-200,Play,English,90,8.7
37,The Real Thing,Tom Stoppard,American Airlines Theatre,New York,United States,2014-10-30,2015-01-04,77,61600,800,100-200,Play,English,120,8.2
38,You Can't Take It With You,Moss Hart,Longacre Theatre,New York,United States,2014-09-28,2015-02-22,208,166400,800,100-200,Play,English,130,8.5
39,The River,Jez Butterworth,Circle in the Square Theatre,New York,United States,2014-11-16,2015-02-08,96,76800,800,100-200,Play,English,90,7.8
40,The Elephant Man,Bernard Pomerance,Booth Theatre,New York,United States,2014-12-07,2015-02-22,77,61600,800,100-200,Play,English,120,8.9
41,Constellations,Nick Payne,Samuel J. Friedman Theatre,New York,United States,2015-01-13,2015-03-15,77,61600,800,100-200,Play,English,70,8.6
42,The Audience,Peter Morgan,Gerald Schoenfeld Theatre,New York,United States,2015-03-08,2015-06-28,151,120800,800,100-250,Play,English,120,8.8
43,Skylight,David Hare,John Golden Theatre,New York,United States,2015-04-02,2015-06-21,77,61600,800,100-200,Play,English,120,8.4
44,The Heidi Chronicles,Wendy Wasserstein,Music Box Theatre,New York,United States,2015-03-19,2015-05-17,77,61600,800,100-200,Play,English,150,8.7
45,Hand to God,Robert Askins,Booth Theatre,New York,United States,2015-04-07,2016-01-03,375,300000,800,80-200,Play,English,100,8.4
46,The Curious Incident of the Dog in the Night-Time,Simon Stephens,Ethel Barrymore Theatre,New York,United States,2014-10-05,2016-09-04,800,640000,800,100-250,Play,English,120,9.0
47,Disgraced,Ayad Akhtar,American Airlines Theatre,New York,United States,2014-10-23,2015-03-01,105,84000,800,100-200,Play,English,90,8.7
48,The Real Thing,Tom Stoppard,American Airlines Theatre,New York,United States,2014-10-30,2015-01-04,77,61600,800,100-200,Play,English,120,8.2
49,You Can't Take It With You,Moss Hart,Longacre Theatre,New York,United States,2014-09-28,2015-02-22,208,166400,800,100-200,Play,English,130,8.5
50,The River,Jez Butterworth,Circle in the Square Theatre,New York,United States,2014-11-16,2015-02-08,96,76800,800,100-200,Play,English,90,7.8
51,The Elephant Man,Bernard Pomerance,Booth Theatre,New York,United States,2014-12-07,2015-02-22,77,61600,800,100-200,Play,English,120,8.9
52,Constellations,Nick Payne,Samuel J. Friedman Theatre,New York,United States,2015-01-13,2015-03-15,77,61600,800,100-200,Play,English,70,8.6
53,The Audience,Peter Morgan,Gerald Schoenfeld Theatre,New York,United States,2015-03-08,2015-06-28,151,120800,800,100-250,Play,English,120,8.8
54,Skylight,David Hare,John Golden Theatre,New York,United States,2015-04-02,2015-06-21,77,61600,800,100-200,Play,English,120,8.4
55,The Heidi Chronicles,Wendy Wasserstein,Music Box Theatre,New York,United States,2015-03-19,2015-05-17,77,61600,800,100-200,Play,English,150,8.7
56,Hand to God,Robert Askins,Booth Theatre,New York,United States,2015-04-07,2016-01-03,375,300000,800,80-200,Play,English,100,8.4
57,The Curious Incident of the Dog in the Night-Time,Simon Stephens,Ethel Barrymore Theatre,New York,United States,2014-10-05,2016-09-04,800,640000,800,100-250,Play,English,120,9.0
58,Disgraced,Ayad Akhtar,American Airlines Theatre,New York,United States,2014-10-23,2015-03-01,105,84000,800,100-200,Play,English,90,8.7
59,The Real Thing,Tom Stoppard,American Airlines Theatre,New York,United States,2014-10-30,2015-01-04,77,61600,800,100-200,Play,English,120,8.2
