# TV Shows Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Show_Name,Genre,Seasons,Episodes,Network,Release_Year,End_Year,Rating_IMDb,Rating_Rotten_Tomatoes,Country_Origin,Language,Creator,Main_Cast,Average_Episode_Duration_Minutes,Status
1,Breaking Bad,Drama,5,62,AMC,2008,2013,9.5,96,United States,English,Vince Gilligan,Bryan Cranston Aaron Paul,47,Ended
2,Game of Thrones,Fantasy,8,73,HBO,2011,2019,9.2,89,United States,English,David Benioff,Peter Dinklage Emilia Clarke,55,Ended
3,The Sopranos,Drama,6,86,HBO,1999,2007,9.2,92,United States,English,David Chase,James Gandolfini Lorraine Bracco,50,Ended
4,The Wire,Drama,5,60,HBO,2002,2008,9.3,96,United States,English,David Simon,Dominic West Idris Elba,60,Ended
5,Friends,Comedy,10,236,NBC,1994,2004,8.9,78,United States,English,Marta Kauffman,Jennifer Aniston Courteney Cox,22,Ended
6,The Office,Comedy,9,201,NBC,2005,2013,8.9,81,United States,English,Greg Daniels,Steve Carell John Krasinski,22,Ended
7,Stranger Things,Sci-Fi,4,34,Netflix,2016,2022,8.7,93,United States,English,Matt Duffer,Millie Bobby Brown Finn Wolfhard,50,Ongoing
8,The Crown,Drama,6,60,Netflix,2016,2023,8.6,89,United Kingdom,English,Peter Morgan,Claire Foy Olivia Colman,55,Ended
9,House of Cards,Drama,6,73,Netflix,2013,2018,8.7,78,United States,English,Beau Willimon,Kevin Spacey Robin Wright,55,Ended
10,Narcos,Drama,3,30,Netflix,2015,2017,8.8,89,United States,English,Chris Brancato,Wagner Moura Boyd Holbrook,50,Ended
11,Black Mirror,Sci-Fi,6,27,Netflix,2011,2019,8.8,84,United Kingdom,English,Charlie Brooker,Anthology Series,60,Ongoing
12,The Walking Dead,Drama,11,177,AMC,2010,2022,8.2,79,United States,English,Frank Darabont,Andrew Lincoln Norman Reedus,45,Ended
13,Better Call Saul,Drama,6,63,AMC,2015,2022,8.9,98,United States,English,Vince Gilligan,Bob Odenkirk Jonathan Banks,45,Ended
14,Mad Men,Drama,7,92,AMC,2007,2015,8.6,94,United States,English,Matthew Weiner,Jon Hamm Elisabeth Moss,45,Ended
15,The Simpsons,Animation,34,750,Fox,1989,2023,8.7,85,United States,English,Matt Groening,Dan Castellaneta Julie Kavner,22,Ongoing
16,South Park,Animation,26,310,Comedy Central,1997,2023,8.7,81,United States,English,Trey Parker,Matt Stone Trey Parker,22,Ongoing
17,Family Guy,Animation,21,400,Fox,1999,2023,8.1,69,United States,English,Seth MacFarlane,Seth MacFarlane Alex Borstein,22,Ongoing
18,The Big Bang Theory,Comedy,12,279,CBS,2007,2019,8.1,81,United States,English,Chuck Lorre,Jim Parsons Kaley Cuoco,22,Ended
19,How I Met Your Mother,Comedy,9,208,CBS,2005,2014,8.3,83,United States,English,Carter Bays,Josh Radnor Neil Patrick Harris,22,Ended
20,Seinfeld,Comedy,9,180,NBC,1989,1998,8.9,89,United States,English,Jerry Seinfeld,Jerry Seinfeld Julia Louis-Dreyfus,22,Ended
21,Curb Your Enthusiasm,Comedy,12,120,HBO,2000,2023,8.8,92,United States,English,Larry David,Larry David Jeff Garlin,30,Ongoing
22,Veep,Comedy,7,65,HBO,2012,2019,8.3,95,United States,English,Armando Iannucci,Julia Louis-Dreyfus Tony Hale,30,Ended
23,Arrested Development,Comedy,5,84,Fox,2003,2019,8.7,87,United States,English,Mitch Hurwitz,Jason Bateman Michael Cera,22,Ended
24,Parks and Recreation,Comedy,7,125,NBC,2009,2015,8.6,93,United States,English,Greg Daniels,Amy Poehler Nick Offerman,22,Ended
25,30 Rock,Comedy,7,138,NBC,2006,2013,8.2,90,United States,English,Tina Fey,Tina Fey Alec Baldwin,22,Ended
26,Community,Comedy,6,110,NBC,2009,2015,8.5,88,United States,English,Dan Harmon,Joel McHale Donald Glover,22,Ended
27,It's Always Sunny in Philadelphia,Comedy,16,170,FX,2005,2023,8.8,95,United States,English,Rob McElhenney,Charlie Day Rob McElhenney,22,Ongoing
28,The Office UK,Comedy,2,14,BBC Two,2001,2003,8.5,88,United Kingdom,English,Ricky Gervais,Ricky Gervais Martin Freeman,30,Ended
29,Fleabag,Comedy,2,12,BBC Three,2016,2019,8.7,100,United Kingdom,English,Phoebe Waller-Bridge,Phoebe Waller-Bridge Sian Clifford,25,Ended
30,Peaky Blinders,Drama,6,36,BBC Two,2013,2022,8.8,92,United Kingdom,English,Steven Knight,Cillian Murphy Helen McCrory,55,Ended
31,Sherlock,Drama,4,15,BBC One,2010,2017,9.1,78,United Kingdom,English,Mark Gatiss,Benedict Cumberbatch Martin Freeman,90,Ended
32,Downton Abbey,Drama,6,52,ITV,2010,2015,8.7,87,United Kingdom,English,Julian Fellowes,Hugh Bonneville Maggie Smith,50,Ended
33,The Great British Bake Off,Reality,14,140,BBC One,2010,2023,8.6,95,United Kingdom,English,Love Productions,Paul Hollywood Prue Leith,60,Ongoing
34,Top Gear,Reality,32,300,BBC Two,2002,2023,8.7,89,United Kingdom,English,BBC,Jeremy Clarkson Richard Hammond,60,Ongoing
35,Doctor Who,Sci-Fi,13,156,BBC One,2005,2023,8.6,87,United Kingdom,English,Russell T Davies,David Tennant Matt Smith,45,Ongoing
36,Luther,Drama,5,20,BBC One,2010,2019,8.4,91,United Kingdom,English,Neil Cross,Idris Elba Ruth Wilson,60,Ended
37,Line of Duty,Drama,6,36,BBC One,2012,2021,8.5,94,United Kingdom,English,Jed Mercurio,Martin Compston Vicky McClure,60,Ended
38,Broadchurch,Drama,3,24,ITV,2013,2017,8.4,92,United Kingdom,English,Chris Chibnall,David Tennant Olivia Colman,45,Ended
39,The IT Crowd,Comedy,4,25,Channel 4,2006,2013,8.5,89,United Kingdom,English,Graham Linehan,Chris O'Dowd Richard Ayoade,25,Ended
40,Blackadder,Comedy,4,24,BBC One,1983,1989,8.7,92,United Kingdom,English,Richard Curtis,Rowan Atkinson Hugh Laurie,30,Ended
41,Fawlty Towers,Comedy,2,12,BBC Two,1975,1979,8.8,100,United Kingdom,English,John Cleese,John Cleese Prunella Scales,30,Ended
42,Only Fools and Horses,Comedy,7,64,BBC One,1981,2003,8.7,89,United Kingdom,English,John Sullivan,David Jason Nicholas Lyndhurst,30,Ended
43,The Thick of It,Comedy,4,24,BBC Two,2005,2012,8.8,95,United Kingdom,English,Armando Iannucci,Peter Capaldi Chris Addison,30,Ended
44,Yes Minister,Comedy,3,21,BBC Two,1980,1984,8.8,96,United Kingdom,English,Antony Jay,Paul Eddington Nigel Hawthorne,30,Ended
45,The Office US,Comedy,9,201,NBC,2005,2013,8.9,81,United States,English,Greg Daniels,Steve Carell John Krasinski,22,Ended
46,Parks and Recreation,Comedy,7,125,NBC,2009,2015,8.6,93,United States,English,Greg Daniels,Amy Poehler Nick Offerman,22,Ended
47,30 Rock,Comedy,7,138,NBC,2006,2013,8.2,90,United States,English,Tina Fey,Tina Fey Alec Baldwin,22,Ended
48,Community,Comedy,6,110,NBC,2009,2015,8.5,88,United States,English,Dan Harmon,Joel McHale Donald Glover,22,Ended
49,It's Always Sunny in Philadelphia,Comedy,16,170,FX,2005,2023,8.8,95,United States,English,Rob McElhenney,Charlie Day Rob McElhenney,22,Ongoing
50,The Office UK,Comedy,2,14,BBC Two,2001,2003,8.5,88,United Kingdom,English,Ricky Gervais,Ricky Gervais Martin Freeman,30,Ended
51,Fleabag,Comedy,2,12,BBC Three,2016,2019,8.7,100,United Kingdom,English,Phoebe Waller-Bridge,Phoebe Waller-Bridge Sian Clifford,25,Ended
52,Peaky Blinders,Drama,6,36,BBC Two,2013,2022,8.8,92,United Kingdom,English,Steven Knight,Cillian Murphy Helen McCrory,55,Ended
53,Sherlock,Drama,4,15,BBC One,2010,2017,9.1,78,United Kingdom,English,Mark Gatiss,Benedict Cumberbatch Martin Freeman,90,Ended
54,Downton Abbey,Drama,6,52,ITV,2010,2015,8.7,87,United Kingdom,English,Julian Fellowes,Hugh Bonneville Maggie Smith,50,Ended
55,The Great British Bake Off,Reality,14,140,BBC One,2010,2023,8.6,95,United Kingdom,English,Love Productions,Paul Hollywood Prue Leith,60,Ongoing
56,Top Gear,Reality,32,300,BBC Two,2002,2023,8.7,89,United Kingdom,English,BBC,Jeremy Clarkson Richard Hammond,60,Ongoing
57,Doctor Who,Sci-Fi,13,156,BBC One,2005,2023,8.6,87,United Kingdom,English,Russell T Davies,David Tennant Matt Smith,45,Ongoing
58,Luther,Drama,5,20,BBC One,2010,2019,8.4,91,United Kingdom,English,Neil Cross,Idris Elba Ruth Wilson,60,Ended
59,Line of Duty,Drama,6,36,BBC One,2012,2021,8.5,94,United Kingdom,English,Jed Mercurio,Martin Compston Vicky McClure,60,Ended
60,Broadchurch,Drama,3,24,ITV,2013,2017,8.4,92,United Kingdom,English,Chris Chibnall,David Tennant Olivia Colman,45,Ended
61,The IT Crowd,Comedy,4,25,Channel 4,2006,2013,8.5,89,United Kingdom,English,Graham Linehan,Chris O'Dowd Richard Ayoade,25,Ended
62,Blackadder,Comedy,4,24,BBC One,1983,1989,8.7,92,United Kingdom,English,Richard Curtis,Rowan Atkinson Hugh Laurie,30,Ended
63,Fawlty Towers,Comedy,2,12,BBC Two,1975,1979,8.8,100,United Kingdom,English,John Cleese,John Cleese Prunella Scales,30,Ended
64,Only Fools and Horses,Comedy,7,64,BBC One,1981,2003,8.7,89,United Kingdom,English,John Sullivan,David Jason Nicholas Lyndhurst,30,Ended
65,The Thick of It,Comedy,4,24,BBC Two,2005,2012,8.8,95,United Kingdom,English,Armando Iannucci,Peter Capaldi Chris Addison,30,Ended
66,Yes Minister,Comedy,3,21,BBC Two,1980,1984,8.8,96,United Kingdom,English,Antony Jay,Paul Eddington Nigel Hawthorne,30,Ended
67,The Office US,Comedy,9,201,NBC,2005,2013,8.9,81,United States,English,Greg Daniels,Steve Carell John Krasinski,22,Ended
68,Parks and Recreation,Comedy,7,125,NBC,2009,2015,8.6,93,United States,English,Greg Daniels,Amy Poehler Nick Offerman,22,Ended
69,30 Rock,Comedy,7,138,NBC,2006,2013,8.2,90,United States,English,Tina Fey,Tina Fey Alec Baldwin,22,Ended
70,Community,Comedy,6,110,NBC,2009,2015,8.5,88,United States,English,Dan Harmon,Joel McHale Donald Glover,22,Ended
71,It's Always Sunny in Philadelphia,Comedy,16,170,FX,2005,2023,8.8,95,United States,English,Rob McElhenney,Charlie Day Rob McElhenney,22,Ongoing
72,The Office UK,Comedy,2,14,BBC Two,2001,2003,8.5,88,United Kingdom,English,Ricky Gervais,Ricky Gervais Martin Freeman,30,Ended
73,Fleabag,Comedy,2,12,BBC Three,2016,2019,8.7,100,United Kingdom,English,Phoebe Waller-Bridge,Phoebe Waller-Bridge Sian Clifford,25,Ended
74,Peaky Blinders,Drama,6,36,BBC Two,2013,2022,8.8,92,United Kingdom,English,Steven Knight,Cillian Murphy Helen McCrory,55,Ended
75,Sherlock,Drama,4,15,BBC One,2010,2017,9.1,78,United Kingdom,English,Mark Gatiss,Benedict Cumberbatch Martin Freeman,90,Ended
76,Downton Abbey,Drama,6,52,ITV,2010,2015,8.7,87,United Kingdom,English,Julian Fellowes,Hugh Bonneville Maggie Smith,50,Ended
77,The Great British Bake Off,Reality,14,140,BBC One,2010,2023,8.6,95,United Kingdom,English,Love Productions,Paul Hollywood Prue Leith,60,Ongoing
78,Top Gear,Reality,32,300,BBC Two,2002,2023,8.7,89,United Kingdom,English,BBC,Jeremy Clarkson Richard Hammond,60,Ongoing
79,Doctor Who,Sci-Fi,13,156,BBC One,2005,2023,8.6,87,United Kingdom,English,Russell T Davies,David Tennant Matt Smith,45,Ongoing
80,Luther,Drama,5,20,BBC One,2010,2019,8.4,91,United Kingdom,English,Neil Cross,Idris Elba Ruth Wilson,60,Ended
81,Line of Duty,Drama,6,36,BBC One,2012,2021,8.5,94,United Kingdom,English,Jed Mercurio,Martin Compston Vicky McClure,60,Ended
82,Broadchurch,Drama,3,24,ITV,2013,2017,8.4,92,United Kingdom,English,Chris Chibnall,David Tennant Olivia Colman,45,Ended
