# Fast Food Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Chain_Name,Menu_Item,Category,Price_USD,Calories,Protein_g,Fat_g,Carbohydrates_g,Sodium_mg,Fiber_g,Sugar_g,Allergens,Vegetarian_Option,Gluten_Free_Option,Dairy_Free_Option,Preparation_Time_Minutes,Popularity_Rating,Market_Share_Percent,Year_Introduced,Country_Origin,Number_Of_Locations,Average_Order_Value_USD,Peak_Hours,Service_Style,Drive_Through_Available,Delivery_Available,Online_Ordering_Available,Health_Rating
1,McDonald's,Big Mac,Burger,5.99,550,25.0,33.0,45.0,1010,3.0,9.0,"Wheat, Soy, Milk",No,No,No,3,4.2,18.5,1967,USA,40000,8.50,12:00-14:00,Quick Service,Yes,Yes,Yes,2.8
2,McDonald's,Chicken McNuggets,Chicken,4.99,250,14.0,15.0,15.0,600,1.0,0.0,"Wheat, Soy",No,No,Yes,2,4.5,15.2,1983,USA,40000,8.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.2
3,McDonald's,French Fries,Side,2.99,320,4.0,15.0,43.0,260,4.0,0.0,"None",Yes,Yes,Yes,1,4.6,22.8,1955,USA,40000,8.50,12:00-14:00,Quick Service,Yes,Yes,Yes,2.5
4,McDonald's,Apple Pie,Dessert,1.99,250,2.0,13.0,32.0,150,1.0,12.0,"Wheat, Soy",Yes,No,Yes,2,4.3,8.5,1968,USA,40000,8.50,12:00-14:00,Quick Service,Yes,Yes,Yes,2.2
5,McDonald's,McFlurry,Dessert,3.99,510,12.0,18.0,75.0,180,0.0,58.0,"Milk, Soy",No,No,No,3,4.4,12.1,1997,USA,40000,8.50,12:00-14:00,Quick Service,Yes,Yes,Yes,2.0
6,Burger King,Whopper,Burger,5.49,660,28.0,40.0,49.0,980,2.0,11.0,"Wheat, Soy, Milk",No,No,No,4,4.1,12.8,1957,USA,18000,7.80,12:00-14:00,Quick Service,Yes,Yes,Yes,2.6
7,Burger King,Chicken Sandwich,Chicken,4.99,470,28.0,19.0,42.0,1090,2.0,6.0,"Wheat, Soy",No,No,Yes,3,4.2,10.5,1978,USA,18000,7.80,12:00-14:00,Quick Service,Yes,Yes,Yes,3.1
8,Burger King,Onion Rings,Side,2.99,320,4.0,18.0,35.0,480,2.0,5.0,"Wheat, Soy",Yes,No,Yes,2,4.0,6.8,1985,USA,18000,7.80,12:00-14:00,Quick Service,Yes,Yes,Yes,2.8
9,Burger King,Chicken Fries,Chicken,3.99,280,14.0,16.0,20.0,600,1.0,0.0,"Wheat, Soy",No,No,Yes,2,4.3,8.2,2005,USA,18000,7.80,12:00-14:00,Quick Service,Yes,Yes,Yes,3.0
10,Burger King,Impossible Whopper,Burger,6.99,630,25.0,34.0,58.0,1080,2.0,12.0,"Wheat, Soy",Yes,No,No,4,4.4,5.5,2019,USA,18000,7.80,12:00-14:00,Quick Service,Yes,Yes,Yes,3.5
11,KFC,Original Recipe Chicken,Chicken,6.99,320,28.0,18.0,8.0,1080,0.0,0.0,"Wheat, Soy",No,No,Yes,5,4.3,11.2,1952,USA,25000,9.20,12:00-14:00,Quick Service,Yes,Yes,Yes,3.4
12,KFC,Extra Crispy Chicken,Chicken,6.99,380,28.0,22.0,12.0,1200,0.0,0.0,"Wheat, Soy",No,No,Yes,5,4.2,9.8,1980,USA,25000,9.20,12:00-14:00,Quick Service,Yes,Yes,Yes,3.2
13,KFC,Biscuit,Bread,1.99,180,4.0,8.0,22.0,480,1.0,2.0,"Wheat, Milk",Yes,No,No,2,4.1,7.5,1982,USA,25000,9.20,12:00-14:00,Quick Service,Yes,Yes,Yes,2.8
14,KFC,Mashed Potatoes,Side,2.99,120,3.0,4.0,18.0,530,1.0,2.0,"Milk",Yes,Yes,No,1,4.0,6.2,1970,USA,25000,9.20,12:00-14:00,Quick Service,Yes,Yes,Yes,3.1
15,KFC,Coleslaw,Side,2.99,150,1.0,11.0,9.0,200,2.0,8.0,"Eggs, Milk",Yes,Yes,No,1,4.2,8.8,1970,USA,25000,9.20,12:00-14:00,Quick Service,Yes,Yes,Yes,3.3
16,Taco Bell,Crunchwrap Supreme,Main,4.99,530,18.0,21.0,61.0,1080,6.0,6.0,"Wheat, Soy, Milk",Yes,No,No,4,4.4,8.5,2005,USA,7000,6.50,12:00-14:00,Quick Service,Yes,Yes,Yes,2.9
17,Taco Bell,Chalupa Supreme,Main,3.99,350,12.0,18.0,35.0,720,4.0,3.0,"Wheat, Soy",Yes,No,Yes,3,4.2,7.2,1999,USA,7000,6.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.1
18,Taco Bell,Nachos BellGrande,Snack,4.99,490,16.0,21.0,63.0,1050,7.0,6.0,"Wheat, Soy, Milk",Yes,No,No,2,4.3,9.8,1993,USA,7000,6.50,12:00-14:00,Quick Service,Yes,Yes,Yes,2.7
19,Taco Bell,Bean Burrito,Main,1.99,380,13.0,10.0,54.0,1080,8.0,3.0,"Wheat, Soy",Yes,No,Yes,2,4.1,6.5,1962,USA,7000,6.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.4
20,Taco Bell,Cinnamon Twists,Dessert,1.99,170,2.0,8.0,25.0,150,1.0,8.0,"Wheat",Yes,No,Yes,1,4.0,4.2,1995,USA,7000,6.50,12:00-14:00,Quick Service,Yes,Yes,Yes,2.5
21,Subway,Italian BMT,Sandwich,6.99,410,24.0,12.0,45.0,1520,5.0,8.0,"Wheat, Soy",No,No,Yes,3,4.2,9.8,1983,USA,40000,7.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.6
22,Subway,Turkey Breast,Sandwich,6.99,280,18.0,3.5,45.0,810,5.0,8.0,"Wheat",No,No,Yes,3,4.3,8.5,1983,USA,40000,7.50,12:00-14:00,Quick Service,Yes,Yes,Yes,4.1
23,Subway,Veggie Delite,Sandwich,5.99,230,9.0,2.5,45.0,280,5.0,8.0,"Wheat",Yes,No,Yes,3,4.1,6.2,1983,USA,40000,7.50,12:00-14:00,Quick Service,Yes,Yes,Yes,4.5
24,Subway,Chicken Teriyaki,Sandwich,6.99,370,26.0,4.5,45.0,920,5.0,8.0,"Wheat, Soy",No,No,Yes,3,4.2,7.8,1998,USA,40000,7.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.8
25,Subway,Cookie,Dessert,1.99,220,3.0,10.0,32.0,160,1.0,16.0,"Wheat, Soy, Milk",Yes,No,No,1,4.0,5.5,1983,USA,40000,7.50,12:00-14:00,Quick Service,Yes,Yes,Yes,2.8
