# Food Waste Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Food_Type,Waste_Percent,Annual_Waste_Tons,Recycling_Method,Composting_Rate,Anaerobic_Digestion_Rate,Landfill_Rate,Incineration_Rate,Donation_Rate,Food_Bank_Usage,Reduction_Target_Percent,Policy_Status,Public_Awareness_Score,Industry_Compliance_Rate,Cost_Per_Ton_USD,Environmental_Impact_Score,Social_Impact_Score,Economic_Impact_Score
1,USA,Fruits,25.0,15000000,Composting,15.0,5.0,60.0,15.0,5.0,High,50.0,Active,7.5,65.0,150.0,8.5,7.0,6.5
2,USA,Vegetables,30.0,18000000,Composting,20.0,8.0,55.0,12.0,5.0,High,50.0,Active,7.8,70.0,140.0,8.8,7.2,6.8
3,USA,Dairy,20.0,8000000,Anaerobic Digestion,10.0,25.0,50.0,10.0,5.0,Medium,40.0,Active,7.2,60.0,200.0,8.0,6.8,7.0
4,USA,Meat,15.0,6000000,Incineration,5.0,10.0,70.0,10.0,5.0,Low,30.0,Active,6.8,55.0,300.0,7.5,6.5,7.5
5,USA,Grains,35.0,20000000,Composting,25.0,10.0,50.0,10.0,5.0,High,60.0,Active,8.0,75.0,120.0,9.0,7.5,6.0
6,Germany,Fruits,20.0,8000000,Composting,40.0,15.0,30.0,10.0,5.0,High,50.0,Active,8.5,85.0,100.0,9.2,8.0,7.5
7,Germany,Vegetables,25.0,10000000,Composting,45.0,20.0,25.0,5.0,5.0,High,50.0,Active,8.8,90.0,90.0,9.5,8.2,7.8
8,Germany,Dairy,18.0,4000000,Anaerobic Digestion,20.0,40.0,30.0,5.0,5.0,Medium,40.0,Active,8.2,80.0,150.0,8.8,7.5,8.0
9,Germany,Meat,12.0,3000000,Incineration,10.0,15.0,60.0,10.0,5.0,Low,30.0,Active,7.8,75.0,250.0,8.0,7.0,8.5
10,Germany,Grains,30.0,12000000,Composting,50.0,25.0,15.0,5.0,5.0,High,60.0,Active,9.0,95.0,80.0,9.8,8.5,8.2
11,France,Fruits,22.0,6000000,Composting,35.0,12.0,40.0,8.0,5.0,High,50.0,Active,8.0,75.0,120.0,8.8,7.5,7.2
12,France,Vegetables,28.0,8000000,Composting,40.0,15.0,35.0,5.0,5.0,High,50.0,Active,8.2,80.0,110.0,9.0,7.8,7.5
13,France,Dairy,16.0,3000000,Anaerobic Digestion,15.0,30.0,40.0,10.0,5.0,Medium,40.0,Active,7.5,70.0,180.0,8.2,7.0,7.8
