# Global Food Nutrition Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Food_Item,Category,Calories_Per_100g,Protein_g,Carbs_g,Fat_g,Fiber_g,Sugar_g,Sodium_mg,Vitamin_C_mg,Calcium_mg,Iron_mg,Origin_Country,Price_USD_Per_Kg
1,Rice,Grains,130,2.7,28,0.3,0.4,0.1,5,0,28,0.8,China,2.50
2,Wheat,Grains,339,13.7,71,1.9,10.7,0.4,2,0,34,3.6,China,3.20
3,Corn,Grains,365,9.4,74,4.7,7.3,0.6,7,0,7,2.7,United States,2.80
4,Oats,Grains,389,16.9,66,6.9,10.6,1.0,2,0,54,4.7,Russia,4.50
5,Barley,Grains,354,12.5,73,2.3,17.3,0.8,12,0,33,3.6,Russia,3.80
6,Quinoa,Grains,368,14.1,64,6.1,7.0,0.0,5,0,47,4.6,Bolivia,8.90
7,Buckwheat,Grains,343,13.3,71,3.4,10.0,0.0,1,0,18,2.2,Russia,6.20
8,Millet,Grains,378,11.0,73,4.2,8.5,0.0,5,0,8,3.0,India,4.80
9,Chicken Breast,Protein,165,31.0,0,3.6,0,0,74,0,15,1.0,United States,8.50
10,Beef,Protein,250,26.0,0,15,0,0,72,0,18,2.6,Brazil,12.00
11,Pork,Protein,242,27.0,0,14,0,0,62,0,12,1.2,China,9.80
12,Fish Salmon,Protein,208,25.0,0,12,0,0,44,0,12,0.8,Norway,15.00
13,Eggs,Protein,155,13.0,1.1,11,0,1.1,124,0,56,1.2,China,4.20
14,Milk,Protein,42,3.4,5.0,1.0,0,5.0,44,0,113,0.0,India,1.80
15,Yogurt,Protein,59,10.0,3.6,0.4,0,3.6,36,0,110,0.1,Greece,5.50
16,Cheese,Protein,113,25.0,1.3,4.0,0,1.3,621,0,721,0.7,France,12.00
17,Apples,Fruits,52,0.3,14,0.2,2.4,10,1,4.6,6,0.1,China,3.20
18,Bananas,Fruits,89,1.1,23,0.3,2.6,12,1,8.7,5,0.3,India,2.80
19,Oranges,Fruits,47,0.9,12,0.1,2.4,9,0,53.2,40,0.1,Brazil,2.50
20,Grapes,Fruits,62,0.6,16,0.2,0.9,16,2,3.2,10,0.4,China,4.50
21,Strawberries,Fruits,32,0.7,8,0.3,2.0,4.9,1,58.8,16,0.4,United States,6.80
22,Blueberries,Fruits,57,0.7,14,0.3,2.4,10,1,9.7,6,0.3,United States,8.90
23,Avocado,Fruits,160,2.0,9,15,7,0.7,7,10,12,0.6,Mexico,7.50
24,Mango,Fruits,60,0.8,15,0.4,1.6,14,1,36.4,11,0.2,India,4.20
25,Pineapple,Fruits,50,0.5,13,0.1,1.4,10,1,47.8,13,0.3,Costa Rica,3.80
26,Watermelon,Fruits,30,0.6,8,0.2,0.4,6,1,8.1,7,0.2,China,2.20
27,Cantaloupe,Fruits,34,0.8,8,0.2,0.9,8,16,36.7,9,0.2,China,3.50
28,Peaches,Fruits,39,0.9,10,0.3,1.5,8,0,6.6,6,0.3,China,4.80
29,Pears,Fruits,57,0.4,15,0.1,3.1,10,1,4.3,9,0.2,China,3.90
30,Cherries,Fruits,63,1.1,16,0.2,2.1,13,0,7.0,13,0.4,Turkey,12.00
31,Carrots,Vegetables,41,0.9,10,0.2,2.8,4.7,69,5.9,33,0.3,China,2.80
32,Broccoli,Vegetables,34,2.8,7,0.4,2.6,1.7,33,89.2,47,0.7,China,4.50
33,Spinach,Vegetables,23,2.9,4,0.4,2.2,0.4,79,28.1,99,2.7,China,5.20
34,Tomatoes,Vegetables,18,0.9,4,0.2,1.2,2.6,5,13.7,10,0.3,China,3.80
35,Potatoes,Vegetables,77,2.0,17,0.1,2.2,0.8,6,19.7,12,0.8,China,2.50
36,Onions,Vegetables,40,1.1,9,0.1,1.7,4.2,4,7.4,23,0.2,China,2.20
37,Garlic,Vegetables,149,6.4,33,0.5,2.1,1.0,17,31.2,181,1.7,China,6.50
38,Bell Peppers,Vegetables,31,1.0,7,0.3,2.5,4.2,4,127.7,7,0.4,China,4.80
39,Cucumber,Vegetables,16,0.7,4,0.1,0.5,1.7,2,2.8,16,0.3,China,3.20
40,Lettuce,Vegetables,15,1.4,3,0.2,1.3,0.8,28,9.2,36,0.9,China,4.50
41,Cauliflower,Vegetables,25,1.9,5,0.3,2.0,1.9,30,48.2,22,0.4,China,3.80
