# Grocery Store Sales Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Store_Name,Location,Transaction_ID,Date,Product_Category,Product_Name,Quantity,Unit_Price_USD,Total_Price_USD,Payment_Method,Customer_Age,Customer_Gender,Store_Size_SqFt,Store_Chain
1,Walmart Supercenter,New York,1001,2024-01-15,Dairy,Milk 1 Gallon,2,3.50,7.00,Credit Card,35,Female,180000,Walmart
2,Target,Los Angeles,1002,2024-01-15,Produce,Bananas per lb,3,0.69,2.07,Cash,28,Male,150000,Target
3,Kroger,Chicago,1003,2024-01-15,Meat,Chicken Breast lb,2,4.99,9.98,Debit Card,42,Female,120000,Kroger
4,Safeway,San Francisco,1004,2024-01-15,Bakery,Bread Loaf,1,2.99,2.99,Credit Card,31,Male,100000,Safeway
5,Whole Foods,Austin,1005,2024-01-15,Organic,Organic Apples lb,4,3.99,15.96,Credit Card,29,Female,80000,Whole Foods
6,Costco,Seattle,1006,2024-01-15,Bulk,Paper Towels 12-pack,1,18.99,18.99,Credit Card,45,Male,200000,Costco
7,Trader Joe's,Portland,1007,2024-01-15,Frozen,Frozen Pizza,2,4.99,9.98,Cash,33,Female,60000,Trader Joe's
8,Publix,Miami,1008,2024-01-15,Seafood,Salmon Fillet lb,1,12.99,12.99,Debit Card,38,Male,110000,Publix
9,Meijer,Detroit,1009,2024-01-15,Snacks,Chips Family Size,1,4.49,4.49,Credit Card,26,Female,130000,Meijer
10,HEB,Houston,1010,2024-01-15,Beverages,Coca-Cola 12-pack,1,5.99,5.99,Cash,41,Male,140000,HEB
11,Walmart Supercenter,New York,1011,2024-01-15,Cleaning,Laundry Detergent,1,8.99,8.99,Credit Card,52,Female,180000,Walmart
12,Target,Los Angeles,1012,2024-01-15,Personal Care,Shampoo,1,6.99,6.99,Debit Card,24,Male,150000,Target
13,Kroger,Chicago,1013,2024-01-15,Condiments,Ketchup 32oz,1,3.49,3.49,Credit Card,37,Female,120000,Kroger
14,Safeway,San Francisco,1014,2024-01-15,Canned Goods,Tomato Soup,4,1.99,7.96,Cash,29,Male,100000,Safeway
15,Whole Foods,Austin,1015,2024-01-15,Organic,Organic Spinach,2,4.49,8.98,Credit Card,34,Female,80000,Whole Foods
16,Costco,Seattle,1016,2024-01-15,Bulk,Toilet Paper 30-pack,1,24.99,24.99,Credit Card,48,Male,200000,Costco
17,Trader Joe's,Portland,1017,2024-01-15,Frozen,Frozen Vegetables,3,2.99,8.97,Cash,31,Female,60000,Trader Joe's
18,Publix,Miami,1018,2024-01-15,Deli,Sandwich Meat lb,1,7.99,7.99,Debit Card,43,Male,110000,Publix
19,Meijer,Detroit,1019,2024-01-15,Produce,Carrots 2lb bag,1,2.49,2.49,Credit Card,27,Female,130000,Meijer
20,HEB,Houston,1020,2024-01-15,Beverages,Orange Juice,2,3.99,7.98,Cash,39,Male,140000,HEB
21,Walmart Supercenter,New York,1021,2024-01-15,Dairy,Yogurt 6-pack,1,4.99,4.99,Credit Card,36,Female,180000,Walmart
22,Target,Los Angeles,1022,2024-01-15,Produce,Strawberries,2,3.99,7.98,Debit Card,25,Male,150000,Target
23,Kroger,Chicago,1023,2024-01-15,Meat,Ground Beef lb,3,5.99,17.97,Credit Card,44,Female,120000,Kroger
24,Safeway,San Francisco,1024,2024-01-15,Bakery,Croissants 6-pack,1,4.99,4.99,Cash,32,Male,100000,Safeway
25,Whole Foods,Austin,1025,2024-01-15,Organic,Organic Milk,1,5.99,5.99,Credit Card,30,Female,80000,Whole Foods
26,Costco,Seattle,1026,2024-01-15,Bulk,Coffee Beans 3lb,1,15.99,15.99,Credit Card,46,Male,200000,Costco
27,Trader Joe's,Portland,1027,2024-01-15,Frozen,Frozen Berries,2,3.99,7.98,Cash,28,Female,60000,Trader Joe's
28,Publix,Miami,1028,2024-01-15,Seafood,Shrimp lb,2,8.99,17.98,Debit Card,40,Male,110000,Publix
29,Meijer,Detroit,1029,2024-01-15,Snacks,Cookies,1,3.99,3.99,Credit Card,24,Female,130000,Meijer
30,HEB,Houston,1030,2024-01-15,Beverages,Water 24-pack,1,4.99,4.99,Cash,42,Male,140000,HEB
31,Walmart Supercenter,New York,1031,2024-01-15,Cleaning,Dish Soap,1,2.99,2.99,Credit Card,51,Female,180000,Walmart
32,Target,Los Angeles,1032,2024-01-15,Personal Care,Toothpaste,1,4.99,4.99,Debit Card,23,Male,150000,Target
33,Kroger,Chicago,1033,2024-01-15,Condiments,Mayonnaise,1,3.99,3.99,Credit Card,38,Female,120000,Kroger
34,Safeway,San Francisco,1034,2024-01-15,Canned Goods,Beans,6,1.49,8.94,Cash,30,Male,100000,Safeway
35,Whole Foods,Austin,1035,2024-01-15,Organic,Organic Eggs,1,6.99,6.99,Credit Card,33,Female,80000,Whole Foods
36,Costco,Seattle,1036,2024-01-15,Bulk,Olive Oil 2-pack,1,19.99,19.99,Credit Card,49,Male,200000,Costco
37,Trader Joe's,Portland,1037,2024-01-15,Frozen,Frozen Fish,2,6.99,13.98,Cash,29,Female,60000,Trader Joe's
38,Publix,Miami,1038,2024-01-15,Deli,Cheese lb,1,5.99,5.99,Debit Card,45,Male,110000,Publix
39,Meijer,Detroit,1039,2024-01-15,Produce,Onions 3lb bag,1,2.99,2.99,Credit Card,26,Female,130000,Meijer
40,HEB,Houston,1040,2024-01-15,Beverages,Beer 6-pack,1,7.99,7.99,Cash,38,Male,140000,HEB
41,Walmart Supercenter,New York,1041,2024-01-15,Dairy,Butter,2,3.99,7.98,Credit Card,35,Female,180000,Walmart
42,Target,Los Angeles,1042,2024-01-15,Produce,Avocados,4,1.99,7.96,Debit Card,27,Male,150000,Target
43,Kroger,Chicago,1043,2024-01-15,Meat,Pork Chops lb,2,6.99,13.98,Credit Card,41,Female,120000,Kroger
44,Safeway,San Francisco,1044,2024-01-15,Bakery,Bagels 6-pack,1,3.99,3.99,Cash,31,Male,100000,Safeway
45,Whole Foods,Austin,1045,2024-01-15,Organic,Organic Chicken,1,8.99,8.99,Credit Card,32,Female,80000,Whole Foods
46,Costco,Seattle,1046,2024-01-15,Bulk,Rice 25lb bag,1,12.99,12.99,Credit Card,47,Male,200000,Costco
47,Trader Joe's,Portland,1047,2024-01-15,Frozen,Frozen Chicken,2,5.99,11.98,Cash,30,Female,60000,Trader Joe's
48,Publix,Miami,1048,2024-01-15,Seafood,Crab Legs lb,1,15.99,15.99,Debit Card,44,Male,110000,Publix
49,Meijer,Detroit,1049,2024-01-15,Snacks,Nuts,1,4.99,4.99,Credit Card,25,Female,130000,Meijer
50,HEB,Houston,1050,2024-01-15,Beverages,Energy Drink,3,2.99,8.97,Cash,40,Male,140000,HEB
51,Walmart Supercenter,New York,1051,2024-01-15,Cleaning,All-Purpose Cleaner,1,3.99,3.99,Credit Card,50,Female,180000,Walmart
52,Target,Los Angeles,1052,2024-01-15,Personal Care,Body Wash,1,5.99,5.99,Debit Card,22,Male,150000,Target
53,Kroger,Chicago,1053,2024-01-15,Condiments,Mustard,1,2.99,2.99,Credit Card,39,Female,120000,Kroger
54,Safeway,San Francisco,1054,2024-01-15,Canned Goods,Corn,4,1.29,5.16,Cash,28,Male,100000,Safeway
55,Whole Foods,Austin,1055,2024-01-15,Organic,Organic Pasta,2,3.99,7.98,Credit Card,34,Female,80000,Whole Foods
56,Costco,Seattle,1056,2024-01-15,Bulk,Cereal 2-pack,1,8.99,8.99,Credit Card,48,Male,200000,Costco
57,Trader Joe's,Portland,1057,2024-01-15,Frozen,Frozen Waffles,1,3.99,3.99,Cash,27,Female,60000,Trader Joe's
58,Publix,Miami,1058,2024-01-15,Deli,Rotisserie Chicken,1,6.99,6.99,Debit Card,46,Male,110000,Publix
