# Supermarket Product Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Product_Name,Brand,Category,Subcategory,Price_USD,Size,Unit,Store_Chain,Location,Stock_Quantity,Discount_Percent,Sale_Price_USD,Expiration_Date,Origin_Country,Organic,Gluten_Free,Dairy_Free,Sugar_Free,Calories_Per_100g,Protein_g,Carbs_g,Fat_g,Fiber_g,Sodium_mg,Ingredients_Count,Shelf_Life_Days,Popularity_Rating
1,Milk Whole,Gallon,Dairy,Milk,3.49,Gallon,Each,Walmart,USA,150,0,3.49,2023-02-15,USA,No,No,No,No,61,3.2,4.8,3.3,0,40,3,14,4.5
2,Bread White,Wonder,Bakery,Bread,2.99,Loaf,Each,Kroger,USA,200,10,2.69,2023-02-20,USA,No,No,Yes,No,265,8.0,49.0,3.2,2.7,681,8,7,4.2
3,Eggs Large,Generic,Dairy,Eggs,2.89,Dozen,Each,Target,USA,300,0,2.89,2023-02-25,USA,No,Yes,Yes,No,143,12.6,0.7,9.5,0,140,1,30,4.8
4,Bananas,Generic,Produce,Fruit,0.59,Pound,Each,Safeway,USA,500,0,0.59,2023-02-18,Ecuador,No,Yes,Yes,No,89,1.1,22.8,0.3,2.6,1,1,7,4.6
5,Chicken Breast,Tyson,Meat,Poultry,4.99,Pound,Each,Costco,USA,100,5,4.74,2023-02-22,USA,No,Yes,Yes,No,165,31.0,0.0,3.6,0,74,1,3,4.7
6,Rice White,Uncle Ben's,Pantry,Grains,1.99,Bag,Each,Whole Foods,USA,250,0,1.99,2024-12-31,USA,No,Yes,Yes,No,130,2.7,28.0,0.3,0.4,5,1,365,4.3
7,Pasta Spaghetti,Barilla,Pantry,Pasta,1.49,Box,Each,Walmart,USA,180,15,1.27,2024-06-30,Italy,No,Yes,Yes,No,131,5.0,25.0,1.1,1.8,6,2,730,4.4
8,Tomatoes,Generic,Produce,Vegetables,2.99,Pound,Each,Kroger,USA,400,0,2.99,Mexico,No,Yes,Yes,No,18,0.9,3.9,0.2,1.2,5,1,14,4.5
9,Cheese Cheddar,Kraft,Dairy,Cheese,3.99,Pound,Each,Target,USA,120,0,3.99,2023-03-10,USA,No,Yes,No,No,403,25.0,1.3,33.0,0,621,4,21,4.6
10,Yogurt Greek,Chobani,Dairy,Yogurt,1.29,Cup,Each,Safeway,USA,200,20,1.03,2023-02-28,USA,No,Yes,No,No,59,10.0,3.6,0.4,0.0,36,5,14,4.7
11,Apples Red,Generic,Produce,Fruit,1.99,Pound,Each,Costco,USA,350,0,1.99,USA,No,Yes,Yes,No,52,0.3,13.8,0.2,2.4,1,1,30,4.4
12,Potatoes Russet,Generic,Produce,Vegetables,0.99,Pound,Each,Whole Foods,USA,300,0,0.99,USA,No,Yes,Yes,No,77,2.0,17.5,0.1,2.2,6,1,60,4.3
13,Ground Beef,Generic,Meat,Beef,5.99,Pound,Each,Walmart,USA,80,10,5.39,2023-02-21,USA,No,Yes,Yes,No,254,25.0,0.0,17.0,0,66,1,2,4.5
14,Cereal Cheerios,General Mills,Pantry,Cereal,4.49,Box,Each,Kroger,USA,150,0,4.49,2024-08-31,USA,No,Yes,Yes,No,376,7.0,74.0,6.0,9.0,700,12,365,4.6
15,Orange Juice,Tropicana,Beverages,Juice,3.99,Bottle,Each,Target,USA,100,0,3.99,2023-03-05,USA,No,Yes,Yes,No,45,0.7,10.4,0.2,0.2,1,3,14,4.4
16,Coffee Beans,Starbucks,Beverages,Coffee,8.99,Bag,Each,Safeway,USA,75,0,8.99,2024-01-15,Colombia,No,Yes,Yes,No,0,0.0,0.0,0.0,0.0,0,1,365,4.8
17,Butter Unsalted,Land O Lakes,Dairy,Butter,4.49,Pound,Each,Costco,USA,90,0,4.49,2023-03-15,USA,No,Yes,No,No,717,0.9,0.1,81.0,0.0,11,2,30,4.5
18,Salmon Fillet,Generic,Seafood,Fish,12.99,Pound,Each,Whole Foods,USA,50,0,12.99,Norway,No,Yes,Yes,No,208,25.0,0.0,12.0,0.0,44,1,2,4.7
