# Esports Tournaments Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Tournament_Name,Game,Year,Location,Organizer,Prize_Pool_USD,Teams_Count,Winner_Team,Runner_Up,Format,Viewership_Millions,Duration_Days,Sponsors
1,The International 2023,Dota 2,2023,Seattle,Valve Corporation,15000000,20,Team Spirit,GG,Double Elimination,1.2,10,BMW
2,League of Legends World Championship 2023,League of Legends,2023,Seoul,Riot Games,2250000,22,T1,WBG,Swiss System,6.4,5,Samsung
3,CS:GO Major Stockholm 2023,CS:GO,2023,Stockholm,Valve Corporation,1000000,24,Natus Vincere,G2 Esports,Swiss System,2.1,7,Intel
4,Fortnite World Cup 2019,Fortnite,2019,New York,Epic Games,30000000,100,Kyle Giersdorf,EpikWhale,Battle Royale,2.3,3,Monster Energy
5,Overwatch League Grand Finals 2023,Overwatch 2,2023,Toronto,Blizzard Entertainment,1000000,20,Houston Outlaws,Florida Mayhem,Playoffs,1.8,4,Coca-Cola
6,Valorant Champions 2023,Valorant,2023,Los Angeles,Riot Games,1000000,16,Evil Geniuses,Paper Rex,Double Elimination,1.5,10,Red Bull
7,Rocket League Championship Series 2023,Rocket League,2023,Düsseldorf,Psyonix,600000,16,Team Vitality,Gen.G,Double Elimination,0.8,5,State Farm
8,Call of Duty League Championship 2023,Call of Duty,2023,Las Vegas,Activision,1000000,12,New York Subliners,Atlanta FaZe,Playoffs,1.2,4,Mountain Dew
9,Apex Legends Global Series 2023,Apex Legends,2023,London,Electronic Arts,2000000,40,TSM,NRG,Battle Royale,1.0,7,HyperX
10,StarCraft II World Championship Series 2023,StarCraft II,2023,Katowice,Blizzard Entertainment,700000,16,Ju Seong Kim,Cho Seong Ju,Best of 5,0.5,4,Intel
11,Street Fighter 6 World Championship 2023,Street Fighter 6,2023,Las Vegas,Capcom,1000000,32,Daigo Umehara,Tokido,Double Elimination,0.3,3,Red Bull
12,Tekken 7 World Tour Finals 2023,Tekken 7,2023,Amsterdam,Bandai Namco,200000,16,Arslan Ash,Knee,Round Robin,0.2,2,HyperX
13,FIFA eWorld Cup 2023,FIFA 23,2023,Copenhagen,EA Sports,500000,32,Msdossary7,Nicolas99fc,Knockout,0.8,4,Adidas
14,Hearthstone World Championship 2023,Hearthstone,2023,Shanghai,Blizzard Entertainment,250000,8,posesi,glory,Best of 5,0.4,3,Intel
15,World of Warcraft Arena World Championship 2023,World of Warcraft,2023,Anaheim,Blizzard Entertainment,280000,8,Method EU,Cloud9,Best of 5,0.3,3,Red Bull
16,Rainbow Six Siege Six Invitational 2023,Rainbow Six Siege,2023,Montreal,Ubisoft,3000000,20,G2 Esports,TSM,Double Elimination,1.1,7,HyperX
17,Smite World Championship 2023,Smite,2023,Atlanta,Hi-Rez Studios,1000000,8,EUnited,Spacestation Gaming,Best of 5,0.2,3,Intel
