# Game Streaming Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Platform,Streamer_Name,Game_Title,Viewer_Count,Stream_Duration_Hours,Followers_Count,Subscribers_Count,Revenue_USD,Language,Country,Stream_Date,Category,Peak_Viewers,Average_Viewers
1,Twitch,ninja,Fortnite,45000,8.5,18000000,50000,50000000,English,United States,2024-01-15,Battle Royale,250000,45000
2,Twitch,shroud,Valorant,25000,6.2,10000000,30000,25000000,English,Canada,2024-01-15,FPS,120000,25000
3,Twitch,xQcOW,Just Chatting,35000,12.0,12000000,40000,30000000,English,Canada,2024-01-15,IRL,180000,35000
4,Twitch,Tfue,Fortnite,20000,7.8,8000000,25000,20000000,English,United States,2024-01-15,Battle Royale,100000,20000
5,Twitch,Pokimane,Just Chatting,22000,5.5,9000000,28000,22000000,English,Canada,2024-01-15,IRL,110000,22000
6,Twitch,summit1g,GTA RP,15000,9.2,6000000,20000,15000000,English,United States,2024-01-15,RPG,80000,15000
7,Twitch,Sodapoppin,World of Warcraft,12000,8.0,5000000,18000,12000000,English,United States,2024-01-15,MMORPG,70000,12000
8,Twitch,Lirik,GTA RP,10000,7.5,4000000,15000,10000000,English,United States,2024-01-15,RPG,60000,10000
9,Twitch,DrDisrespect,Call of Duty,18000,6.8,6000000,20000,15000000,English,United States,2024-01-15,FPS,90000,18000
10,Twitch,TimTheTatman,Call of Duty,16000,8.5,7000000,22000,18000000,English,United States,2024-01-15,FPS,85000,16000
11,Twitch,Nickmercs,Call of Duty,20000,7.2,8000000,25000,20000000,English,United States,2024-01-15,FPS,100000,20000
12,Twitch,SypherPK,Fortnite,8000,6.5,3000000,12000,8000000,English,United States,2024-01-15,Battle Royale,45000,8000
13,Twitch,Bugha,Fortnite,5000,5.0,2000000,8000,5000000,English,United States,2024-01-15,Battle Royale,30000,5000
14,Twitch,Myth,Valorant,10000,6.8,4000000,15000,10000000,English,United States,2024-01-15,FPS,55000,10000
15,Twitch,Valkyrae,Just Chatting,8000,5.2,3000000,12000,8000000,English,United States,2024-01-15,IRL,40000,8000
16,Twitch,CourageJD,Call of Duty,12000,7.8,5000000,18000,12000000,English,United States,2024-01-15,FPS,65000,12000
17,Twitch,Ludwig,Just Chatting,10000,6.0,4000000,15000,10000000,English,United States,2024-01-15,IRL,50000,10000
18,Twitch,Sykkuno,GTA RP,8000,8.5,3000000,12000,8000000,English,United States,2024-01-15,RPG,45000,8000
19,YouTube Gaming,PewDiePie,Minecraft,150000,3.5,111000000,0,15000000,English,Sweden,2024-01-15,Sandbox,500000,150000
20,YouTube Gaming,MrBeast Gaming,Minecraft,200000,4.0,150000000,0,20000000,English,United States,2024-01-15,Sandbox,800000,200000
21,YouTube Gaming,Markiplier,Five Nights at Freddy's,80000,2.5,35000000,0,8000000,English,United States,2024-01-15,Horror,200000,80000
22,YouTube Gaming,Jacksepticeye,Among Us,60000,3.0,28000000,0,6000000,English,Ireland,2024-01-15,Party Game,150000,60000
23,YouTube Gaming,DanTDM,Minecraft,120000,4.5,25000000,0,12000000,English,United Kingdom,2024-01-15,Sandbox,300000,120000
24,YouTube Gaming,SSundee,Minecraft,90000,3.8,15000000,0,9000000,English,United States,2024-01-15,Sandbox,250000,90000
25,YouTube Gaming,PopularMMOs,Minecraft,70000,4.2,12000000,0,7000000,English,United States,2024-01-15,Sandbox,180000,70000
26,Kick,xQcOW,Just Chatting,25000,10.0,12000000,35000,25000000,English,Canada,2024-01-15,IRL,120000,25000
27,Kick,Adin Ross,Just Chatting,18000,8.5,8000000,25000,18000000,English,United States,2024-01-15,IRL,90000,18000
28,Kick,Ice Poseidon,Just Chatting,12000,6.0,5000000,18000,12000000,English,United States,2024-01-15,IRL,60000,12000
29,Kick,Trainwreckstv,Slots,15000,12.0,3000000,20000,15000000,English,United States,2024-01-15,Gambling,80000,15000
30,Kick,Roshtein,Slots,10000,10.5,2000000,15000,10000000,English,Sweden,2024-01-15,Gambling,50000,10000
31,Twitch,Amouranth,Just Chatting,22000,6.5,6000000,25000,22000000,English,United States,2024-01-15,IRL,110000,22000
32,Twitch,Valkyrae,Just Chatting,18000,5.8,4000000,20000,18000000,English,United States,2024-01-15,IRL,90000,18000
33,Twitch,Pokimane,Just Chatting,25000,6.2,8000000,28000,25000000,English,Canada,2024-01-15,IRL,125000,25000
34,Twitch,Corinna Kopf,Just Chatting,15000,4.5,3000000,18000,15000000,English,United States,2024-01-15,IRL,75000,15000
35,Twitch,Bella Poarch,Just Chatting,12000,3.8,2000000,15000,12000000,English,United States,2024-01-15,IRL,60000,12000
36,Twitch,Rae Lil Black,Just Chatting,8000,4.2,1500000,12000,8000000,English,United States,2024-01-15,IRL,40000,8000
37,Twitch,Mia Khalifa,Just Chatting,6000,3.5,1000000,10000,6000000,English,United States,2024-01-15,IRL,30000,6000
38,Twitch,Belle Delphine,Just Chatting,5000,2.8,800000,8000,5000000,English,United Kingdom,2024-01-15,IRL,25000,5000
39,Twitch,Alinity,Just Chatting,7000,5.5,1200000,10000,7000000,English,Canada,2024-01-15,IRL,35000,7000
