# Mobile Games Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Game_Name,Developer,Publisher,Platform,Genre,Release_Date,Downloads_Millions,Revenue_Millions_USD,In_App_Purchases_Available,Free_to_Play,Rating_Average,Review_Count_Millions,File_Size_MB,Age_Rating,Language_Count,Update_Frequency_Days,Monetization_Model,Ad_Supported,Social_Features,Multiplayer,Offline_Play,Cloud_Save,Controller_Support
1,Candy Crush Saga,King,Activision Blizzard,iOS/Android,Puzzle,2012-04-12,3000.0,20000.0,Yes,Yes,4.2,15.0,150,4+,50,7,Freemium,Yes,Yes,No,Yes,Yes,No
2,Clash of Clans,Supercell,Supercell,iOS/Android,Strategy,2012-08-02,1000.0,15000.0,Yes,Yes,4.5,8.0,200,9+,30,14,Freemium,Yes,Yes,Yes,Yes,Yes,No
3,Clash Royale,Supercell,Supercell,iOS/Android,Strategy,2016-03-02,800.0,8000.0,Yes,Yes,4.3,6.0,180,9+,25,10,Freemium,Yes,Yes,Yes,Yes,Yes,No
4,Pokemon GO,Niantic,Niantic,iOS/Android,Augmented Reality,2016-07-06,1500.0,12000.0,Yes,Yes,4.1,12.0,250,9+,40,21,Freemium,Yes,Yes,Yes,Yes,Yes,No
5,Subway Surfers,SYBO Games,SYBO Games,iOS/Android,Endless Runner,2012-05-24,4000.0,5000.0,Yes,Yes,4.4,20.0,120,4+,60,14,Freemium,Yes,Yes,No,Yes,Yes,No
6,Temple Run,Imangi Studios,Imangi Studios,iOS/Android,Endless Runner,2011-08-04,2000.0,3000.0,Yes,Yes,4.0,10.0,80,4+,35,30,Freemium,Yes,No,No,Yes,No,No
7,Angry Birds,Rovio Entertainment,Rovio Entertainment,iOS/Android,Puzzle,2009-12-11,5000.0,8000.0,Yes,Yes,4.3,25.0,100,4+,70,21,Freemium,Yes,No,No,Yes,Yes,No
8,Among Us,InnerSloth,InnerSloth,iOS/Android,Social Deduction,2018-06-15,1000.0,2000.0,Yes,Yes,4.2,5.0,60,9+,20,14,Freemium,Yes,Yes,Yes,Yes,Yes,No
9,Roblox,Roblox Corporation,Roblox Corporation,iOS/Android,Sandbox,2006-09-01,2000.0,10000.0,Yes,Yes,4.1,8.0,300,9+,25,7,Freemium,Yes,Yes,Yes,Yes,Yes,No
10,Minecraft,Mojang Studios,Microsoft,iOS/Android,Sandbox,2011-11-17,500.0,3000.0,No,No,4.6,3.0,200,9+,30,30,Paid,No,Yes,Yes,Yes,Yes,Yes
11,Call of Duty Mobile,Activision,Activision,iOS/Android,First-Person Shooter,2019-10-01,800.0,5000.0,Yes,Yes,4.4,4.0,250,17+,35,14,Freemium,Yes,Yes,Yes,Yes,Yes,Yes
12,Free Fire,Garena,Garena,iOS/Android,Battle Royale,2017-09-30,1500.0,4000.0,Yes,Yes,4.2,7.0,180,12+,40,10,Freemium,Yes,Yes,Yes,Yes,Yes,No
13,PUBG Mobile,Tencent Games,Tencent Games,iOS/Android,Battle Royale,2018-03-19,1200.0,6000.0,Yes,Yes,4.3,6.0,300,17+,45,14,Freemium,Yes,Yes,Yes,Yes,Yes,Yes
14,Genshin Impact,miHoYo,miHoYo,iOS/Android,Action RPG,2020-09-28,600.0,8000.0,Yes,Yes,4.5,3.0,400,12+,20,21,Freemium,No,Yes,Yes,Yes,Yes,Yes
15,Hay Day,Supercell,Supercell,iOS/Android,Farming Simulation,2012-06-21,300.0,2000.0,Yes,Yes,4.4,2.0,150,4+,25,14,Freemium,Yes,Yes,No,Yes,Yes,No
