# Player Stats Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Gamertag,Game_Title,Platform,Total_Hours_Played,Achievements_Count,Rank_Current,Rank_Highest,Win_Rate_Percent,Kill_Death_Ratio,Score_Per_Match,Level_Current,Level_Max,Country,Age,Gender,Join_Date
1,xQcOW,Overwatch,PC,8500,450,Grandmaster,Top 500,68.5,2.3,2850,85,100,Canada,28,Male,2016-03-15
2,Shroud,Valorant,PC,12000,380,Immortal,Immortal 3,72.8,1.8,3200,90,100,Canada,29,Male,2020-06-02
3,Ninja,Fortnite,PC,15000,520,Champion,Champion,75.2,3.2,4500,95,100,United States,32,Male,2017-07-25
4,Tfue,Fortnite,PC,18000,480,Champion,Champion,73.8,2.9,4200,92,100,United States,25,Male,2017-08-10
5,Pokimane,League of Legends,PC,6500,320,Diamond,Diamond 1,65.4,1.5,2800,78,100,Canada,27,Female,2012-09-20
6,Summit1g,GTA RP,PC,22000,180,Roleplay,Roleplay,85.2,0.8,1500,88,100,United States,35,Male,2013-11-05
7,Sodapoppin,World of Warcraft,PC,35000,650,Gladiator,Gladiator,78.9,1.2,3200,120,120,United States,30,Male,2004-11-23
8,Lirik,GTA RP,PC,25000,200,Roleplay,Roleplay,82.1,0.9,1800,85,100,United States,32,Male,2011-08-15
9,DrDisrespect,Call of Duty,PC,8000,280,Master,Master,71.5,2.1,3800,82,100,United States,41,Male,2019-10-25
10,TimTheTatman,Call of Duty,PC,12000,350,Master,Master,69.8,1.9,3600,85,100,United States,33,Male,2019-10-25
11,Nickmercs,Call of Duty,PC,15000,420,Master,Master,74.2,2.3,4100,88,100,United States,31,Male,2019-10-25
12,SypherPK,Fortnite,PC,14000,380,Champion,Champion,70.5,2.6,3900,86,100,United States,26,Male,2017-09-12
13,Bugha,Fortnite,PC,16000,450,Champion,Champion,76.8,3.1,4600,90,100,United States,21,Male,2018-01-20
14,Myth,Valorant,PC,9000,300,Immortal,Immortal 2,68.9,1.7,3000,82,100,United States,24,Male,2020-06-02
15,Valkyrae,Among Us,PC,2000,150,Impostor,Impostor,45.2,0.6,800,45,100,United States,30,Female,2020-09-15
16,CourageJD,Call of Duty,PC,10000,320,Master,Master,67.8,1.8,3400,80,100,United States,29,Male,2019-10-25
17,Ludwig,Just Chatting,PC,5000,100,Streamer,Streamer,95.8,0.0,2500,60,100,United States,27,Male,2019-03-10
18,Sykkuno,GTA RP,PC,18000,160,Roleplay,Roleplay,88.5,0.7,1200,75,100,United States,29,Male,2018-05-20
19,Amouranth,Just Chatting,PC,8000,80,Streamer,Streamer,92.3,0.0,1800,55,100,United States,28,Female,2016-08-30
20,Valkyrae,Just Chatting,PC,6000,120,Streamer,Streamer,89.7,0.0,2000,65,100,United States,30,Female,2018-02-15
21,Pokimane,Just Chatting,PC,12000,200,Streamer,Streamer,91.2,0.0,2800,80,100,Canada,27,Female,2013-07-10
22,Corinna Kopf,Just Chatting,PC,4000,60,Streamer,Streamer,87.5,0.0,1500,40,100,United States,26,Female,2018-11-05
23,Bella Poarch,Just Chatting,PC,2000,40,Streamer,Streamer,85.2,0.0,1000,25,100,United States,22,Female,2020-01-15
24,Rae Lil Black,Just Chatting,PC,3000,50,Streamer,Streamer,86.8,0.0,1200,30,100,United States,25,Female,2019-06-20
25,Mia Khalifa,Just Chatting,PC,1500,30,Streamer,Streamer,83.5,0.0,800,20,100,United States,30,Female,2021-03-10
26,Belle Delphine,Just Chatting,PC,1000,20,Streamer,Streamer,81.2,0.0,600,15,100,United Kingdom,24,Female,2022-01-05
27,Alinity,Just Chatting,PC,5000,70,Streamer,Streamer,88.9,0.0,1600,45,100,Canada,29,Female,2017-04-12
28,Indiefoxx,Just Chatting,PC,2000,35,Streamer,Streamer,84.6,0.0,900,22,100,United States,27,Female,2020-08-18
