# Speedrun Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Game,Category,World_Record_Time,Runner,Date,Platform,Region,Previous_Record_Time,Improvement_Time,Video_Link,Community_Rating,Category_Description,Glitchless,Any_Percent,100_Percent,Low_Percent,No_Major_Glitches,Platform_Specific,Mod_Required,Emulator_Allowed,Language,Difficulty_Rating,Popularity_Score
1,Super Mario 64,120 Star,1:38:28,Cheese,2023-12-15,Nintendo 64,North America,1:38:45,0:00:17,https://youtube.com/watch?v=abc123,9.5,Collect all 120 Power Stars,No,No,Yes,No,No,Yes,No,No,English,8.5,9.8
2,The Legend of Zelda: Ocarina of Time,Any%,17:46,Skate,2023-11-20,Nintendo 64,North America,17:52,0:00:06,https://youtube.com/watch?v=def456,9.8,Complete game as fast as possible,No,Yes,No,No,No,Yes,No,No,English,9.0,9.9
3,Dark Souls,Any%,1:12:34,Distortion2,2023-10-10,PC,North America,1:13:15,0:00:41,https://youtube.com/watch?v=ghi789,9.2,Complete game with any means necessary,No,Yes,No,No,No,No,No,No,English,9.5,9.7
4,Celeste,Any%,27:45,TGH,2023-09-05,PC,North America,28:12,0:00:27,https://youtube.com/watch?v=jkl012,9.6,Complete all chapters,No,Yes,No,No,No,No,No,No,English,8.0,9.5
5,Minecraft,Set Seed Glitchless,14:32,Illumina,2023-08-15,PC,North America,14:45,0:00:13,https://youtube.com/watch?v=mno345,9.0,Beat the Ender Dragon without glitches,Yes,No,No,No,Yes,No,No,No,English,7.5,9.6
6,Sonic the Hedgehog,Any%,17:23,Blueglass,2023-07-20,Sega Genesis,North America,17:31,0:00:08,https://youtube.com/watch?v=pqr678,8.8,Complete all zones,No,Yes,No,No,No,Yes,No,No,English,6.5,9.4
7,Super Metroid,Any%,40:56,Zoast,2023-06-10,Super Nintendo,North America,41:05,0:00:09,https://youtube.com/watch?v=stu901,9.7,Complete the game,No,Yes,No,No,No,Yes,No,No,English,8.0,9.8
8,Castlevania: Symphony of the Night,Any%,14:23,Dracula,2023-05-25,PlayStation,North America,14:30,0:00:07,https://youtube.com/watch?v=vwx234,9.1,Complete the game,No,Yes,No,No,No,Yes,No,No,English,7.0,9.3
9,Hollow Knight,Any%,34:56,MonstahLer,2023-04-30,PC,North America,35:12,0:00:16,https://youtube.com/watch?v=yza567,9.4,Complete the main story,No,Yes,No,No,No,No,No,No,English,8.5,9.6
10,Portal,Any%,8:45,ProGamer,2023-03-15,PC,North America,8:52,0:00:07,https://youtube.com/watch?v=bcd890,9.3,Complete all test chambers,No,Yes,No,No,No,No,No,No,English,6.0,9.7
11,Super Mario Bros.,Any%,4:55,Kosmic,2023-02-28,Nintendo Entertainment System,North America,4:57,0:00:02,https://youtube.com/watch?v=efg123,9.9,Complete all 8 worlds,No,Yes,No,No,No,Yes,No,No,English,5.0,9.9
12,The Legend of Zelda: A Link to the Past,Any%,1:23:45,Andy,2023-01-20,Super Nintendo,North America,1:24:12,0:00:27,https://youtube.com/watch?v=hij456,9.6,Complete the main quest,No,Yes,No,No,No,Yes,No,No,English,7.5,9.8
13,Doom,Any%,19:34,Zero Master,2023-01-05,PC,North America,19:42,0:00:08,https://youtube.com/watch?v=klm789,9.2,Complete all episodes,No,Yes,No,No,No,No,No,No,English,6.5,9.5
14,Mega Man X,Any%,12:34,Bl00dyBizkitz,2022-12-15,Super Nintendo,North America,12:42,0:00:08,https://youtube.com/watch?v=nop012,9.0,Complete all 8 Mavericks,No,Yes,No,No,No,Yes,No,No,English,7.0,9.4
15,Chrono Trigger,Any%,2:45:12,puwexil,2022-11-30,Super Nintendo,North America,2:46:23,0:01:11,https://youtube.com/watch?v=qrs345,9.5,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.0,9.7
16,Super Mario World,Any%,9:23,Skater,2022-11-15,Super Nintendo,North America,9:28,0:00:05,https://youtube.com/watch?v=tuv678,9.4,Complete all levels,No,Yes,No,No,No,Yes,No,No,English,6.5,9.6
17,Donkey Kong Country,Any%,18:45,Glitchcat7,2022-10-30,Super Nintendo,North America,18:52,0:00:07,https://youtube.com/watch?v=wxy901,8.9,Complete all 6 worlds,No,Yes,No,No,No,Yes,No,No,English,7.5,9.3
