# Country Statistics Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,GDP_Billions_USD,Literacy_Rate_Percent,Life_Expectancy_Years,Internet_Penetration_Percent,Population_Millions,Area_Sq_Km,Capital,Currency
1,United States,25439,99,78.5,92.0,331,9833517,Washington DC,USD
2,China,17734,96.8,76.9,70.4,1439,9596961,Beijing,CNY
3,Japan,4231,99,84.6,93.0,126,377975,Tokyo,JPY
4,Germany,3846,99,81.0,95.0,83,357114,Berlin,EUR
5,India,3176,74.4,69.7,50.0,1380,3287263,New Delhi,INR
6,United Kingdom,2831,99,81.2,95.0,67,242495,London,GBP
7,France,2937,99,82.7,92.0,67,551695,Paris,EUR
8,Italy,2009,99,83.1,75.0,60,301340,Rome,EUR
9,Brazil,1609,93.2,75.9,70.0,213,8514877,Brasilia,BRL
10,Canada,1736,99,82.2,95.0,38,9984670,Ottawa,CAD
11,Russia,1577,99.7,72.6,76.0,146,17098242,Moscow,RUB
12,South Korea,1810,97.9,83.0,96.0,52,100210,Seoul,KRW
13,Australia,1542,99,83.4,90.0,26,7692024,Canberra,AUD
14,Spain,1394,98.4,83.4,87.0,47,505992,Madrid,EUR
15,Mexico,1293,95.4,75.1,70.0,128,1964375,Mexico City,MXN
16,Indonesia,1119,95.7,71.7,56.0,273,1904569,Jakarta,IDR
17,Netherlands,909,99,81.8,97.0,17,41543,Amsterdam,EUR
18,Saudi Arabia,793,95.3,75.0,95.0,35,2149690,Riyadh,SAR
19,Turkey,761,96.2,77.7,71.0,84,783562,Ankara,TRY
20,Switzerland,812,99,83.8,95.0,9,41285,Bern,CHF
21,Taiwan,759,98.5,80.9,90.0,24,36193,Taipei,TWD
22,Belgium,529,99,81.5,90.0,12,30528,Brussels,EUR
23,Argentina,449,98.1,76.7,83.0,45,2780400,Buenos Aires,ARS
24,Ireland,425,99,82.3,90.0,5,70273,Dublin,EUR
25,Israel,407,97.8,82.8,88.0,9,20770,Jerusalem,ILS
26,Norway,405,100,82.4,98.0,5,385207,Oslo,NOK
27,United Arab Emirates,421,93.8,78.7,99.0,10,83600,Abu Dhabi,AED
28,South Africa,419,95.0,64.1,56.0,60,1221037,Pretoria,ZAR
29,Malaysia,407,95.0,75.0,89.0,32,330803,Kuala Lumpur,MYR
30,Singapore,396,96.8,83.2,88.0,6,719,Singapore,SGD
31,Bangladesh,416,74.7,72.6,25.0,164,147570,Dhaka,BDT
32,Vietnam,366,95.8,75.3,70.0,97,331212,Hanoi,VND
33,Thailand,501,96.7,77.2,78.0,70,513120,Bangkok,THB
34,Egypt,404,71.2,71.8,50.0,102,1001449,Cairo,EGP
35,Poland,594,99.7,78.5,85.0,38,312679,Warsaw,PLN
36,Pakistan,348,58.0,67.3,22.0,220,881913,Islamabad,PKR
37,Philippines,401,96.4,71.2,67.0,109,300000,Manila,PHP
38,Chile,252,96.4,80.0,82.0,19,756102,Santiago,CLP
39,Finland,269,100,81.8,95.0,6,338424,Helsinki,EUR
40,Portugal,231,95.7,81.6,78.0,10,92090,Lisbon,EUR
41,Romania,250,98.8,75.6,70.0,19,238391,Bucharest,RON
42,Greece,214,97.7,81.5,75.0,11,131957,Athens,EUR
43,New Zealand,212,99,82.0,93.0,5,268021,Wellington,NZD
44,Peru,223,94.2,76.7,60.0,33,1285216,Lima,PEN
45,Czech Republic,245,99,79.1,88.0,11,78866,Prague,CZK
46,Iraq,234,79.7,70.5,30.0,40,438317,Baghdad,IQD
47,Qatar,183,96.5,80.2,99.0,3,11586,Doha,QAR
48,Kazakhstan,181,99.8,73.2,78.0,19,2724900,Nur-Sultan,KZT
49,Algeria,169,80.2,76.7,50.0,44,2381741,Algiers,DZD
50,Kuwait,118,95.7,75.5,99.0,4,17818,Kuwait City,KWD
51,Hungary,155,99.4,76.9,85.0,10,93030,Budapest,HUF
52,Ukraine,200,99.8,72.1,65.0,44,603550,Kiev,UAH
53,Morocco,119,68.5,76.3,65.0,37,446550,Rabat,MAD
54,Ecuador,108,94.5,77.0,70.0,18,276841,Quito,USD
55,Slovakia,106,99.6,77.4,90.0,5,49035,Bratislava,EUR
56,Angola,124,71.1,60.8,20.0,33,1246700,Luanda,AOA
57,Oman,76,95.7,77.4,80.0,5,309500,Muscat,OMR
58,Myanmar,76,89.5,66.9,30.0,54,676578,Naypyidaw,MMK
59,Sri Lanka,84,92.5,77.0,35.0,22,65610,Colombo,LKR
60,Dominican Republic,89,93.8,74.0,70.0,11,48671,Santo Domingo,DOP
61,Kenya,95,81.5,66.7,40.0,54,580367,Nairobi,KES
62,Ethiopia,96,51.8,66.2,20.0,115,1104300,Addis Ababa,ETB
63,Ghana,72,79.0,64.1,50.0,31,238533,Accra,GHS
64,Bulgaria,69,98.4,74.8,70.0,7,110879,Sofia,BGN
65,Tanzania,63,77.9,65.5,25.0,60,945087,Dodoma,TZS
66,Tunisia,44,81.8,76.7,65.0,12,163610,Tunis,TND
67,Croatia,60,99.5,78.2,75.0,4,56594,Zagreb,HRK
68,Lebanon,52,95.1,78.9,80.0,7,10452,Beirut,LBP
69,Panama,63,95.0,78.5,65.0,4,75417,Panama City,PAB
70,Costa Rica,62,97.8,80.1,80.0,5,51100,San Jose,CRC
71,Lithuania,54,99.8,75.4,85.0,3,65300,Vilnius,EUR
72,Slovenia,54,99.7,81.3,85.0,2,20273,Ljubljana,EUR
73,Serbia,51,98.9,75.6,70.0,7,88361,Belgrade,RSD
74,Libya,50,91.0,72.9,25.0,7,1759540,Tripoli,LYD
75,Jordan,45,95.4,74.5,70.0,10,89342,Amman,JOD
76,Paraguay,41,95.6,74.3,70.0,7,406752,Asuncion,PYG
77,Bolivia,41,92.5,71.5,45.0,12,1098581,Sucre,BOB
78,Cameroon,45,77.1,59.3,25.0,27,475442,Yaounde,XAF
79,Uganda,37,76.5,63.4,25.0,46,241038,Kampala,UGX
80,Zambia,23,87.5,63.8,25.0,18,752618,Lusaka,ZMW
81,Nepal,33,67.9,70.8,35.0,29,147181,Kathmandu,NPR
82,Afghanistan,20,43.0,64.8,15.0,39,652230,Kabul,AFN
83,Mali,17,35.5,59.3,20.0,20,1240192,Bamako,XOF
84,Burkina Faso,16,41.2,61.2,20.0,21,274200,Ouagadougou,XOF
85,Madagascar,14,64.7,67.0,15.0,28,587041,Antananarivo,MGA
86,Niger,13,19.1,62.4,10.0,24,1267000,Niamey,XOF
87,Malawi,12,65.3,64.2,15.0,19,118484,Lilongwe,MWK
88,Chad,11,22.3,54.2,10.0,16,1284000,N'Djamena,XAF
89,Somalia,8,37.8,57.4,5.0,16,637657,Mogadishu,SOS
90,Central African Republic,2,36.8,53.3,5.0,5,622984,Bangui,XAF
91,South Sudan,3,27.0,57.6,5.0,11,644329,Juba,SSP
92,Burundi,3,68.4,61.6,5.0,12,27834,Gitega,BIF
93,Eritrea,2,76.6,66.5,5.0,4,117600,Asmara,ERN
94,Sierra Leone,4,43.2,54.7,10.0,8,71740,Freetown,SLL
95,Liberia,3,48.3,64.1,10.0,5,111369,Monrovia,LRD
96,Guinea,15,30.4,61.6,15.0,13,245857,Conakry,GNF
97,Guinea-Bissau,1,59.9,58.3,5.0,2,36125,Bissau,XOF
98,Gambia,2,55.5,68.1,20.0,2,10689,Banjul,GMD
99,Cape Verde,2,87.6,72.8,60.0,1,4033,Praia,CVE
100,Sao Tome and Principe,0,92.8,70.4,30.0,0,964,Sao Tome,STN
