# Demographic Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Age_Group,Gender,Population_Millions,Income_Level_USD,Education_Level,Employment_Rate_Percent,Urban_Percent,Rural_Percent,Birth_Rate_Per_1000,Death_Rate_Per_1000,Life_Expectancy_Years,Median_Age_Years
1,United States,North America,0-14,Male,32.5,65000,High School,78.2,82.3,17.7,12.1,8.2,76.1,38.5
2,United States,North America,0-14,Female,31.2,62000,High School,72.1,82.3,17.7,12.1,8.2,81.1,38.5
3,United States,North America,15-64,Male,108.7,75000,Bachelor's,85.3,82.3,17.7,12.1,8.2,76.1,38.5
4,United States,North America,15-64,Female,109.8,68000,Bachelor's,79.8,82.3,17.7,12.1,8.2,81.1,38.5
5,United States,North America,65+,Male,25.4,45000,High School,45.2,82.3,17.7,12.1,8.2,76.1,38.5
6,United States,North America,65+,Female,30.1,38000,High School,35.7,82.3,17.7,12.1,8.2,81.1,38.5
7,China,Asia,0-14,Male,85.2,12000,Middle School,82.1,60.3,39.7,10.9,7.1,74.8,38.4
8,China,Asia,0-14,Female,78.9,11000,Middle School,78.5,60.3,39.7,10.9,7.1,77.2,38.4
9,China,Asia,15-64,Male,485.6,18000,High School,89.7,60.3,39.7,10.9,7.1,74.8,38.4
10,China,Asia,15-64,Female,462.3,16000,High School,85.2,60.3,39.7,10.9,7.1,77.2,38.4
11,China,Asia,65+,Male,78.9,8000,Elementary,42.1,60.3,39.7,10.9,7.1,74.8,38.4
12,China,Asia,65+,Female,89.2,7000,Elementary,38.7,60.3,39.7,10.9,7.1,77.2,38.4
13,India,Asia,0-14,Male,185.4,3500,Primary,45.2,35.0,65.0,18.2,7.3,68.3,28.7
14,India,Asia,0-14,Female,172.8,3200,Primary,42.8,35.0,65.0,18.2,7.3,70.7,28.7
15,India,Asia,15-64,Male,485.2,8500,Secondary,78.9,35.0,65.0,18.2,7.3,68.3,28.7
16,India,Asia,15-64,Female,425.7,7200,Secondary,72.1,35.0,65.0,18.2,7.3,70.7,28.7
17,India,Asia,65+,Male,45.8,2800,Primary,38.2,35.0,65.0,18.2,7.3,68.3,28.7
18,India,Asia,65+,Female,52.1,2500,Primary,35.6,35.0,65.0,18.2,7.3,70.7,28.7
19,Brazil,South America,0-14,Male,28.5,8500,Elementary,52.3,87.0,13.0,14.2,6.8,71.2,33.5
