# Education Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Literacy_Rate_Percent,Primary_Enrollment_Percent,Secondary_Enrollment_Percent,Tertiary_Enrollment_Percent,Teachers_Per_Student_Ratio,Education_Expenditure_Percent_GDP,Average_Years_Schooling,Gender_Parity_Index,Student_Teacher_Ratio_Primary,Student_Teacher_Ratio_Secondary,Completion_Rate_Primary_Percent,Completion_Rate_Secondary_Percent,Dropout_Rate_Primary_Percent,Public_School_Percent,Private_School_Percent,Education_Quality_Index
1,Finland,Northern Europe,100.0,99.8,98.5,95.2,0.12,6.2,12.3,1.02,11.2,8.5,99.5,98.2,0.5,95.0,5.0,9.8
2,Norway,Northern Europe,100.0,99.5,98.0,94.8,0.11,6.8,12.1,1.01,10.8,8.2,99.2,97.8,0.8,92.0,8.0,9.7
3,Denmark,Northern Europe,100.0,99.2,97.5,94.5,0.13,7.1,12.0,1.00,9.8,7.9,98.8,97.5,1.2,90.0,10.0,9.6
4,Sweden,Northern Europe,100.0,99.0,97.0,94.0,0.12,6.9,11.9,1.01,10.5,8.1,98.5,97.0,1.5,88.0,12.0,9.5
5,Iceland,Northern Europe,100.0,98.8,96.8,93.5,0.14,7.3,11.8,1.00,9.2,7.5,98.2,96.5,1.8,85.0,15.0,9.4
6,Switzerland,Western Europe,100.0,98.5,96.5,93.0,0.11,5.8,11.7,1.01,10.2,8.0,98.0,96.2,2.0,82.0,18.0,9.3
7,Netherlands,Western Europe,100.0,98.2,96.2,92.8,0.12,5.9,11.6,1.00,9.9,7.8,97.8,95.8,2.2,80.0,20.0,9.2
8,Austria,Western Europe,100.0,98.0,96.0,92.5,0.13,5.7,11.5,1.01,9.5,7.6,97.5,95.5,2.5,78.0,22.0,9.1
9,Germany,Western Europe,100.0,97.8,95.8,92.2,0.12,5.5,11.4,1.00,9.8,7.7,97.2,95.2,2.8,75.0,25.0,9.0
10,Belgium,Western Europe,100.0,97.5,95.5,92.0,0.14,6.1,11.3,1.01,9.2,7.4,97.0,95.0,3.0,72.0,28.0,8.9
11,France,Western Europe,100.0,97.2,95.2,91.8,0.13,5.6,11.2,1.00,9.6,7.5,96.8,94.8,3.2,70.0,30.0,8.8
12,United Kingdom,Western Europe,100.0,97.0,95.0,91.5,0.12,5.4,11.1,1.01,9.4,7.3,96.5,94.5,3.5,68.0,32.0,8.7
13,Ireland,Western Europe,100.0,96.8,94.8,91.2,0.15,5.8,11.0,1.00,8.9,7.1,96.2,94.2,3.8,65.0,35.0,8.6
14,Canada,North America,100.0,96.5,94.5,91.0,0.11,5.2,10.9,1.01,9.8,7.8,95.8,93.8,4.2,95.0,5.0,8.5
15,Australia,Oceania,100.0,96.2,94.2,90.8,0.12,5.3,10.8,1.00,9.5,7.6,95.5,93.5,4.5,70.0,30.0,8.4
16,New Zealand,Oceania,100.0,95.8,93.8,90.5,0.13,6.0,10.7,1.01,9.1,7.3,95.2,93.2,4.8,85.0,15.0,8.3
17,Japan,East Asia,100.0,95.5,93.5,90.2,0.14,3.8,10.6,1.00,8.8,7.0,94.8,92.8,5.2,95.0,5.0,8.2
18,South Korea,East Asia,100.0,95.2,93.2,90.0,0.15,4.1,10.5,1.01,8.5,6.8,94.5,92.5,5.5,80.0,20.0,8.1
19,Singapore,Southeast Asia,100.0,94.8,92.8,89.8,0.16,3.9,10.4,1.00,8.2,6.5,94.2,92.2,5.8,60.0,40.0,8.0
20,Estonia,Eastern Europe,100.0,94.5,92.5,89.5,0.17,5.7,10.3,1.01,7.9,6.2,93.8,91.8,6.2,90.0,10.0,7.9
21,Slovenia,Eastern Europe,100.0,94.2,92.2,89.2,0.18,5.5,10.2,1.00,7.6,6.0,93.5,91.5,6.5,85.0,15.0,7.8
22,Czech Republic,Eastern Europe,100.0,93.8,91.8,88.8,0.19,4.8,10.1,1.01,7.3,5.8,93.2,91.2,6.8,80.0,20.0,7.7
23,Slovakia,Eastern Europe,100.0,93.5,91.5,88.5,0.20,4.6,10.0,1.00,7.0,5.5,92.8,90.8,7.2,75.0,25.0,7.6
24,Poland,Eastern Europe,100.0,93.2,91.2,88.2,0.21,4.9,9.9,1.01,6.8,5.3,92.5,90.5,7.5,70.0,30.0,7.5
25,Hungary,Eastern Europe,100.0,92.8,90.8,87.8,0.22,4.7,9.8,1.00,6.5,5.0,92.2,90.2,7.8,65.0,35.0,7.4
26,Croatia,Eastern Europe,100.0,92.5,90.5,87.5,0.23,4.5,9.7,1.01,6.2,4.8,91.8,89.8,8.2,60.0,40.0,7.3
27,Lithuania,Eastern Europe,100.0,92.2,90.2,87.2,0.24,4.3,9.6,1.00,6.0,4.5,91.5,89.5,8.5,55.0,45.0,7.2
28,Latvia,Eastern Europe,100.0,91.8,89.8,86.8,0.25,4.1,9.5,1.01,5.8,4.2,91.2,89.2,8.8,50.0,50.0,7.1
29,Russia,Eastern Europe,100.0,91.5,89.5,86.5,0.26,3.9,9.4,1.00,5.5,4.0,90.8,88.8,9.2,95.0,5.0,7.0
30,Belarus,Eastern Europe,100.0,91.2,89.2,86.2,0.27,3.7,9.3,1.01,5.2,3.8,90.5,88.5,9.5,90.0,10.0,6.9
31,Ukraine,Eastern Europe,100.0,90.8,88.8,85.8,0.28,3.5,9.2,1.00,5.0,3.5,90.2,88.2,9.8,85.0,15.0,6.8
32,United States,North America,99.0,90.5,88.5,85.5,0.29,5.0,9.1,1.01,4.8,3.2,89.8,87.8,10.2,90.0,10.0,6.7
33,Israel,Middle East,98.5,90.2,88.2,85.2,0.30,5.8,9.0,1.00,4.5,3.0,89.5,87.5,10.5,70.0,30.0,6.6
34,Cyprus,Western Europe,98.0,89.8,87.8,84.8,0.31,5.6,8.9,1.01,4.2,2.8,89.2,87.2,10.8,60.0,40.0,6.5
35,Malta,Western Europe,97.5,89.5,87.5,84.5,0.32,5.4,8.8,1.00,4.0,2.5,88.8,86.8,11.2,55.0,45.0,6.4
36,Portugal,Western Europe,97.0,89.2,87.2,84.2,0.33,5.2,8.7,1.01,3.8,2.2,88.5,86.5,11.5,80.0,20.0,6.3
37,Spain,Western Europe,96.5,88.8,86.8,83.8,0.34,5.0,8.6,1.00,3.5,2.0,88.2,86.2,11.8,75.0,25.0,6.2
38,Italy,Western Europe,96.0,88.5,86.5,83.5,0.35,4.8,8.5,1.01,3.2,1.8,87.8,85.8,12.2,70.0,30.0,6.1
39,Greece,Western Europe,95.5,88.2,86.2,83.2,0.36,4.6,8.4,1.00,3.0,1.5,87.5,85.5,12.5,65.0,35.0,6.0
40,Chile,South America,95.0,87.8,85.8,82.8,0.37,4.4,8.3,1.01,2.8,1.2,87.2,85.2,12.8,60.0,40.0,5.9
