# Employment Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Unemployment_Rate_Percent,Agriculture_Percent,Industry_Percent,Services_Percent,Average_Wage_USD_Monthly,Minimum_Wage_USD_Monthly,GDP_Per_Capita_USD,Working_Age_Population_Millions,Labor_Force_Participation_Percent,Youth_Unemployment_Percent,Informal_Employment_Percent,Union_Membership_Percent
1,United States,3.7,1.4,19.1,79.5,4500,1200,65000,210,62.3,7.2,10.5,10.3
2,China,5.2,25.0,27.0,48.0,1200,300,12000,900,68.5,15.8,35.2,8.5
3,Japan,2.5,3.2,24.1,72.7,3200,1500,40000,75,61.8,4.1,8.2,17.5
4,Germany,3.0,1.3,27.8,70.9,3800,1800,48000,50,60.2,5.8,12.1,18.2
5,India,7.8,42.0,25.0,33.0,400,150,2500,650,52.1,23.2,85.0,3.8
6,United Kingdom,4.2,1.2,18.5,80.3,3500,2000,42000,40,63.5,10.5,15.8,23.4
7,France,7.4,2.8,19.5,77.7,3200,1600,42000,35,55.8,18.2,12.5,8.9
8,Italy,8.1,3.5,23.8,72.7,2800,1200,35000,30,58.2,25.8,18.5,35.2
9,Brazil,9.3,9.8,20.2,70.0,600,200,8500,120,61.5,27.8,45.2,15.8
10,Canada,5.8,1.8,19.2,79.0,4200,2200,45000,25,65.2,11.8,18.5,28.9
11,Russia,4.9,6.2,27.1,66.7,800,400,12000,80,59.8,15.2,22.8,30.5
12,South Korea,3.7,4.8,25.2,70.0,3500,1800,35000,35,62.8,8.5,25.8,12.1
13,Australia,3.5,2.5,19.8,77.7,4500,2500,55000,18,66.5,12.8,15.2,14.8
14,Spain,12.7,2.8,20.1,77.1,2200,1000,30000,25,58.5,32.8,22.5,15.8
15,Mexico,3.2,12.5,25.8,61.7,500,150,10000,80,60.8,8.2,55.8,12.5
16,Indonesia,5.9,28.5,22.8,48.7,300,100,4500,180,68.2,15.8,70.2,3.2
17,Netherlands,3.4,1.5,17.8,80.7,4200,2000,52000,12,65.8,8.5,12.8,18.5
18,Saudi Arabia,5.8,2.8,45.2,52.0,2500,800,23000,20,48.5,28.8,35.2,0.0
19,Turkey,10.2,18.5,26.8,54.7,600,300,9500,50,52.8,22.5,45.8,8.5
20,Switzerland,2.1,0.7,25.8,73.5,5500,3000,85000,6,68.5,4.2,8.5,15.8
21,Taiwan,3.7,4.5,35.8,59.7,2800,1200,28000,15,59.2,12.8,18.5,7.2
22,Belgium,5.4,1.2,20.8,78.0,3800,1800,46000,8,55.5,18.8,15.2,50.8
23,Argentina,8.1,6.8,22.5,70.7,400,200,12000,25,58.8,25.8,45.2,28.5
24,Ireland,4.5,4.8,24.2,71.0,4200,2000,85000,3,62.8,12.5,18.5,25.8
25,Israel,3.6,1.5,17.8,80.7,3500,1800,45000,6,60.5,8.8,22.5,25.2
26,Norway,3.8,2.2,19.8,78.0,5500,3000,75000,3,70.5,10.2,8.5,52.8
27,United Arab Emirates,2.8,0.8,50.2,49.0,3000,1000,45000,8,78.5,12.8,25.8,0.0
28,South Africa,32.9,4.8,23.8,71.4,800,200,7000,35,58.2,55.8,35.2,25.8
29,Malaysia,3.5,8.8,37.2,54.0,800,300,12000,20,68.5,12.8,25.8,8.5
30,Singapore,2.1,0.1,25.8,74.1,4500,2000,65000,4,68.8,6.8,8.5,22.8
31,Bangladesh,4.2,38.2,20.8,41.0,200,80,2500,100,58.5,12.8,85.8,2.5
32,Vietnam,2.3,35.8,25.8,38.4,300,150,3500,70,78.5,7.8,55.8,8.5
33,Thailand,1.0,31.2,23.8,45.0,500,200,7500,50,68.2,4.8,45.2,3.8
34,Egypt,7.4,25.8,22.8,51.4,200,100,4000,60,45.8,25.8,65.8,5.2
35,Poland,2.8,9.8,30.8,59.4,1200,600,16000,25,55.8,12.8,25.8,12.5
36,Pakistan,6.2,42.5,22.8,34.7,200,80,1500,120,52.8,15.8,75.8,2.8
37,Philippines,4.3,25.8,18.2,56.0,300,150,3500,70,61.5,12.8,55.8,8.5
38,Chile,8.1,6.8,22.8,70.4,800,400,15000,12,58.8,22.8,25.8,15.8
39,Finland,6.8,2.8,25.8,71.4,4200,2000,50000,4,62.5,18.8,12.5,70.8
40,Portugal,6.2,5.8,22.8,71.4,1200,600,22000,8,58.5,25.8,18.5,15.8
41,Romania,5.8,18.8,28.8,52.4,800,400,12000,12,58.2,18.8,25.8,8.5
42,Greece,12.8,4.8,15.8,79.4,1200,600,20000,8,52.8,35.8,25.8,25.8
43,New Zealand,3.8,5.8,20.8,73.4,3500,2000,42000,3,70.8,12.8,15.2,18.5
44,Peru,6.8,25.8,18.8,55.4,400,200,7000,20,72.5,18.8,65.8,5.8
45,Czech Republic,2.1,2.8,37.8,59.4,1500,800,25000,8,60.8,8.8,15.8,12.5
46,Iraq,15.8,12.8,25.8,61.4,400,200,5000,25,42.8,35.8,45.8,8.5
47,Qatar,0.1,0.2,50.8,49.0,4000,1500,95000,2,85.8,2.8,15.8,0.0
48,Kazakhstan,4.8,18.8,28.8,52.4,600,300,9000,12,68.5,12.8,25.8,8.5
49,Algeria,11.8,12.8,38.8,48.4,300,150,4000,25,45.8,28.8,55.8,5.8
50,Kuwait,2.1,0.8,50.8,48.4,3500,1200,35000,3,65.8,8.8,25.8,0.0
51,Hungary,3.8,4.8,30.8,64.4,1200,600,18000,6,58.5,12.8,18.5,8.5
52,Ukraine,9.8,12.8,25.8,61.4,300,150,3500,25,58.2,22.8,35.8,15.8
53,Morocco,9.8,35.8,22.8,41.4,300,150,3500,25,48.5,25.8,55.8,5.8
54,Ecuador,4.8,25.8,18.8,55.4,400,200,6500,12,68.5,18.8,45.8,8.5
55,Slovakia,5.8,3.8,35.8,60.4,1200,600,20000,4,58.8,18.8,15.8,12.5
56,Angola,32.8,65.8,15.8,18.4,200,100,3000,15,58.2,45.8,75.8,2.8
57,Oman,2.8,4.8,50.8,44.4,1200,500,20000,3,65.8,12.8,25.8,0.0
58,Myanmar,4.8,50.8,18.8,30.4,150,80,1500,35,68.5,12.8,85.8,2.5
59,Sri Lanka,5.8,25.8,28.8,45.4,300,150,4000,15,58.5,18.8,45.8,8.5
60,Dominican Republic,5.8,12.8,22.8,64.4,400,200,8000,8,58.8,18.8,45.8,8.5
61,Kenya,5.8,75.8,8.8,15.4,200,100,2000,25,68.5,18.8,85.8,2.8
62,Ethiopia,19.8,80.8,8.8,10.4,100,50,1000,50,78.5,25.8,95.8,1.8
63,Ghana,5.8,45.8,15.8,38.4,200,100,2500,20,68.5,18.8,75.8,3.8
64,Bulgaria,4.8,6.8,28.8,64.4,600,300,10000,5,58.5,18.8,25.8,8.5
65,Tanzania,2.8,65.8,8.8,25.4,150,80,1200,30,78.5,12.8,85.8,2.5
66,Tunisia,15.8,12.8,28.8,58.4,300,150,4000,8,45.8,35.8,45.8,8.5
67,Croatia,6.8,3.8,25.8,70.4,800,400,15000,3,58.5,22.8,25.8,25.8
68,Lebanon,25.8,3.8,15.8,80.4,400,200,8000,3,45.8,45.8,35.8,15.8
69,Panama,7.8,12.8,18.8,68.4,800,400,15000,3,68.5,22.8,35.8,8.5
70,Costa Rica,12.8,12.8,18.8,68.4,800,400,12000,3,58.5,35.8,25.8,15.8
71,Lithuania,6.8,7.8,28.8,63.4,1000,500,20000,2,65.8,18.8,15.8,8.5
72,Slovenia,4.8,2.8,32.8,64.4,1500,800,25000,2,58.5,18.8,12.5,25.8
73,Serbia,9.8,6.8,28.8,64.4,600,300,8000,5,58.2,25.8,25.8,15.8
74,Libya,19.8,4.8,45.8,49.4,400,200,8000,5,45.8,35.8,45.8,5.8
75,Jordan,19.8,2.8,25.8,71.4,400,200,5000,5,45.8,45.8,35.8,8.5
76,Paraguay,5.8,22.8,18.8,58.4,300,150,5000,5,68.5,18.8,45.8,8.5
77,Bolivia,4.8,32.8,18.8,48.4,200,100,3500,8,68.5,18.8,65.8,8.5
78,Cameroon,3.8,62.8,15.8,21.4,150,80,1500,15,68.5,12.8,85.8,2.8
79,Uganda,2.8,72.8,8.8,18.4,100,50,800,25,78.5,8.8,95.8,1.8
80,Zambia,12.8,55.8,15.8,28.4,150,80,1500,8,68.5,25.8,75.8,3.8
81,Nepal,3.8,65.8,15.8,18.4,100,50,1200,20,78.5,12.8,85.8,2.5
82,Afghanistan,11.8,75.8,8.8,15.4,50,25,500,20,45.8,25.8,95.8,1.8
83,Mali,5.8,80.8,5.8,13.4,100,50,800,10,68.5,18.8,95.8,1.8
84,Burkina Faso,5.8,82.8,5.8,11.4,80,40,700,8,68.5,18.8,95.8,1.8
85,Madagascar,2.8,78.8,8.8,12.4,80,40,500,15,78.5,8.8,95.8,1.8
86,Niger,5.8,85.8,5.8,8.4,60,30,400,8,68.5,18.8,95.8,1.8
87,Malawi,5.8,80.8,8.8,10.4,60,30,400,8,68.5,18.8,95.8,1.8
88,Chad,6.8,80.8,8.8,10.4,60,30,700,5,68.5,22.8,95.8,1.8
89,Somalia,15.8,75.8,8.8,15.4,50,25,500,5,45.8,35.8,95.8,1.8
90,Central African Republic,8.8,75.8,8.8,15.4,50,25,400,3,68.5,22.8,95.8,1.8
91,South Sudan,12.8,75.8,8.8,15.4,50,25,300,5,68.5,25.8,95.8,1.8
92,Burundi,2.8,85.8,5.8,8.4,50,25,300,5,78.5,8.8,95.8,1.8
93,Eritrea,5.8,75.8,8.8,15.4,50,25,500,3,68.5,18.8,95.8,1.8
94,Sierra Leone,5.8,65.8,8.8,25.4,50,25,500,3,68.5,18.8,95.8,1.8
95,Liberia,3.8,75.8,8.8,15.4,50,25,500,2,68.5,12.8,95.8,1.8
96,Guinea,5.8,75.8,8.8,15.4,50,25,800,5,68.5,18.8,95.8,1.8
97,Guinea-Bissau,5.8,82.8,5.8,11.4,50,25,600,1,68.5,18.8,95.8,1.8
98,Gambia,5.8,75.8,8.8,15.4,50,25,700,1,68.5,18.8,95.8,1.8
99,Cape Verde,12.8,8.8,15.8,75.4,200,100,3500,1,58.5,35.8,45.8,8.5
100,Sao Tome and Principe,12.8,25.8,15.8,58.4,100,50,2000,1,58.5,35.8,65.8,5.8
