# Energy Consumption Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Total_Energy_Consumption_TWh,Per_Capita_Energy_KWh,Coal_Percent,Oil_Percent,Natural_Gas_Percent,Nuclear_Percent,Renewable_Percent,CO2_Emissions_Million_Tons,Energy_Intensity_MJ_USD,Access_Electricity_Percent
1,United States,4161,12500,19.5,36.2,32.1,8.9,3.3,4713,5.2,100.0
2,China,15765,11200,58.2,19.8,8.5,4.8,8.7,10248,7.8,100.0
3,India,3456,2500,55.8,28.9,6.2,3.1,6.0,2487,6.2,99.4
4,Russia,1024,7000,15.2,22.1,54.8,6.9,1.0,1589,8.9,100.0
5,Japan,945,7500,26.8,40.2,22.5,3.2,7.3,1034,4.1,100.0
6,Germany,524,6300,25.8,35.2,24.1,6.2,8.7,644,3.8,100.0
7,Canada,612,16500,6.8,32.1,35.2,15.8,10.1,536,6.2,100.0
8,Brazil,598,2800,5.2,45.8,12.1,2.8,34.1,412,4.8,99.7
9,South Korea,575,11100,28.9,40.2,18.5,10.8,1.6,616,4.2,100.0
10,Iran,312,3800,1.2,35.8,62.1,0.0,0.9,648,8.9,100.0
11,Saudi Arabia,298,8500,0.0,52.1,47.9,0.0,0.0,535,12.1,100.0
12,France,478,7200,2.1,32.8,15.2,41.8,8.1,302,2.8,100.0
13,United Kingdom,312,4700,2.8,35.2,38.9,15.8,7.3,322,2.9,100.0
14,Italy,298,5000,5.8,38.9,42.1,0.0,13.2,302,3.2,100.0
15,Spain,275,5800,8.9,45.2,21.8,7.1,17.0,214,3.5,100.0
16,Australia,258,10200,29.8,35.2,25.8,0.0,9.2,386,4.8,100.0
17,Turkey,245,2900,28.9,32.1,28.5,0.0,10.5,368,6.2,100.0
18,Mexico,298,2300,6.8,52.1,35.2,2.8,3.1,448,5.8,98.8
19,Indonesia,245,900,38.9,35.2,18.5,0.0,7.4,589,8.9,98.1
20,South Africa,245,4200,69.8,18.5,3.2,4.8,3.7,452,9.8,84.2
21,Thailand,198,2800,15.2,45.8,35.2,0.0,3.8,268,5.2,99.8
22,Poland,198,5200,78.9,12.1,7.8,0.0,1.2,322,7.8,100.0
23,Malaysia,158,4800,28.9,35.2,32.1,0.0,3.8,218,4.8,100.0
