# Environmental Footprint Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,CO2_Emissions_Per_Capita_Tons,Total_CO2_Emissions_Million_Tons,Water_Use_Per_Capita_Cubic_Meters,Total_Water_Use_Billion_Cubic_Meters,Air_Pollution_Index,Water_Pollution_Index,Soil_Pollution_Index,Plastic_Waste_Per_Capita_Kg,Total_Plastic_Waste_Million_Tons,Electricity_Consumption_Per_Capita_KWh,Total_Electricity_Consumption_TWh,Forest_Cover_Percent,Forest_Loss_Annual_Percent,Recycling_Rate_Percent,Waste_Generation_Per_Capita_Kg_Day,Total_Waste_Generation_Million_Tons_Year,Environmental_Performance_Index,Greenhouse_Gas_Emissions_Million_Tons_CO2_Equivalent,Energy_Intensity_MJ_Per_Dollar_GDP
1,Qatar,Middle East,37.2,89.2,450,1.2,85,78,65,45.2,0.11,18500,45.2,0.8,0.1,15,2.8,0.8,45.2,125.8,8.9
2,Kuwait,Middle East,25.8,108.5,380,1.6,82,75,62,42.8,0.18,15200,52.8,0.5,0.2,18,2.6,1.0,48.5,142.2,7.8
3,United Arab Emirates,Middle East,22.5,220.8,320,3.1,78,72,58,38.5,0.38,12800,118.5,4.2,0.3,22,2.4,2.2,52.8,285.5,6.8
4,Bahrain,Middle East,21.8,37.2,280,0.5,75,68,55,35.8,0.06,11200,19.2,2.8,0.4,25,2.2,0.4,55.2,48.8,6.2
5,Saudi Arabia,Middle East,19.8,680.5,250,8.6,72,65,52,32.5,1.12,9800,320.8,0.9,0.5,28,2.0,6.8,58.5,890.2,5.8
6,Australia,Oceania,17.2,440.8,180,4.6,68,58,48,28.8,0.74,8500,220.5,16.2,0.8,35,1.8,4.5,62.8,580.5,5.2
7,United States,North America,16.5,5400.8,160,52.8,65,55,45,25.2,8.25,7800,2500.8,33.8,0.2,32,1.6,52.5,65.8,7200.5,4.8
8,Canada,North America,15.8,580.2,140,5.2,62,52,42,22.8,0.88,7200,280.5,38.5,0.1,38,1.4,5.5,68.5,760.8,4.5
8,Luxembourg,Western Europe,15.2,9.8,120,0.08,58,48,38,20.5,0.13,6800,4.4,35.2,0.0,42,1.2,0.7,72.2,12.8,4.2
10,Estonia,Eastern Europe,14.8,19.8,100,0.13,55,45,35,18.8,0.25,6200,8.2,52.8,0.3,45,1.0,1.3,75.8,26.2,3.8
11,Russia,Eastern Europe,12.5,1800.8,90,12.8,52,42,32,16.5,2.38,5800,850.2,49.5,0.4,48,0.8,11.5,78.5,2400.8,3.5
12,South Korea,East Asia,12.2,625.8,80,4.1,48,38,28,14.8,0.78,5200,270.8,63.8,0.6,52,0.6,3.1,82.2,820.5,3.2
13,Japan,East Asia,9.8,1250.8,70,8.8,45,35,25,12.5,1.58,4800,600.8,68.5,0.0,55,0.4,5.2,85.8,1650.8,2.8
14,Germany,Western Europe,9.5,800.2,60,5.0,42,32,22,10.8,0.90,4200,350.8,32.8,0.1,58,0.2,1.8,88.5,1050.8,2.5
15,Netherlands,Western Europe,9.2,165.8,55,0.95,38,28,18,9.5,0.16,3800,65.8,11.2,0.2,62,0.0,0.2,91.2,220.5,2.2
16,United Kingdom,Western Europe,8.8,580.5,50,3.3,35,25,15,8.8,0.52,3500,240.8,13.2,0.1,65,0.0,0.0,93.8,760.8,2.0
17,France,Western Europe,8.5,550.8,45,3.0,32,22,12,8.2,0.55,3200,210.8,31.5,0.0,68,0.0,0.0,95.2,720.5,1.8
18,Italy,Western Europe,8.2,485.8,40,2.4,28,18,10,7.8,0.47,3000,180.8,31.8,0.1,72,0.0,0.0,96.8,640.8,1.6
19,Spain,Western Europe,7.8,365.8,35,1.6,25,15,8,7.2,0.33,2800,130.8,36.8,0.2,75,0.0,0.0,98.2,480.5,1.4
20,Poland,Eastern Europe,7.5,285.8,30,1.1,22,12,6,6.8,0.26,2600,100.8,30.8,0.3,78,0.0,0.0,99.5,380.2,1.2
21,China,East Asia,7.2,10200.8,25,35.0,18,8,4,6.2,8.75,2400,3400.8,22.8,0.8,82,0.0,0.0,100.0,13500.8,1.0
22,South Africa,Sub-Saharan Africa,6.8,385.8,20,1.1,15,5,2,5.8,0.33,2200,125.8,8.2,1.2,85,0.0,0.0,100.0,510.8,0.8
23,Brazil,South America,6.2,1280.8,18,3.8,12,3,1,5.2,1.10,2000,420.8,59.5,0.9,88,0.0,0.0,100.0,1680.5,0.6
24,Mexico,North America,5.8,720.8,15,1.9,8,1,0,4.8,0.60,1800,230.8,33.8,1.5,92,0.0,0.0,100.0,950.8,0.4
25,Argentina,South America,5.2,235.8,12,0.55,5,0,0,4.2,0.19,1600,72.8,10.8,2.1,95,0.0,0.0,100.0,310.5,0.2
26,Turkey,Middle East,4.8,400.8,10,0.83,3,0,0,3.8,0.32,1400,115.8,15.2,2.8,98,0.0,0.0,100.0,525.8,0.0
