# Global Health Stats Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Disease_Name,Cases_Annual,Deaths_Annual,Vaccination_Rate_Percent,Hospitals_Count,Doctors_Per_1000,Health_Expenditure_Percent_GDP,Life_Expectancy_Years,Infant_Mortality_Per_1000,Maternal_Mortality_Per_100000,Health_Index_Score
1,United States,North America,COVID-19,45000000,850000,65.2,6090,2.6,17.8,78.8,5.4,19.0,72.5
2,United States,North America,Heart Disease,805000,655000,85.0,6090,2.6,17.8,78.8,5.4,19.0,72.5
3,United States,North America,Cancer,1800000,600000,78.5,6090,2.6,17.8,78.8,5.4,19.0,72.5
4,United States,North America,Diabetes,34000000,87000,82.1,6090,2.6,17.8,78.8,5.4,19.0,72.5
5,United States,North America,Obesity,42000000,300000,45.2,6090,2.6,17.8,78.8,5.4,19.0,72.5
6,China,Asia,COVID-19,95000,4600,85.7,35000,2.0,5.4,76.9,6.8,29.0,68.2
7,China,Asia,Heart Disease,2900000,1800000,72.8,35000,2.0,5.4,76.9,6.8,29.0,68.2
8,China,Asia,Cancer,4500000,3000000,65.4,35000,2.0,5.4,76.9,6.8,29.0,68.2
9,China,Asia,Diabetes,110000000,140000,68.9,35000,2.0,5.4,76.9,6.8,29.0,68.2
10,China,Asia,Stroke,2800000,2000000,58.2,35000,2.0,5.4,76.9,6.8,29.0,68.2
11,India,Asia,COVID-19,44000000,530000,45.8,25000,0.7,3.5,69.7,28.3,145.0,45.8
12,India,Asia,Heart Disease,54000000,1800000,42.1,25000,0.7,3.5,69.7,28.3,145.0,45.8
13,India,Asia,Cancer,1200000,800000,38.7,25000,0.7,3.5,69.7,28.3,145.0,45.8
14,India,Asia,Diabetes,77000000,1000000,35.2,25000,0.7,3.5,69.7,28.3,145.0,45.8
15,India,Asia,Tuberculosis,2600000,450000,85.0,25000,0.7,3.5,69.7,28.3,145.0,45.8
16,Brazil,South America,COVID-19,22000000,620000,75.4,6800,2.2,9.6,75.9,12.4,60.0,58.7
17,Brazil,South America,Heart Disease,12000000,380000,68.9,6800,2.2,9.6,75.9,12.4,60.0,58.7
18,Brazil,South America,Cancer,600000,240000,62.4,6800,2.2,9.6,75.9,12.4,60.0,58.7
19,Brazil,South America,Diabetes,16000000,100000,58.2,6800,2.2,9.6,75.9,12.4,60.0,58.7
20,Brazil,South America,Dengue,1200000,800,45.8,6800,2.2,9.6,75.9,12.4,60.0,58.7
21,Nigeria,Africa,COVID-19,260000,3100,8.5,1200,0.4,3.7,54.3,67.4,917.0,28.4
22,Nigeria,Africa,Malaria,61000000,200000,25.8,1200,0.4,3.7,54.3,67.4,917.0,28.4
23,Nigeria,Africa,HIV/AIDS,1800000,50000,42.1,1200,0.4,3.7,54.3,67.4,917.0,28.4
24,Nigeria,Africa,Tuberculosis,590000,150000,65.4,1200,0.4,3.7,54.3,67.4,917.0,28.4
25,Nigeria,Africa,Lassa Fever,8000,160,15.2,1200,0.4,3.7,54.3,67.4,917.0,28.4
26,Germany,Europe,COVID-19,3200000,96000,75.8,1900,4.3,11.3,81.2,3.2,7.0,78.9
27,Germany,Europe,Heart Disease,1800000,340000,82.7,1900,4.3,11.3,81.2,3.2,7.0,78.9
28,Germany,Europe,Cancer,500000,230000,78.9,1900,4.3,11.3,81.2,3.2,7.0,78.9
29,Germany,Europe,Diabetes,8000000,80000,85.2,1900,4.3,11.3,81.2,3.2,7.0,78.9
