# Natural Disasters Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Disaster_Type,Event_Name,Country,Region,Date,Latitude,Longitude,Magnitude_Intensity,Deaths,Injured,Affected_People,Property_Damage_Millions_USD,Economic_Loss_Millions_USD,Rescue_Teams_Deployed,International_Aid_Received,Climate_Factor,Season,Recovery_Time_Days
1,Earthquake,Tohoku Earthquake,Japan,Tohoku,2011-03-11,38.297,142.373,9.1,15897,6152,450000,210000,360000,50000,Yes,Plate Tectonics,Spring,1825
2,Earthquake,Haiti Earthquake,Haiti,Port-au-Prince,2010-01-12,18.457,-72.533,7.0,316000,300000,3000000,8000,14000,25000,Yes,Plate Tectonics,Winter,2555
3,Earthquake,Kashmir Earthquake,Pakistan,Kashmir,2005-10-08,34.402,73.591,7.6,87351,138266,3500000,5000,5200,15000,Yes,Plate Tectonics,Autumn,1095
4,Earthquake,Sumatra Earthquake,Indonesia,Sumatra,2004-12-26,3.316,95.854,9.1,227898,125000,1700000,10000,15000,100000,Yes,Plate Tectonics,Winter,1460
5,Earthquake,Christchurch Earthquake,New Zealand,Canterbury,2011-02-22,-43.585,172.641,6.3,185,2000,300000,15000,25000,5000,Yes,Plate Tectonics,Summer,730
6,Flood,Yangtze River Flood,China,Yangtze Basin,1998-07-01,30.592,114.305,8.0,4150,140000,180000000,30000,26000,200000,Yes,Heavy Rainfall,Summer,1095
7,Flood,Mississippi River Flood,United States,Mississippi Valley,1993-04-01,38.627,-90.199,7.0,50,100000,600000,15000,20000,50000,Yes,Heavy Rainfall,Spring,365
8,Flood,Bangladesh Flood,Bangladesh,Ganges Delta,1998-07-01,23.685,90.356,8.5,1050,30000,30000000,2000,4000,100000,Yes,Heavy Rainfall,Summer,730
9,Flood,Central Europe Flood,Germany,Czech Republic,2002-08-01,50.075,14.438,7.0,110,500000,2000000,15000,18000,25000,Yes,Heavy Rainfall,Summer,365
10,Flood,Thailand Flood,Thailand,Central Thailand,2011-07-01,13.756,100.501,7.5,815,2000000,13000000,40000,45000,100000,Yes,Heavy Rainfall,Summer,730
11,Wildfire,Black Saturday Bushfires,Australia,Victoria,2009-02-07,-37.813,144.963,8.0,173,414,7800,1000,2000,5000,Yes,Heat Wave,Summer,1095
12,Wildfire,California Camp Fire,United States,California,2018-11-08,39.810,-121.435,7.0,85,12,50000,16500,18000,8000,Yes,Drought,Autumn,730
13,Wildfire,Amazon Rainforest Fires,Brazil,Amazon Basin,2019-08-01,-3.465,-62.216,8.5,0,1000,1000000,1000,5000,15000,Yes,Drought,Winter,365
14,Wildfire,Siberian Wildfires,Russia,Siberia,2021-07-01,56.200,101.600,8.0,0,500,500000,2000,3000,10000,Yes,Heat Wave,Summer,180
15,Wildfire,Greek Wildfires,Greece,Attica,2018-07-23,38.047,23.858,7.5,102,200,20000,500,800,3000,Yes,Heat Wave,Summer,365
16,Earthquake,Guatemala Earthquake,Guatemala,Guatemala City,1976-02-04,15.319,-91.404,7.5,23000,76000,1000000,1100,1500,5000,Yes,Plate Tectonics,Winter,1095
17,Earthquake,Spitak Earthquake,Armenia,Spitak,1988-12-07,40.987,44.186,6.8,25000,19000,500000,10000,12000,8000,Yes,Plate Tectonics,Winter,1825
18,Earthquake,Northridge Earthquake,United States,California,1994-01-17,34.213,-118.537,6.7,57,9000,500000,20000,44000,10000,Yes,Plate Tectonics,Winter,365
19,Earthquake,Kobe Earthquake,Japan,Hyogo,1995-01-17,34.586,135.183,6.9,6434,43492,460000,100000,200000,30000,Yes,Plate Tectonics,Winter,1095
20,Earthquake,Chi-Chi Earthquake,Taiwan,Chi-Chi,1999-09-21,23.853,120.816,7.6,2415,11305,100000,10000,14000,15000,Yes,Plate Tectonics,Autumn,730
21,Flood,Indus River Flood,Pakistan,Sindh,2010-07-01,24.860,67.010,8.0,1985,2000000,20000000,9500,12000,50000,Yes,Heavy Rainfall,Summer,1095
22,Flood,Missouri River Flood,United States,Missouri Valley,2011-05-01,38.627,-90.199,7.5,5,100000,1000000,2000,3000,25000,Yes,Heavy Rainfall,Spring,365
23,Flood,European Flood,Germany,Central Europe,2013-05-01,51.165,10.451,7.0,25,100000,500000,12000,15000,20000,Yes,Heavy Rainfall,Spring,365
24,Flood,South Asia Flood,India,Bangladesh,2017-07-01,22.351,78.667,8.0,1200,41000000,41000000,3000,5000,100000,Yes,Heavy Rainfall,Summer,730
25,Flood,Japan Flood,Japan,Western Japan,2018-07-01,35.676,139.650,7.5,225,2000000,2000000,8000,10000,50000,Yes,Heavy Rainfall,Summer,365
26,Wildfire,Fort McMurray Fire,Canada,Alberta,2016-05-01,56.726,-111.379,7.0,0,0,90000,3500,4000,5000,Yes,Heat Wave,Spring,180
27,Wildfire,Portugal Wildfires,Portugal,Central Portugal,2017-06-17,39.400,-8.224,7.5,66,200,50000,500,800,2000,Yes,Heat Wave,Summer,365
28,Wildfire,California Thomas Fire,United States,California,2017-12-04,34.448,-119.242,7.0,2,1000,100000,2000,2500,3000,Yes,Drought,Winter,180
29,Wildfire,Indonesian Peat Fires,Indonesia,Kalimantan,2015-09-01,-0.789,113.921,8.0,19,500000,500000,1000,2000,10000,Yes,Drought,Autumn,365
30,Wildfire,Mediterranean Fires,Greece,Mediterranean,2007-08-01,39.074,21.824,7.5,84,200,100000,1500,2000,5000,Yes,Heat Wave,Summer,365
31,Earthquake,Peru Earthquake,Peru,Pisco,2007-08-15,-13.163,-76.507,8.0,595,1381,500000,3000,4000,8000,Yes,Plate Tectonics,Winter,730
32,Earthquake,Chile Earthquake,Chile,Maule,2010-02-27,-35.846,-72.719,8.8,525,12000,2000000,30000,30000,25000,Yes,Plate Tectonics,Summer,1095
33,Earthquake,New Zealand Earthquake,New Zealand,Canterbury,2010-09-04,-43.532,172.636,7.1,0,2,300000,3000,4000,2000,Yes,Plate Tectonics,Spring,180
34,Earthquake,Turkey Earthquake,Turkey,Van,2011-10-23,38.461,43.360,7.1,604,4152,600000,1000,1500,5000,Yes,Plate Tectonics,Autumn,365
35,Earthquake,Italy Earthquake,Italy,Emilia-Romagna,2012-05-20,44.889,11.230,6.0,27,350,50000,15000,20000,3000,Yes,Plate Tectonics,Spring,180
36,Flood,Colorado Flood,United States,Colorado,2013-09-01,39.739,-104.990,7.0,8,20000,20000,2000,3000,5000,Yes,Heavy Rainfall,Autumn,180
37,Flood,Louisiana Flood,United States,Louisiana,2016-08-01,30.458,-91.140,7.5,13,30000,30000,8000,10000,10000,Yes,Heavy Rainfall,Summer,365
38,Flood,Hurricane Harvey Flood,United States,Texas,2017-08-25,29.760,-95.369,8.0,68,100000,13000000,125000,125000,50000,Yes,Hurricane,Summer,730
39,Flood,Monsoon Flood,India,Kerala,2018-08-01,10.851,76.271,7.5,483,1400000,5400000,4000,6000,50000,Yes,Heavy Rainfall,Summer,365
40,Flood,China Yangtze Flood,China,Yangtze Basin,2020-07-01,30.592,114.305,8.0,141,28000,63000000,18000,25000,100000,Yes,Heavy Rainfall,Summer,365
41,Wildfire,Amazon Fires,Brazil,Amazon Basin,2020-08-01,-3.465,-62.216,8.0,0,2000,2000000,2000,4000,20000,Yes,Drought,Winter,180
42,Wildfire,California Glass Fire,United States,California,2020-09-27,38.440,-122.754,7.0,0,1000,100000,1000,1500,2000,Yes,Drought,Autumn,90
43,Wildfire,Colorado Wildfires,United States,Colorado,2020-10-01,39.550,-105.782,7.5,0,500,50000,2000,2500,3000,Yes,Drought,Autumn,180
44,Wildfire,Australia Black Summer,Australia,New South Wales,2019-12-01,-33.868,151.209,8.5,34,3000,30000,2000,3000,10000,Yes,Heat Wave,Summer,365
45,Wildfire,Washington Wildfires,United States,Washington,2020-09-01,47.751,-120.740,7.0,1,1000,100000,1000,1500,2000,Yes,Drought,Autumn,90
46,Earthquake,Alaska Earthquake,United States,Alaska,2018-11-30,61.402,-149.844,7.1,0,0,50000,1000,1500,1000,Yes,Plate Tectonics,Autumn,90
47,Earthquake,Indonesia Earthquake,Indonesia,Lombok,2018-08-05,-8.650,116.325,6.9,563,1000,500000,500,800,3000,Yes,Plate Tectonics,Summer,365
48,Earthquake,Japan Hokkaido Earthquake,Japan,Hokkaido,2018-09-06,42.315,142.373,6.6,41,691,100000,2000,3000,5000,Yes,Plate Tectonics,Autumn,180
49,Earthquake,Mexico Earthquake,Mexico,Oaxaca,2018-02-16,16.607,-97.752,7.2,14,100,50000,100,200,1000,Yes,Plate Tectonics,Winter,90
