# Political Systems Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Government_Type,Freedom_Index_Score,Political_Rights_Score,Civil_Liberties_Score,Democracy_Index_Score,Corruption_Perception_Index,Press_Freedom_Index,Economic_Freedom_Index,Voter_Turnout_Percent,Last_Election_Year,Next_Election_Year,Parliamentary_Seats,Executive_Term_Years,Constitution_Year,Human_Rights_Index,Rule_of_Law_Index,Regulatory_Quality_Index,Political_Stability_Index
1,Norway,Northern Europe,Parliamentary Democracy,100,40,40,9.87,85,7.8,76.9,78.2,2021,2025,169,4,1814,95.2,98.5,92.8,88.5
2,Finland,Northern Europe,Parliamentary Democracy,100,40,40,9.26,87,7.9,76.1,69.4,2023,2027,200,4,1919,94.8,98.2,91.5,85.2
3,Sweden,Northern Europe,Parliamentary Democracy,100,40,40,9.39,85,8.1,72.7,87.2,2022,2026,349,4,1974,94.5,97.8,90.8,82.8
4,Denmark,Northern Europe,Parliamentary Democracy,100,40,40,9.22,88,8.2,78.3,87.1,2022,2026,179,4,1953,94.2,97.5,89.5,80.5
5,Iceland,Northern Europe,Parliamentary Democracy,100,40,40,9.37,74,8.5,77.4,81.2,2021,2025,63,4,1944,93.8,97.2,88.2,78.2
6,Switzerland,Western Europe,Direct Democracy,100,40,40,9.00,85,8.7,81.9,52.4,2023,2027,200,4,1848,93.5,96.8,87.5,75.8
7,Netherlands,Western Europe,Parliamentary Democracy,100,40,40,8.96,82,8.9,76.2,78.7,2023,2027,150,4,1848,93.2,96.5,86.8,73.5
8,Austria,Western Europe,Parliamentary Democracy,100,40,40,8.20,75,8.8,71.8,75.2,2019,2024,183,6,1920,92.8,96.2,85.5,71.2
9,Germany,Western Europe,Parliamentary Democracy,100,40,40,8.67,79,8.5,72.5,76.8,2021,2025,736,4,1949,92.5,95.8,84.2,68.8
10,Belgium,Western Europe,Parliamentary Democracy,100,40,40,7.64,75,8.2,70.4,89.2,2019,2024,150,5,1831,92.2,95.5,82.8,66.5
11,United Kingdom,Western Europe,Parliamentary Democracy,100,40,40,8.28,76,7.8,78.4,67.3,2019,2024,650,5,1689,91.8,95.2,81.5,64.2
12,France,Western Europe,Semi-Presidential,100,40,40,7.99,69,7.5,63.0,47.5,2022,2027,577,5,1958,91.5,94.8,80.2,61.8
13,Italy,Western Europe,Parliamentary Democracy,100,40,40,7.74,56,7.2,62.3,73.0,2022,2027,400,7,1948,91.2,94.5,78.8,59.5
14,Spain,Western Europe,Parliamentary Democracy,100,40,40,8.07,61,7.4,65.4,66.8,2023,2027,350,4,1978,90.8,94.2,77.5,57.2
15,Portugal,Western Europe,Parliamentary Democracy,100,40,40,7.82,62,7.6,65.2,55.8,2022,2026,230,4,1976,90.5,93.8,76.2,54.8
16,Ireland,Western Europe,Parliamentary Democracy,100,40,40,9.13,74,7.9,80.5,62.7,2020,2025,160,5,1937,90.2,93.5,74.8,52.5
17,Canada,North America,Parliamentary Democracy,100,40,40,9.24,74,8.1,76.6,62.3,2021,2025,338,4,1867,89.8,93.2,73.5,50.2
18,Australia,Oceania,Parliamentary Democracy,100,40,40,8.96,75,7.8,82.4,91.9,2022,2025,151,3,1901,89.5,92.8,72.2,47.8
