# Poverty Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Poverty_Rate_Percent,Extreme_Poverty_Rate_Percent,Gini_Coefficient,Income_Inequality_Ratio,Median_Household_Income_USD,GDP_Per_Capita_USD,Social_Safety_Net_Coverage_Percent,Child_Poverty_Rate_Percent,Elderly_Poverty_Rate_Percent,Food_Security_Percent,Housing_Affordability_Index,Education_Access_Percent,Healthcare_Access_Percent,Social_Mobility_Index
1,United States,11.8,1.2,0.48,13.4,70000,65000,45.2,16.8,9.2,92.5,65.8,95.8,88.5,0.42
2,China,0.6,0.0,0.47,10.2,12000,12000,85.8,2.8,1.8,98.5,75.8,95.2,92.8,0.65
3,Japan,15.7,0.8,0.33,6.2,35000,40000,78.5,14.2,13.8,96.8,45.8,98.5,95.8,0.58
4,Germany,16.7,0.5,0.32,6.8,42000,48000,85.2,15.8,12.5,97.8,55.8,98.2,96.5,0.62
5,India,21.9,6.8,0.50,22.5,2000,2500,25.8,28.8,18.5,78.5,25.8,75.8,65.8,0.35
6,United Kingdom,18.6,0.8,0.35,7.8,38000,42000,75.8,22.8,15.8,94.5,48.8,97.8,92.5,0.55
7,France,14.0,0.5,0.32,7.2,35000,42000,85.8,18.8,8.5,96.8,52.8,98.5,95.8,0.58
8,Italy,20.3,1.2,0.36,8.5,28000,35000,65.8,25.8,18.5,92.8,38.8,95.8,88.5,0.45
9,Brazil,21.4,4.8,0.53,25.8,5000,8500,45.8,32.8,18.5,85.8,28.8,88.5,75.8,0.38
10,Canada,12.1,0.8,0.33,7.2,45000,45000,78.5,18.8,6.8,96.5,58.8,98.2,95.8,0.62
11,Russia,13.5,0.5,0.42,12.8,8000,12000,65.8,18.8,12.5,88.5,35.8,95.8,85.8,0.42
12,South Korea,14.4,0.8,0.35,8.5,25000,35000,65.8,18.8,45.8,95.8,42.8,98.5,92.8,0.52
13,Australia,13.6,0.5,0.34,7.8,50000,55000,75.8,18.8,8.5,97.8,55.8,98.8,95.8,0.58
14,Spain,21.0,1.8,0.35,8.8,25000,30000,65.8,28.8,18.5,92.8,35.8,95.8,88.5,0.45
15,Mexico,41.9,7.8,0.48,18.5,6000,10000,35.8,48.8,25.8,82.5,25.8,85.8,75.8,0.32
16,Indonesia,9.8,1.8,0.38,8.8,4000,4500,45.8,15.8,8.5,88.5,35.8,88.5,78.5,0.42
17,Netherlands,8.8,0.2,0.28,5.8,45000,52000,85.8,12.8,2.8,98.5,65.8,98.8,96.8,0.68
18,Saudi Arabia,12.8,0.5,0.45,15.8,20000,23000,45.8,18.8,8.5,95.8,55.8,95.8,88.5,0.48
19,Turkey,21.8,1.8,0.42,12.8,8000,9500,45.8,28.8,18.5,85.8,28.8,88.5,78.5,0.38
20,Switzerland,6.6,0.2,0.32,6.8,65000,85000,85.8,8.8,2.8,98.8,75.8,98.8,98.5,0.72
21,Taiwan,1.5,0.2,0.34,7.8,25000,28000,75.8,2.8,1.8,98.5,65.8,98.5,95.8,0.62
