# Rural vs Urban Population Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Total_Population_Millions,Urban_Population_Millions,Rural_Population_Millions,Urban_Percent,Rural_Percent,Urban_Growth_Rate_Percent,Rural_Growth_Rate_Percent,Urban_Density_Per_SqKm,Rural_Density_Per_SqKm,Largest_City,Urban_Population_2020_Millions,Urban_Population_2030_Projected_Millions,Urban_Population_2040_Projected_Millions,Rural_Population_2020_Millions,Rural_Population_2030_Projected_Millions,Rural_Population_2040_Projected_Millions,Urbanization_Trend
1,Singapore,Southeast Asia,5.9,5.9,0.0,100.0,0.0,1.2,0.0,8356,0,Singapore,5.7,6.1,6.4,0.0,0.0,0.0,Stable
2,Monaco,Western Europe,0.04,0.04,0.0,100.0,0.0,0.8,0.0,19300,0,Monaco,0.04,0.04,0.04,0.0,0.0,0.0,Stable
3,Qatar,Middle East,2.9,2.9,0.0,100.0,0.0,2.1,0.0,240,0,Doha,2.7,3.2,3.7,0.0,0.0,0.0,Rapid Growth
4,Kuwait,Middle East,4.3,4.3,0.0,100.0,0.0,1.8,0.0,240,0,Kuwait City,4.1,4.7,5.3,0.0,0.0,0.0,Moderate Growth
5,Bahrain,Middle East,1.7,1.7,0.0,100.0,0.0,2.3,0.0,2230,0,Manama,1.6,1.9,2.2,0.0,0.0,0.0,Rapid Growth
6,Belgium,Western Europe,11.6,11.0,0.6,94.8,5.2,0.6,-0.2,375,45,Brussels,10.8,11.2,11.5,0.7,0.6,0.5,Stable
7,Malta,Western Europe,0.5,0.5,0.0,100.0,0.0,0.4,0.0,1380,0,Valletta,0.5,0.5,0.5,0.0,0.0,0.0,Stable
8,Netherlands,Western Europe,17.4,16.2,1.2,93.1,6.9,0.8,-0.5,520,190,Amsterdam,15.8,16.8,17.7,1.4,1.2,1.0,Stable
9,Iceland,Northern Europe,0.4,0.4,0.0,100.0,0.0,1.1,0.0,3.4,0,Reykjavik,0.4,0.4,0.4,0.0,0.0,0.0,Stable
10,Japan,East Asia,125.8,115.2,10.6,91.6,8.4,-0.1,-1.2,450,35,Tokyo,115.8,114.2,112.5,11.8,10.2,8.8,Declining Rural
11,Argentina,South America,45.8,41.2,4.6,90.0,10.0,1.2,-0.8,15,2,Buenos Aires,39.8,42.8,45.2,5.2,4.8,4.2,Moderate Growth
12,Uruguay,South America,3.5,3.2,0.3,91.4,8.6,0.5,-0.3,20,2,Montevideo,3.1,3.3,3.4,0.4,0.3,0.3,Stable
13,Israel,Middle East,9.3,8.5,0.8,91.4,8.6,1.8,0.2,400,35,Jerusalem,8.1,9.2,10.4,0.9,0.8,0.7,Moderate Growth
14,Venezuela,South America,28.4,25.8,2.6,90.8,9.2,1.5,-0.5,25,3,Caracas,24.8,26.8,28.2,2.9,2.6,2.3,Moderate Growth
15,Chile,South America,19.5,17.6,1.9,90.3,9.7,1.1,-0.2,25,2,Santiago,16.8,18.2,19.5,2.1,1.9,1.7,Moderate Growth
16,Brazil,South America,215.3,191.2,24.1,88.8,11.2,1.3,-0.7,25,3,São Paulo,185.2,198.8,212.5,26.8,24.5,22.1,Moderate Growth
17,Australia,Oceania,25.7,22.8,2.9,88.7,11.3,1.4,-0.1,3.2,0.3,Sydney,21.8,23.8,25.9,3.2,2.9,2.6,Moderate Growth
18,Lebanon,Middle East,6.8,6.1,0.7,89.7,10.3,1.2,-0.8,400,35,Beirut,5.8,6.4,7.0,0.8,0.7,0.6,Moderate Growth
19,Libya,North Africa,7.0,6.2,0.8,88.6,11.4,2.1,0.5,4.2,0.5,Tripoli,5.8,6.8,7.9,0.9,0.8,0.7,Rapid Growth
20,South Korea,East Asia,51.8,45.8,6.0,88.4,11.6,0.3,-1.8,530,60,Seoul,45.2,45.8,46.2,6.8,6.0,5.4,Declining Rural
21,United States,North America,331.0,275.4,55.6,83.2,16.8,0.8,-0.2,35,4,New York City,270.2,278.8,287.5,58.2,55.8,53.2,Stable
22,Canada,North America,38.0,31.2,6.8,82.1,17.9,1.1,0.1,4.1,0.4,Toronto,30.2,32.8,35.5,6.9,6.7,6.5,Moderate Growth
23,United Kingdom,Western Europe,67.9,55.8,12.1,82.2,17.8,0.7,-0.1,280,25,London,54.2,56.8,59.5,12.8,12.2,11.5,Stable
24,France,Western Europe,67.4,55.2,12.2,81.9,18.1,0.6,-0.2,105,25,Paris,53.8,56.2,58.8,12.9,12.3,11.6,Stable
25,Germany,Western Europe,83.2,68.2,15.0,82.0,18.0,0.5,-0.3,230,75,Berlin,66.8,68.8,70.8,15.8,15.2,14.5,Stable
26,Spain,Western Europe,47.4,38.8,8.6,81.9,18.1,0.4,-0.4,80,17,Madrid,37.8,39.2,40.8,9.2,8.8,8.2,Stable
27,Italy,Western Europe,60.5,49.5,11.0,81.8,18.2,0.3,-0.5,200,60,Rome,48.2,49.8,51.5,11.8,11.2,10.5,Stable
28,Russia,Eastern Europe,146.2,108.2,38.0,74.0,26.0,0.2,-0.8,8.5,2.2,Moscow,105.8,108.8,112.2,40.8,38.5,36.2,Declining Rural
29,Poland,Eastern Europe,37.8,23.2,14.6,61.4,38.6,0.1,-1.2,125,50,Warsaw,22.8,23.5,24.2,15.2,14.8,14.2,Declining Rural
30,Turkey,Middle East,84.3,64.8,19.5,76.9,23.1,1.8,-0.5,85,25,Istanbul,61.2,68.8,77.2,21.8,20.2,18.5,Moderate Growth
31,Iran,Middle East,84.0,63.0,21.0,75.0,25.0,1.9,-0.3,50,15,Tehran,59.8,67.2,75.5,23.5,22.2,20.8,Moderate Growth
32,Mexico,North America,128.9,96.7,32.2,75.0,25.0,1.4,-0.6,55,17,Mexico City,92.8,99.8,107.2,34.2,32.8,31.2,Moderate Growth
33,Malaysia,Southeast Asia,32.7,24.5,8.2,75.0,25.0,2.1,0.2,75,25,Kuala Lumpur,23.2,26.8,30.8,8.8,8.5,8.2,Rapid Growth
34,South Africa,Sub-Saharan Africa,60.0,40.8,19.2,68.0,32.0,1.8,0.5,45,20,Johannesburg,38.2,42.8,47.8,20.5,19.8,19.0,Moderate Growth
