# Transportation Infrastructure Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,City,Highway_Length_Km,Railway_Length_Km,Airports_Count,Ports_Count,Metro_Stations_Count,Public_Transport_Routes,Infrastructure_Quality_Score,Investment_Billions_USD,Maintenance_Cost_Annual_Millions_USD
1,United States,New York,12000,8500,3,5,472,1200,8.5,45.2,2800
2,United States,Los Angeles,15000,3200,5,2,93,800,7.8,38.7,2200
3,United States,Chicago,18000,6500,2,1,145,600,8.2,42.1,1900
4,China,Beijing,25000,12000,2,0,450,1500,8.8,85.2,5200
5,China,Shanghai,22000,8500,2,3,413,1200,9.1,78.9,4800
6,China,Guangzhou,18000,6500,1,2,280,900,8.7,65.4,3800
7,Japan,Tokyo,8500,12000,2,1,285,800,9.5,72.1,4200
8,Japan,Osaka,6500,8500,1,1,180,600,9.2,58.2,3200
9,Germany,Berlin,12000,8500,1,0,175,500,8.9,45.8,2800
10,Germany,Munich,8500,6500,1,0,120,400,8.6,38.7,2200
11,United Kingdom,London,15000,12000,5,3,270,800,8.7,52.4,3200
12,United Kingdom,Manchester,8500,4500,1,1,95,300,7.8,28.5,1800
13,France,Paris,18000,15000,2,0,303,600,8.9,48.7,2900
14,France,Lyon,12000,8500,1,0,120,400,8.2,32.1,1900
15,Italy,Rome,15000,12000,2,1,73,500,8.1,38.9,2200
16,Italy,Milan,12000,8500,1,0,113,400,8.4,35.2,2000
17,Spain,Madrid,18000,12000,1,0,301,500,8.3,42.8,2500
18,Spain,Barcelona,12000,8500,1,1,180,400,8.6,38.7,2200
19,Russia,Moscow,25000,15000,4,0,250,600,7.8,65.4,3800
20,Russia,St Petersburg,18000,12000,1,1,72,400,7.5,48.9,2800
21,India,Mumbai,22000,8500,1,2,12,300,6.8,85.2,5200
22,India,Delhi,25000,12000,1,0,286,500,7.2,78.9,4800
23,India,Bangalore,18000,6500,1,0,66,200,7.5,65.4,3800
24,Brazil,Sao Paulo,30000,12000,2,1,89,400,7.1,72.1,4200
25,Brazil,Rio de Janeiro,18000,8500,2,2,41,300,7.3,58.2,3200
26,Mexico,Mexico City,25000,12000,1,0,195,500,6.9,45.8,2800
27,Mexico,Guadalajara,15000,6500,1,0,48,200,6.7,32.1,1900
28,Canada,Toronto,18000,8500,1,1,75,300,8.4,38.9,2200
29,Canada,Vancouver,12000,4500,1,1,53,200,8.1,28.5,1800
30,Australia,Sydney,15000,6500,1,2,31,200,8.2,35.2,2000
31,Australia,Melbourne,12000,8500,1,1,218,300,8.5,42.8,2500
32,South Korea,Seoul,18000,12000,1,0,291,600,9.1,48.7,2900
33,South Korea,Busan,12000,6500,1,1,45,200,8.7,32.1,1900
34,Singapore,Singapore,3500,2000,1,1,119,200,9.5,25.8,1500
35,Thailand,Bangkok,15000,4500,1,1,68,300,7.8,38.9,2200
36,Indonesia,Jakarta,22000,6500,1,1,13,200,6.9,45.8,2800
37,Malaysia,Kuala Lumpur,12000,4500,1,1,31,150,7.5,28.5,1800
38,Philippines,Manila,18000,3200,1,1,13,200,6.8,32.1,1900
39,Vietnam,Ho Chi Minh City,15000,4500,1,1,14,150,7.2,28.9,1700
40,Turkey,Istanbul,25000,12000,2,1,105,400,7.8,52.4,3200
41,Turkey,Ankara,12000,6500,1,0,23,150,7.5,35.2,2000
42,Egypt,Cairo,18000,6500,1,1,3,100,6.8,38.7,2200
43,South Africa,Johannesburg,15000,4500,1,0,0,100,6.9,32.1,1900
44,South Africa,Cape Town,12000,3200,1,1,0,80,7.1,28.5,1800
45,Nigeria,Lagos,18000,3200,1,1,0,150,6.5,45.8,2800
46,Nigeria,Abuja,12000,2000,1,0,0,50,6.2,28.9,1700
47,Kenya,Nairobi,15000,3200,1,0,0,100,6.8,25.8,1500
48,Morocco,Casablanca,12000,4500,1,1,0,80,7.2,32.1,1900
49,Algeria,Algiers,15000,3200,1,1,0,60,6.9,28.5,1800
50,Tunisia,Tunis,8500,2000,1,1,0,40,6.7,18.9,1100
51,Ethiopia,Addis Ababa,12000,2000,1,0,0,50,6.5,22.8,1300
52,Ghana,Accra,8500,2000,1,1,0,40,6.8,18.7,1100
53,Senegal,Dakar,6500,1500,1,1,0,30,6.9,15.2,900
54,Ivory Coast,Abidjan,8500,2000,1,1,0,35,6.7,18.5,1100
55,Cameroon,Douala,6500,1500,1,1,0,25,6.5,12.8,800
56,Angola,Luanda,12000,2000,1,1,0,40,6.8,22.1,1300
57,Zambia,Lusaka,8500,2000,1,0,0,30,6.6,15.8,900
58,Zimbabwe,Harare,6500,1500,1,0,0,25,6.4,12.5,800
59,Botswana,Gaborone,4500,1000,1,0,0,20,6.7,8.9,500
60,Namibia,Windhoek,3500,800,1,0,0,15,6.8,6.8,400
61,Lesotho,Maseru,2000,500,1,0,0,10,6.5,4.2,250
62,Swaziland,Mbabane,1500,300,1,0,0,8,6.4,3.1,200
63,Madagascar,Antananarivo,8500,2000,1,1,0,30,6.6,18.2,1100
64,Mauritius,Port Louis,2000,500,1,1,0,12,7.1,5.8,350
65,Seychelles,Victoria,500,100,1,1,0,5,7.2,2.1,125
