# Urbanization Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,City,Country,Population_1950,Population_1970,Population_1990,Population_2010,Population_2020,Population_2030_Projected,Urban_Growth_Rate_Percent,Metro_Area_Population,Urban_Density_Per_Sq_Km,Urban_Sprawl_Index,Green_Space_Percent,Public_Transport_Usage_Percent
1,Tokyo,Japan,11280000,23080000,32530000,36880000,37400000,38000000,0.8,37400000,6300,2.1,12.5,45.2
2,Delhi,India,1372000,3644000,7207000,16314838,29399141,36000000,4.2,29399141,11200,3.8,8.2,25.1
3,Shanghai,China,4300000,11000000,13340000,23019148,27058479,32000000,2.1,27058479,3800,2.9,15.3,38.7
4,Sao Paulo,Brazil,2330000,8060000,15000000,201032714,22043028,25000000,1.8,22043028,7200,3.2,18.7,42.3
5,Mexico City,Mexico,3100000,8900000,15200000,20116303,21804515,24000000,1.2,21804515,5900,3.5,22.1,35.8
6,Cairo,Egypt,2100000,5600000,9500000,15260000,20484965,25000000,3.1,20484965,19300,4.1,5.8,28.4
7,Mumbai,India,2968000,5970000,9925896,12478447,20185064,28000000,4.8,20185064,20700,4.3,6.2,22.7
8,Beijing,China,1670000,7600000,10800000,19612368,21540000,25000000,2.3,21540000,1300,2.7,16.8,41.2
9,Dhaka,Bangladesh,335000,1350000,6500000,14404337,21000000,28000000,5.2,21000000,23000,4.5,3.1,18.9
10,Osaka,Japan,11280000,23080000,32530000,36880000,37400000,38000000,0.8,37400000,6300,2.1,12.5,45.2
11,New York,United States,12300000,16120000,18080000,20153634,20153634,21000000,0.3,20153634,1100,1.8,27.3,55.7
12,Karachi,Pakistan,1100000,3500000,7200000,13888000,15741406,20000000,3.8,15741406,24000,4.2,4.5,19.2
13,Buenos Aires,Argentina,5000000,8900000,11500000,13074000,15155000,17000000,1.9,15155000,15000,3.1,8.7,32.6
14,Kolkata,India,4500000,7200000,11000000,14112536,14974073,18000000,2.1,14974073,24000,3.8,7.3,24.8
15,Lagos,Nigeria,300000,1400000,7300000,7937932,15388000,25000000,6.1,15388000,21000,4.7,2.8,15.4
16,Istanbul,Turkey,1000000,2800000,7200000,13000000,15462452,18000000,2.8,15462452,2700,2.4,11.2,38.9
17,Guangzhou,China,1200000,3000000,3800000,11070000,14904400,20000000,3.8,14904400,2000,2.6,14.5,43.1
18,Manila,Philippines,1500000,3500000,8000000,11855975,13484462,18000000,3.2,13484462,43000,4.8,3.7,21.3
19,Tianjin,China,2700000,4200000,8700000,11090000,13866009,18000000,2.9,13866009,1200,2.3,13.8,39.7
20,Kinshasa,DRC,400000,1200000,3500000,9500000,14234000,22000000,5.8,14234000,18000,4.9,2.1,12.8
21,Rio de Janeiro,Brazil,2900000,4800000,9500000,11920000,13293000,15000000,1.8,13293000,5200,3.4,19.6,41.5
22,Los Angeles,United States,4000000,7000000,11000000,12828837,13291465,14000000,0.4,13291465,3200,2.7,25.4,48.2
23,Moscow,Russia,5400000,7200000,8900000,11514330,12500000,13000000,1.1,12500000,4900,2.8,16.3,44.7
24,Lahore,Pakistan,850000,2200000,5200000,7000000,12188000,18000000,4.2,12188000,19000,4.1,5.9,23.6
25,Bangalore,India,780000,1600000,4100000,8443675,12095000,18000000,4.9,12095000,4400,3.2,12.7,31.8
26,Shenzhen,China,30000,300000,870000,10358381,12528364,18000000,5.1,12528364,1700,2.1,15.2,46.3
27,Bogota,Colombia,700000,2500000,5200000,7776845,10000000,13000000,3.8,10000000,15000,3.6,8.4,29.7
28,Tehran,Iran,1000000,2800000,6500000,8154051,9200000,12000000,2.9,9200000,12000,3.8,6.7,26.4
29,Jakarta,Indonesia,1800000,4800000,8500000,9500000,10560000,14000000,2.8,10560000,15000,4.2,4.8,22.1
30,Ho Chi Minh City,Vietnam,1200000,2800000,4200000,7120000,8993082,12000000,3.2,8993082,4100,3.1,9.3,35.6
31,Hong Kong,China,2200000,4000000,5700000,7000000,7500000,8000000,1.2,7500000,6800,2.9,18.4,52.8
32,Bangkok,Thailand,1300000,3500000,7200000,8305218,10539000,13000000,3.1,10539000,3600,2.8,11.7,38.2
33,Lima,Peru,1000000,3200000,6500000,7600000,9750000,12000000,3.8,9750000,3000,3.2,7.9,28.5
34,Hyderabad,India,1100000,2000000,4300000,6800000,9600000,14000000,4.5,9600000,18000,3.7,8.6,27.3
35,Chennai,India,1400000,3200000,5900000,4681087,10800000,15000000,4.8,10800000,26000,4.0,6.4,24.1
36,London,United Kingdom,8300000,7500000,6800000,8173941,8982000,9500000,1.1,8982000,5600,2.2,33.1,58.4
