# Weather Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,City,Country,Date,Avg_Temperature_C,Min_Temperature_C,Max_Temperature_C,Precipitation_mm,Humidity_Percent,Wind_Speed_kmh,Pressure_hPa,Visibility_km,Weather_Condition,UV_Index,Sunrise,Sunset
1,New York,United States,2024-01-15,2,0,5,15,75,12,1013,10,Cloudy,2,07:15,17:00
2,London,United Kingdom,2024-01-15,5,3,8,8,80,15,1008,8,Light Rain,1,08:00,16:30
3,Tokyo,Japan,2024-01-15,8,5,12,0,65,8,1020,15,Clear,3,06:45,17:15
4,Paris,France,2024-01-15,6,4,9,5,70,10,1015,12,Partly Cloudy,2,08:30,17:30
5,Sydney,Australia,2024-01-15,25,22,28,0,60,15,1018,20,Clear,8,06:00,20:00
6,Moscow,Russia,2024-01-15,-8,-12,-4,2,85,8,1030,5,Snow,0,08:45,16:15
7,Beijing,China,2024-01-15,-2,-5,1,0,70,12,1025,8,Clear,3,07:30,17:45
8,Mumbai,India,2024-01-15,28,25,32,0,65,10,1010,15,Clear,7,07:00,18:30
9,Cairo,Egypt,2024-01-15,18,15,22,0,55,8,1018,20,Clear,6,06:45,17:15
10,Sao Paulo,Brazil,2024-01-15,24,20,28,12,80,12,1012,8,Light Rain,7,05:30,19:00
11,Los Angeles,United States,2024-01-15,18,15,22,0,60,8,1015,15,Clear,5,07:00,17:30
12,Chicago,United States,2024-01-15,-5,-8,-2,8,75,15,1018,6,Snow,1,07:15,17:00
13,Toronto,Canada,2024-01-15,-10,-13,-7,5,80,12,1020,4,Snow,0,07:45,17:15
14,Madrid,Spain,2024-01-15,10,7,14,0,60,8,1022,15,Clear,4,08:15,18:00
15,Rome,Italy,2024-01-15,12,9,16,3,65,10,1018,12,Partly Cloudy,3,07:30,17:45
16,Berlin,Germany,2024-01-15,3,1,6,10,85,12,1005,6,Light Rain,1,08:00,16:45
17,Amsterdam,Netherlands,2024-01-15,4,2,7,8,80,15,1008,8,Light Rain,1,08:30,17:00
18,Stockholm,Sweden,2024-01-15,-3,-6,0,5,75,10,1025,8,Snow,0,08:45,15:30
19,Oslo,Norway,2024-01-15,-5,-8,-2,8,80,12,1028,5,Snow,0,09:00,15:45
20,Helsinki,Finland,2024-01-15,-8,-11,-5,12,85,15,1030,4,Snow,0,09:15,15:30
21,Dubai,UAE,2024-01-15,22,18,26,0,50,8,1015,20,Clear,6,07:00,18:00
22,Singapore,Singapore,2024-01-15,28,26,30,25,85,8,1008,8,Heavy Rain,7,07:15,19:15
23,Hong Kong,China,2024-01-15,18,16,21,15,75,12,1012,10,Light Rain,4,07:00,18:00
24,Seoul,South Korea,2024-01-15,-2,-5,1,5,70,10,1020,8,Light Snow,2,07:30,17:45
25,Bangkok,Thailand,2024-01-15,32,28,35,0,70,8,1010,15,Clear,8,06:45,18:15
26,Manila,Philippines,2024-01-15,30,27,33,20,80,10,1008,8,Heavy Rain,7,06:30,18:00
27,Jakarta,Indonesia,2024-01-15,28,26,31,35,85,12,1005,6,Heavy Rain,7,06:00,18:30
28,Kuala Lumpur,Malaysia,2024-01-15,28,25,31,30,80,8,1008,8,Heavy Rain,7,07:15,19:15
29,Hanoi,Vietnam,2024-01-15,20,17,24,10,75,8,1015,12,Light Rain,5,06:30,17:45
30,Ho Chi Minh City,Vietnam,2024-01-15,32,28,35,15,75,8,1010,10,Light Rain,8,06:15,18:00
