# World Cities Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,City,Country,Population,GDP_Billions_USD,Climate_Zone,Latitude,Longitude,Elevation_Meters
1,Tokyo,Japan,37400000,1600,Temperate,35.6762,139.6503,40
2,Delhi,India,32000000,450,Subtropical,28.7041,77.1025,216
3,Shanghai,China,27000000,700,Subtropical,31.2304,121.4737,4
4,Sao Paulo,Brazil,22000000,430,Tropical,-23.5505,-46.6333,760
5,Mumbai,India,20000000,310,Tropical,19.0760,72.8777,14
6,Cairo,Egypt,20000000,130,Desert,30.0444,31.2357,23
7,Beijing,China,19000000,500,Continental,39.9042,116.4074,44
8,Dhaka,Bangladesh,19000000,460,Tropical,23.8103,90.4125,4
9,Osaka,Japan,19000000,341,Temperate,34.6937,135.5023,0
10,New York City,United States,18000000,1800,Temperate,40.7128,-74.0060,10
11,Karachi,Pakistan,17000000,164,Tropical,24.8607,67.0011,8
12,Chongqing,China,16000000,350,Subtropical,29.4316,106.9123,237
13,Istanbul,Turkey,15000000,245,Temperate,41.0082,28.9784,100
14,Buenos Aires,Argentina,15000000,450,Temperate,-34.6118,-58.3960,25
15,Kolkata,India,15000000,150,Tropical,22.5726,88.3639,9
16,Lagos,Nigeria,15000000,84,Tropical,6.5244,3.3792,41
17,Kinshasa,Democratic Republic of Congo,14000000,55,Tropical,-4.4419,15.2663,240
18,Manila,Philippines,14000000,402,Tropical,14.5995,120.9842,16
19,Tianjin,China,14000000,245,Continental,39.3434,117.3616,5
20,Guangzhou,China,13000000,340,Subtropical,23.1291,113.2644,43
21,Moscow,Russia,13000000,520,Continental,55.7558,37.6176,156
22,Shenzhen,China,13000000,475,Subtropical,22.5431,114.0579,0
23,Lahore,Pakistan,13000000,84,Tropical,31.5204,74.3587,217
24,Bangalore,India,12000000,110,Tropical,12.9716,77.5946,920
25,Paris,France,11000000,780,Temperate,48.8566,2.3522,35
26,Bogota,Colombia,11000000,314,Tropical,4.7110,-74.0721,2640
27,Jakarta,Indonesia,11000000,1182,Tropical,-6.2088,106.8456,8
28,Chennai,India,11000000,66,Tropical,13.0827,80.2707,6
29,Lima,Peru,11000000,226,Tropical,-12.0464,-77.0428,154
30,Bangkok,Thailand,11000000,543,Tropical,13.7563,100.5018,2
31,Seoul,South Korea,10000000,410,Continental,37.5665,126.9780,38
32,Nagoya,Japan,10000000,200,Temperate,35.1815,136.9066,0
33,Hyderabad,India,10000000,74,Tropical,17.3850,78.4867,542
34,London,United Kingdom,9000000,650,Temperate,51.5074,-0.1278,11
35,Tehran,Iran,9000000,458,Continental,35.6892,51.3890,1200
