# Instagram Influencers Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Handle,Followers_Millions,Following_Count,Posts_Count,Engagement_Rate_Percent,Niche,Country,Verified_Status,Average_Likes_Per_Post_Millions,Average_Comments_Per_Post_Thousands,Account_Creation_Year,Language,Age_Demographic_Target,Collaboration_Rate_Percent,Brand_Partnerships_Count,Monthly_Earnings_USD,Posting_Frequency_Per_Week,Story_Frequency_Per_Week,Reel_Frequency_Per_Week,Hashtag_Usage_Count,Bio_Length_Characters,Link_In_Bio_Type
1,@cristiano,600.0,500,3500,3.2,Sports,Portugal,Yes,15.0,200,2012,Portuguese,All Ages,8.0,15,2000000,3,7,2,1,150,Website
2,@therock,395.0,200,2800,4.5,Entertainment,USA,Yes,18.0,300,2012,English,All Ages,6.0,20,1500000,4,14,3,2,200,Website
3,@kyliejenner,400.0,100,2500,5.8,Beauty,USA,Yes,25.0,400,2012,English,Gen Z,12.0,25,1200000,5,21,4,3,180,Brand
4,@selenagomez,430.0,300,2200,4.2,Music,USA,Yes,20.0,250,2012,English,All Ages,10.0,18,1000000,3,14,2,2,160,Website
5,@kimkardashian,360.0,150,2000,4.8,Fashion,USA,Yes,18.0,350,2012,English,Millennials,15.0,30,800000,4,21,3,4,200,Brand
6,@leomessi,480.0,400,1800,3.5,Sports,Argentina,Yes,17.0,180,2012,Spanish,All Ages,5.0,12,600000,2,7,1,1,120,Website
7,@beyonce,315.0,0,1500,6.2,Music,USA,Yes,20.0,500,2012,English,All Ages,3.0,8,500000,1,3,1,0,100,Website
8,@neymarjr,210.0,200,1200,4.0,Sports,Brazil,Yes,8.0,150,2012,Portuguese,All Ages,8.0,15,400000,3,14,2,2,140,Brand
9,@nickiminaj,225.0,50,1000,5.5,Music,USA,Yes,12.0,300,2012,English,Gen Z,10.0,20,350000,2,7,2,3,160,Website
10,@kendalljenner,290.0,100,800,4.8,Fashion,USA,Yes,14.0,280,2012,English,Gen Z,12.0,25,300000,3,14,3,4,180,Brand
11,@justinbieber,290.0,300,900,4.2,Music,Canada,Yes,12.0,200,2012,English,All Ages,8.0,18,280000,2,7,2,2,150,Website
12,@arianagrande,330.0,200,1100,4.5,Music,USA,Yes,15.0,250,2012,English,Gen Z,6.0,12,250000,2,14,1,1,120,Website
13,@taylorswift,280.0,0,800,6.8,Music,USA,Yes,19.0,400,2012,English,All Ages,2.0,5,200000,1,2,1,0,80,Website
