# Podcast Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Show_Name,Hosts,Genre,Release_Frequency,Platforms,Country,Launch_Year,Episode_Count,Average_Duration_Minutes,Monthly_Downloads_Millions,Language,Target_Demographic,Sponsor_Count,Revenue_Monthly_USD,Production_Quality,Social_Media_Followers_Millions,Website_Traffic_Monthly_Thousands,Email_Subscribers_Thousands,Merchandise_Sales_USD,Patron_Support_USD
1,The Joe Rogan Experience,Joe Rogan,Comedy,3x per week,Spotify,USA,2009,2000,180,200.0,English,Adults,15,5000000,Professional,25.0,5000,1000,500000,2000000
2,This American Life,Ira Glass,Documentary,Weekly,NPR,USA,1995,800,60,8.0,English,Adults,8,800000,Professional,2.0,800,200,100000,300000
3,Serial,Sarah Koenig,True Crime,Seasonal,NPR,USA,2014,50,45,15.0,English,Adults,5,1200000,Professional,1.5,1200,300,200000,500000
4,The Daily,Michael Barbaro,News,Daily,New York Times,USA,2017,1500,25,12.0,English,Adults,10,1000000,Professional,3.0,2000,500,150000,400000
5,Stuff You Should Know,Josh Clark,Education,Weekly,iHeartRadio,USA,2008,1500,45,10.0,English,Adults,12,800000,Professional,1.8,1500,400,200000,300000
6,Radiolab,Jad Abumrad,Science,Weekly,NPR,USA,2002,400,60,6.0,English,Adults,6,600000,Professional,1.2,1000,250,100000,200000
7,The Tim Ferriss Show,Tim Ferriss,Business,Weekly,Multiple,USA,2014,600,90,8.0,English,Professionals,8,700000,Professional,2.5,3000,600,300000,250000
8,Call Her Daddy,Alex Cooper,Comedy,Weekly,Spotify,USA,2018,200,60,12.0,English,Gen Z,10,1000000,Professional,4.0,2000,800,400000,400000
9,Crime Junkie,Ashley Flowers,True Crime,Weekly,Audiochuck,USA,2017,300,40,15.0,English,Adults,8,1200000,Professional,2.0,1500,500,250000,350000
10,My Favorite Murder,Karen Kilgariff,True Crime,Weekly,Exactly Right,USA,2016,400,90,10.0,English,Adults,12,900000,Professional,1.8,1200,400,300000,300000
11,The Ben Shapiro Show,Ben Shapiro,Politics,Daily,The Daily Wire,USA,2015,2000,15,8.0,English,Adults,15,600000,Professional,3.0,2500,700,200000,200000
12,Fresh Air,Terry Gross,Interview,Weekdays,NPR,USA,1975,1000,50,5.0,English,Adults,5,400000,Professional,1.0,800,200,50000,150000
13,Conan O'Brien Needs a Friend,Conan O'Brien,Comedy,Weekly,Team Coco,USA,2018,200,60,6.0,English,Adults,8,500000,Professional,2.0,1500,300,150000,200000
14,Armchair Expert,Dax Shepard,Interview,Weekly,Multiple,USA,2018,400,90,7.0,English,Adults,10,600000,Professional,1.5,1200,350,200000,250000
15,WTF with Marc Maron,Marc Maron,Interview,Weekly,Multiple,USA,2009,1200,90,4.0,English,Adults,6,400000,Professional,1.0,800,200,100000,150000
16,The Moth,Multiple,Storytelling,Weekly,Multiple,USA,1997,600,15,3.0,English,Adults,4,300000,Professional,0.8,600,150,75000,100000
17,This Week in Tech,Leo Laporte,Technology,Weekly,Multiple,USA,2005,800,90,2.0,English,Tech Enthusiasts,8,200000,Professional,0.5,400,100,50000,75000
18,Planet Money,Multiple,Economics,Weekly,NPR,USA,2008,600,20,3.0,English,Adults,5,250000,Professional,0.6,500,120,60000,90000
19,99% Invisible,Roman Mars,Design,Weekly,Multiple,USA,2010,500,25,2.5,English,Adults,4,200000,Professional,0.4,300,80,40000,70000
20,Hardcore History,Dan Carlin,History,Irregular,Multiple,USA,2006,100,240,1.5,English,Adults,2,150000,Professional,0.3,200,50,25000,50000
21,The Indicator,Multiple,Economics,Daily,NPR,USA,2017,1000,10,1.5,English,Adults,3,120000,Professional,0.2,150,40,20000,40000
22,Up First,Multiple,News,Daily,NPR,USA,2017,1500,15,2.0,English,Adults,4,150000,Professional,0.3,200,60,30000,50000
23,Code Switch,Multiple,Social Issues,Weekly,NPR,USA,2016,200,30,1.0,English,Adults,3,80000,Professional,0.2,100,25,15000,30000
24,Throughline,Multiple,History,Weekly,NPR,USA,2019,150,40,0.8,English,Adults,2,60000,Professional,0.1,80,20,10000,25000
25,Short Wave,Multiple,Science,Daily,NPR,USA,2019,800,10,0.6,English,Adults,2,50000,Professional,0.1,60,15,8000,20000
26,Pop Culture Happy Hour,Multiple,Entertainment,Weekly,NPR,USA,2010,600,30,0.8,English,Adults,3,60000,Professional,0.2,100,30,12000,25000
27,Wait Wait Don't Tell Me,Multiple,Comedy,Weekly,NPR,USA,1998,1000,50,1.2,English,Adults,4,80000,Professional,0.3,150,40,15000,30000
28,All Things Considered,Multiple,News,Daily,NPR,USA,1971,10000,60,5.0,English,Adults,8,400000,Professional,1.0,1000,200,50000,150000
29,Morning Edition,Multiple,News,Daily,NPR,USA,1979,10000,60,4.0,English,Adults,8,350000,Professional,0.8,800,180,40000,120000
30,Weekend Edition,Multiple,News,Weekends,NPR,USA,1985,5000,60,2.0,English,Adults,4,180000,Professional,0.4,400,100,20000,80000
31,Marketplace,Multiple,Business,Daily,NPR,USA,1989,8000,30,1.5,English,Adults,6,120000,Professional,0.3,300,80,15000,60000
32,On the Media,Multiple,Media,Weekly,NPR,USA,2001,800,50,0.8,English,Adults,3,60000,Professional,0.2,100,25,8000,25000
33,The Takeaway,Multiple,News,Daily,NPR,USA,2008,3000,30,0.6,English,Adults,2,40000,Professional,0.1,60,15,5000,20000
34,1A,Multiple,News,Daily,NPR,USA,2017,1500,60,0.8,English,Adults,3,50000,Professional,0.2,80,20,6000,22000
35,Here & Now,Multiple,News,Daily,NPR,USA,1997,8000,60,1.0,English,Adults,4,60000,Professional,0.2,100,25,8000,25000
36,The World,Multiple,International,Weekdays,NPR,USA,1996,6000,30,0.8,English,Adults,3,50000,Professional,0.1,80,20,6000,20000
37,Science Friday,Multiple,Science,Weekly,NPR,USA,1991,1200,90,0.6,English,Adults,2,40000,Professional,0.1,60,15,4000,18000
