# TikTok Creators Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Username,Followers_Millions,Likes_Millions,Category,Region,Country,Account_Creation_Year,Verified_Status,Average_Views_Per_Video_Millions,Engagement_Rate_Percent,Content_Type,Language,Age_Demographic_Target,Collaboration_Rate_Percent,Brand_Partnerships_Count,Monthly_Earnings_USD,Video_Frequency_Per_Week,Hashtag_Usage_Count,Music_Usage_Percent,Trend_Participation_Rate_Percent
1,@charlidamelio,155.0,12000.0,Dance,North America,USA,2019,Yes,25.0,8.5,Dance Videos,English,Gen Z,15.0,25,500000,7,5,90.0,95.0
2,@addisonre,88.0,8500.0,Lifestyle,North America,USA,2019,Yes,18.0,7.8,Lifestyle Content,English,Gen Z,12.0,20,350000,6,4,85.0,90.0
3,@zachking,70.0,6500.0,Magic,North America,USA,2016,Yes,15.0,9.2,Magic Tricks,English,All Ages,8.0,15,280000,5,3,70.0,80.0
4,@spencerx,65.0,6000.0,Comedy,North America,USA,2015,Yes,12.0,8.0,Comedy Skits,English,Gen Z,10.0,18,250000,6,4,80.0,85.0
5,@babyariel,60.0,5500.0,Lifestyle,North America,USA,2015,Yes,14.0,7.5,Lifestyle Content,English,Gen Z,12.0,22,220000,5,3,75.0,88.0
6,@loren,55.0,5000.0,Dance,North America,USA,2019,Yes,16.0,8.2,Dance Videos,English,Gen Z,14.0,16,200000,7,5,92.0,92.0
7,@noahbeck,50.0,4500.0,Lifestyle,North America,USA,2019,Yes,13.0,7.8,Lifestyle Content,English,Gen Z,11.0,14,180000,6,4,78.0,87.0
8,@dixiedamelio,45.0,4000.0,Dance,North America,USA,2019,Yes,12.0,8.0,Dance Videos,English,Gen Z,13.0,12,160000,6,4,88.0,90.0
9,@avani,40.0,3500.0,Lifestyle,North America,USA,2019,Yes,11.0,7.6,Lifestyle Content,English,Gen Z,10.0,15,140000,5,3,82.0,85.0
10,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
11,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
12,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
13,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
14,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
15,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
16,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
17,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
18,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
19,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
20,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
21,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
22,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
23,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
24,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
25,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
26,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
27,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
28,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
29,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
30,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
31,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
32,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
33,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
34,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
