# Athletes Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Athlete_Name,Sport,Nationality,Age,Height_cm,Weight_kg,Achievements,Annual_Earnings_Millions_USD,Team,Position,Years_Active,World_Rank
1,Lionel Messi,Football,Argentina,36,170,72,FIFA World Cup Winner,130,Inter Miami,Forward,2004-2024,1
2,Cristiano Ronaldo,Football,Portugal,39,187,83,5x Ballon d'Or Winner,105,Al-Nassr,Forward,2002-2024,2
3,LeBron James,Basketball,United States,39,206,113,4x NBA Champion,95,Los Angeles Lakers,Forward,2003-2024,1
4,Stephen Curry,Basketball,United States,36,191,86,4x NBA Champion,85,Golden State Warriors,Guard,2009-2024,2
5,Novak Djokovic,Tennis,Serbia,37,188,80,24x Grand Slam Winner,45,Individual,Singles,2003-2024,1
6,Rafael Nadal,Tennis,Spain,38,185,85,22x Grand Slam Winner,40,Individual,Singles,2001-2024,2
7,Roger Federer,Tennis,Switzerland,42,185,85,20x Grand Slam Winner,90,Individual,Singles,1998-2022,3
8,Serena Williams,Tennis,United States,42,175,70,23x Grand Slam Winner,35,Individual,Singles,1995-2022,1
9,Usain Bolt,Athletics,Jamaica,37,195,94,8x Olympic Gold Medalist,25,Individual,Sprinter,2004-2017,1
10,Michael Phelps,Swimming,United States,39,193,88,23x Olympic Gold Medalist,20,Individual,Swimmer,2000-2016,1
11,Tom Brady,American Football,United States,46,193,102,7x Super Bowl Winner,30,Retired,Quarterback,2000-2022,1
12,Aaron Rodgers,American Football,United States,40,188,102,1x Super Bowl Winner,25,New York Jets,Quarterback,2005-2024,2
13,Patrick Mahomes,American Football,United States,28,191,104,2x Super Bowl Winner,45,Kansas City Chiefs,Quarterback,2017-2024,1
14,Conor McGregor,Mixed Martial Arts,Ireland,35,175,70,2x UFC Champion,180,Individual,Fighter,2008-2024,1
15,Jon Jones,Mixed Martial Arts,United States,36,193,113,2x UFC Champion,15,Individual,Fighter,2008-2024,2
16,Floyd Mayweather,Boxing,United States,47,173,68,5x World Champion,300,Individual,Fighter,1996-2017,1
17,Manny Pacquiao,Boxing,Philippines,45,166,66,8x World Champion,50,Individual,Fighter,1995-2021,2
18,Canelo Alvarez,Boxing,Mexico,33,175,75,4x World Champion,40,Individual,Fighter,2005-2024,1
19,Tyson Fury,Boxing,United Kingdom,35,206,125,2x World Champion,35,Individual,Fighter,2008-2024,2
20,Anthony Joshua,Boxing,United Kingdom,34,198,110,2x World Champion,30,Individual,Fighter,2013-2024,3
21,Lewis Hamilton,Formula 1,United Kingdom,39,174,68,7x World Champion,55,Mercedes,Driver,2007-2024,2
22,Max Verstappen,Formula 1,Netherlands,26,181,70,3x World Champion,50,Red Bull,Driver,2015-2024,1
