# Basketball Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Player_Name,Team,Position,Age,Height_Cm,Weight_Kg,Points_Per_Game,Assists_Per_Game,Rebounds_Per_Game,Steals_Per_Game,Blocks_Per_Game,Field_Goal_Percent,Three_Point_Percent,Free_Throw_Percent,Salary_Millions_USD,Nationality,College,Draft_Year
1,LeBron James,Lakers,SF,39,206,113,25.0,7.8,7.7,1.3,0.5,50.0,35.0,73.0,47.6,United States,St. Vincent-St. Mary,2003
2,Kevin Durant,Suns,SF,35,208,109,27.1,5.0,6.7,0.9,1.2,52.0,41.0,88.0,47.6,United States,Texas,2007
3,Stephen Curry,Warriors,PG,35,188,86,26.4,6.1,4.5,1.0,0.4,47.0,42.0,91.0,51.9,United States,Davidson,2009
4,Giannis Antetokounmpo,Bucks,PF,29,211,110,31.1,5.7,11.8,1.2,1.1,55.0,27.0,66.0,45.6,Greece,None,2013
5,Luka Doncic,Mavericks,PG,25,201,104,32.4,8.2,8.6,1.4,0.5,49.0,34.0,78.0,40.1,Slovenia,None,2018
6,Jayson Tatum,Celtics,SF,26,203,95,26.9,4.9,8.1,1.0,0.6,47.0,35.0,83.0,32.6,United States,Duke,2017
7,Joel Embiid,Sixers,C,30,213,127,34.7,5.4,11.0,1.2,1.7,54.0,33.0,88.0,51.4,Cameroon,Kansas,2014
8,Nikola Jokic,Nuggets,C,29,211,129,26.4,9.0,12.4,1.3,0.9,58.0,35.0,82.0,47.6,Serbia,None,2014
9,Anthony Davis,Lakers,PF,31,208,115,24.1,3.1,12.6,1.2,2.3,55.0,30.0,81.0,40.6,United States,Kentucky,2012
10,Kawhi Leonard,Clippers,SF,33,201,102,23.7,3.9,6.1,1.8,0.9,52.0,38.0,87.0,45.6,United States,San Diego State,2011
11,Jimmy Butler,Heat,SF,34,201,105,20.8,5.0,5.3,1.3,0.3,50.0,35.0,85.0,45.2,United States,Marquette,2011
