# Football Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Player_Name,Club,Position,Nationality,Age,Goals,Assists,Market_Value_Millions_EUR,Salary_Annual_Millions_EUR,Appearances,Minutes_Played,Pass_Accuracy_Percent,Tackles_Per_Game,Shots_Per_Game
1,Lionel Messi,Paris Saint-Germain,Forward,Argentina,36,25,20,50,35,45,3800,89.2,0.8,4.2
2,Cristiano Ronaldo,Al-Nassr,Forward,Portugal,39,30,8,15,200,42,3600,85.7,0.5,5.8
3,Kylian Mbappé,Paris Saint-Germain,Forward,France,25,35,15,180,72,38,3200,87.3,0.7,4.9
4,Erling Haaland,Manchester City,Forward,Norway,23,40,8,150,20,35,2800,82.1,0.6,5.2
5,Kevin De Bruyne,Manchester City,Midfielder,Belgium,32,8,25,80,18,40,3500,91.5,1.2,2.8
6,Luka Modrić,Real Madrid,Midfielder,Croatia,38,5,12,10,12,35,3000,92.8,1.8,1.5
7,Virgil van Dijk,Liverpool,Defender,Netherlands,32,3,2,35,12,38,3400,94.2,2.1,0.8
8,Thibaut Courtois,Real Madrid,Goalkeeper,Belgium,31,0,0,25,8,30,2700,85.6,0.1,0.0
9,Neymar Jr,Al-Hilal,Forward,Brazil,32,15,12,60,80,25,2000,88.4,0.9,3.8
10,Karim Benzema,Al-Ittihad,Forward,France,36,28,6,20,100,30,2500,86.9,0.4,4.5
11,Robert Lewandowski,Barcelona,Forward,Poland,35,22,8,25,15,35,3000,84.7,0.6,4.8
12,Sadio Mané,Al-Nassr,Forward,Senegal,31,18,10,25,40,28,2400,87.1,1.1,3.2
13,Mohamed Salah,Liverpool,Forward,Egypt,31,25,12,70,20,40,3500,88.6,0.8,4.1
14,Harry Kane,Bayern Munich,Forward,England,30,32,8,100,25,35,3000,85.3,0.7,4.6
15,Joshua Kimmich,Bayern Munich,Midfielder,Germany,29,4,15,80,15,38,3400,93.7,2.3,1.8
16,Toni Kroos,Real Madrid,Midfielder,Germany,34,2,8,15,10,30,2600,95.1,1.5,1.2
17,Casemiro,Manchester United,Midfielder,Brazil,31,3,4,40,15,35,3000,89.8,3.2,1.1
18,Rodri,Manchester City,Midfielder,Spain,27,6,8,80,12,40,3500,92.4,2.8,1.5
19,Frenkie de Jong,Barcelona,Midfielder,Netherlands,26,3,12,60,12,35,3000,91.6,2.1,1.8
20,Pedri,Barcelona,Midfielder,Spain,21,2,8,80,8,30,2500,90.8,1.9,1.6
21,Gavi,Barcelona,Midfielder,Spain,19,1,6,90,5,25,2000,89.2,2.4,1.3
22,Jude Bellingham,Real Madrid,Midfielder,England,20,15,8,120,12,35,3000,88.7,2.6,2.1
23,Phil Foden,Manchester City,Midfielder,England,23,12,15,100,10,38,3200,89.4,1.8,2.5
24,Bukayo Saka,Arsenal,Midfielder,England,22,14,12,90,8,40,3500,87.9,2.1,2.8
25,Mason Mount,Chelsea,Midfielder,England,25,8,10,60,8,30,2500,88.6,2.3,2.2
26,Declan Rice,Arsenal,Midfielder,England,25,2,4,100,12,35,3000,91.2,3.1,1.4
27,Enzo Fernández,Chelsea,Midfielder,Argentina,23,3,8,80,10,32,2800,90.5,2.7,1.6
28,Moises Caicedo,Chelsea,Midfielder,Ecuador,22,1,3,70,8,30,2600,89.8,3.4,1.2
29,Alexis Mac Allister,Liverpool,Midfielder,Argentina,25,4,6,50,8,35,3000,88.9,2.5,1.8
30,Dominik Szoboszlai,Liverpool,Midfielder,Hungary,23,6,8,60,8,32,2800,87.4,2.2,2.1
31,Ryan Gravenberch,Liverpool,Midfielder,Netherlands,21,2,4,40,6,25,2000,86.7,2.8,1.5
32,Curtis Jones,Liverpool,Midfielder,England,23,3,5,30,5,28,2400,88.1,2.6,1.7
33,Harvey Elliott,Liverpool,Midfielder,England,21,4,6,25,4,30,2500,87.8,2.3,1.9
34,Fabinho,Liverpool,Midfielder,Brazil,30,1,2,20,8,25,2000,90.3,3.5,0.8
35,Thiago Alcântara,Liverpool,Midfielder,Spain,32,0,3,10,8,15,1200,93.7,2.1,1.2
36,Jordan Henderson,Liverpool,Midfielder,England,33,1,4,5,8,20,1600,89.6,2.8,1.1
37,James Milner,Liverpool,Midfielder,England,38,0,2,2,4,15,1000,88.4,3.2,0.9
38,Roberto Firmino,Liverpool,Forward,Brazil,32,8,6,15,8,25,2000,86.9,1.8,2.8
39,Diogo Jota,Liverpool,Forward,Portugal,27,12,4,40,8,30,2500,85.7,1.2,3.4
40,Luis Díaz,Liverpool,Forward,Colombia,27,8,6,50,8,28,2400,84.3,1.5,3.1
41,Cody Gakpo,Liverpool,Forward,Netherlands,24,6,8,35,6,25,2000,86.2,1.8,2.9
42,Darwin Núñez,Liverpool,Forward,Uruguay,24,15,4,70,8,35,3000,82.1,1.1,4.2
43,Andy Robertson,Liverpool,Defender,Scotland,30,2,8,25,8,35,3000,87.6,2.9,1.2
44,Trent Alexander-Arnold,Liverpool,Defender,England,25,3,12,60,8,38,3400,85.4,2.1,2.3
45,Virgil van Dijk,Liverpool,Defender,Netherlands,32,3,2,35,12,38,3400,94.2,2.1,0.8
46,Ibrahima Konaté,Liverpool,Defender,France,24,1,1,40,6,30,2600,91.8,2.4,0.6
47,Joël Matip,Liverpool,Defender,Cameroon,32,1,0,8,6,20,1600,92.5,2.6,0.4
48,Joe Gomez,Liverpool,Defender,England,26,0,1,15,5,25,2000,89.7,2.8,0.5
49,Kostas Tsimikas,Liverpool,Defender,Greece,27,0,3,12,4,15,1200,86.3,2.2,0.8
50,Alisson Becker,Liverpool,Goalkeeper,Brazil,31,0,0,35,8,35,3150,88.7,0.2,0.0
51,Caoimhin Kelleher,Liverpool,Goalkeeper,Ireland,25,0,0,8,2,5,450,85.2,0.1,0.0
52,Adrián,Liverpool,Goalkeeper,Spain,37,0,0,1,2,2,180,82.4,0.0,0.0
53,Arthur Melo,Liverpool,Midfielder,Brazil,27,0,1,15,6,10,800,89.1,2.3,1.0
54,Naby Keïta,Liverpool,Midfielder,Guinea,29,1,2,8,6,12,900,87.8,2.5,1.2
55,Alex Oxlade-Chamberlain,Liverpool,Midfielder,England,30,2,1,5,6,8,600,86.4,2.1,1.5
56,Takumi Minamino,Liverpool,Forward,Japan,29,3,2,8,4,10,800,85.9,1.8,2.1
57,Divock Origi,Liverpool,Forward,Belgium,28,4,1,8,4,12,900,84.7,1.2,2.8
58,Xherdan Shaqiri,Liverpool,Midfielder,Switzerland,32,1,3,5,4,8,600,87.2,1.9,1.8
59,Georginio Wijnaldum,Liverpool,Midfielder,Netherlands,33,2,4,8,6,15,1200,89.5,2.7,1.4
60,Dejan Lovren,Liverpool,Defender,Croatia,34,0,1,3,4,8,600,88.9,2.4,0.3
61,Simon Mignolet,Liverpool,Goalkeeper,Belgium,35,0,0,2,3,5,450,84.6,0.1,0.0
62,Loris Karius,Liverpool,Goalkeeper,Germany,30,0,0,1,2,3,270,82.8,0.0,0.0
63,Adam Lallana,Liverpool,Midfielder,England,35,1,2,2,3,6,450,88.7,2.2,1.3
64,Nathaniel Clyne,Liverpool,Defender,England,32,0,1,1,2,4,300,86.4,2.1,0.6
65,Alberto Moreno,Liverpool,Defender,Spain,31,0,2,1,2,5,400,85.8,2.3,0.7
66,Daniel Sturridge,Liverpool,Forward,England,34,2,1,1,2,4,300,84.2,1.0,2.5
67,Mario Balotelli,Liverpool,Forward,Italy,33,1,0,1,2,3,200,82.9,0.8,2.8
68,Rickie Lambert,Liverpool,Forward,England,42,1,0,0,1,2,150,81.5,0.6,2.2
69,Fabio Borini,Liverpool,Forward,Italy,32,1,0,0,1,3,200,83.7,0.9,2.1
70,Luis Suárez,Liverpool,Forward,Uruguay,36,8,6,5,4,8,600,86.8,1.1,3.2
71,Raheem Sterling,Liverpool,Forward,England,29,6,8,40,8,25,2000,87.3,1.4,2.9
72,Philippe Coutinho,Liverpool,Midfielder,Brazil,31,4,6,25,6,20,1600,88.9,2.1,2.3
73,Emre Can,Liverpool,Midfielder,Germany,29,2,3,15,5,15,1200,87.6,2.8,1.6
74,Mamadou Sakho,Liverpool,Defender,France,33,0,1,3,3,8,600,89.2,2.5,0.4
75,Martin Škrtel,Liverpool,Defender,Slovakia,38,1,0,1,2,5,400,88.7,2.6,0.3
76,Glen Johnson,Liverpool,Defender,England,39,0,2,1,2,6,500,86.9,2.3,0.7
77,José Enrique,Liverpool,Defender,Spain,37,0,1,1,2,4,300,85.4,2.4,0.6
78,Pepe Reina,Liverpool,Goalkeeper,Spain,41,0,0,1,2,3,270,84.2,0.1,0.0
79,Brad Jones,Liverpool,Goalkeeper,Australia,41,0,0,0,1,2,180,82.6,0.0,0.0
80,Charlie Adam,Liverpool,Midfielder,Scotland,38,1,1,0,1,3,200,85.8,2.2,1.4
81,Jay Spearing,Liverpool,Midfielder,England,35,0,1,0,1,2,150,84.3,2.5,1.1
82,Jonjo Shelvey,Liverpool,Midfielder,England,31,1,0,0,1,3,200,86.1,2.3,1.3
83,Jordan Ibe,Liverpool,Forward,England,28,1,1,0,1,2,150,83.7,1.6,1.8
84,Jérôme Sinclair,Liverpool,Forward,England,27,0,0,0,1,1,100,82.4,1.2,1.5
85,Suso,Liverpool,Midfielder,Spain,30,1,1,0,1,2,150,85.9,2.0,1.6
86,Andre Wisdom,Liverpool,Defender,England,30,0,0,0,1,1,100,84.6,2.1,0.5
87,Jack Robinson,Liverpool,Defender,England,30,0,0,0,1,1,100,83.8,2.2,0.4
88,Conor Coady,Liverpool,Defender,England,30,0,0,0,1,1,100,85.2,2.3,0.3
89,Martin Kelly,Liverpool,Defender,England,33,0,0,0,1,1,100,84.9,2.0,0.4
90,Stephen Darby,Liverpool,Defender,England,35,0,0,0,1,1,100,83.5,2.1,0.3
91,Peter Gulácsi,Liverpool,Goalkeeper,Hungary,34,0,0,0,1,1,100,82.1,0.0,0.0
92,Alex Smithies,Liverpool,Goalkeeper,England,33,0,0,0,1,1,100,81.8,0.0,0.0
93,Dean Bouzanis,Liverpool,Goalkeeper,Australia,33,0,0,0,1,1,100,80.9,0.0,0.0
94,Danny Ward,Liverpool,Goalkeeper,Wales,30,0,0,0,1,1,100,82.3,0.0,0.0
95,Simon Mignolet,Liverpool,Goalkeeper,Belgium,35,0,0,0,1,1,100,81.6,0.0,0.0
96,Brad Jones,Liverpool,Goalkeeper,Australia,41,0,0,0,1,1,100,80.4,0.0,0.0
97,Pepe Reina,Liverpool,Goalkeeper,Spain,41,0,0,0,1,1,100,79.8,0.0,0.0
98,Jerzy Dudek,Liverpool,Goalkeeper,Poland,50,0,0,0,1,1,100,78.5,0.0,0.0
99,Sander Westerveld,Liverpool,Goalkeeper,Netherlands,49,0,0,0,1,1,100,77.2,0.0,0.0
100,Bruce Grobbelaar,Liverpool,Goalkeeper,Zimbabwe,66,0,0,0,1,1,100,75.8,0.0,0.0
