# Olympics Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Event,Year,Location,Country,Gold_Medalist,Silver_Medalist,Bronze_Medalist,Gold_Country,Silver_Country,Bronze_Country,Record_Time,Previous_Record,World_Record,Event_Type,Sport
1,100m Men,2020,Tokyo,Japan,Lamont Marcell Jacobs,Fred Kerley,Andre De Grasse,Italy,United States,Canada,9.80,9.81,9.58,Track and Field,Athletics
2,200m Men,2020,Tokyo,Japan,Andre De Grasse,Kenneth Bednarek,Noah Lyles,Canada,United States,United States,19.62,19.68,19.19,Track and Field,Athletics
3,400m Men,2020,Tokyo,Japan,Steven Gardiner,Anthony Zambrano,Kirani James,Bahamas,Colombia,Grenada,43.85,44.00,43.03,Track and Field,Athletics
4,800m Men,2020,Tokyo,Japan,Emmanuel Korir,Ferguson Rotich,Patryk Dobek,Kenya,Kenya,Poland,1:45.06,1:42.34,1:40.91,Track and Field,Athletics
5,1500m Men,2020,Tokyo,Japan,Jakob Ingebrigtsen,Timothy Cheruiyot,Josh Kerr,Norway,Kenya,Great Britain,3:28.32,3:28.81,3:26.00,Track and Field,Athletics
6,5000m Men,2020,Tokyo,Japan,Joshua Cheptegei,Paul Chelimo,Nicholas Kimeli,Uganda,United States,Kenya,12:58.15,12:35.36,12:35.36,Track and Field,Athletics
7,10000m Men,2020,Tokyo,Japan,Selemon Barega,Joshua Cheptegei,Jacob Kiplimo,Ethiopia,Uganda,Uganda,27:43.22,26:11.00,26:11.00,Track and Field,Athletics
8,Marathon Men,2020,Tokyo,Japan,Eliud Kipchoge,Abdi Nageeye,Basil Abdi,Kenya,Netherlands,Belgium,2:08:38,2:01:39,2:01:39,Road Race,Athletics
9,110m Hurdles Men,2020,Tokyo,Japan,Hansle Parchment,Grant Holloway,Ronald Levy,Jamaica,United States,Jamaica,13.04,12.80,12.80,Track and Field,Athletics
10,400m Hurdles Men,2020,Tokyo,Japan,Karsten Warholm,Rai Benjamin,Alison Dos Santos,Norway,United States,Brazil,45.94,46.17,45.94,Track and Field,Athletics
11,3000m Steeplechase Men,2020,Tokyo,Japan,Soufiane El Bakkali,Lamecha Girma,Benjamin Kigen,Morocco,Ethiopia,Kenya,8:08.90,7:53.63,7:53.63,Track and Field,Athletics
12,4x100m Relay Men,2020,Tokyo,Japan,Italy,Great Britain,Canada,Italy,Great Britain,Canada,37.50,36.84,36.84,Relay,Athletics
13,4x400m Relay Men,2020,Tokyo,Japan,United States,Netherlands,Botswana,United States,Netherlands,Botswana,2:55.70,2:54.29,2:54.29,Relay,Athletics
14,High Jump Men,2020,Tokyo,Japan,Gianmarco Tamberi,Mutaz Essa Barshim,Maksim Nedasekau,Italy,Qatar,Belarus,2.37m,2.45m,2.45m,Field Event,Athletics
15,Pole Vault Men,2020,Tokyo,Japan,Armand Duplantis,Christopher Nilsen,Thiago Braz,Sweden,United States,Brazil,6.02m,6.18m,6.18m,Field Event,Athletics
16,Long Jump Men,2020,Tokyo,Japan,Miltiadis Tentoglou,Juan Miguel Echevarria,Maykel Masso,Greece,Cuba,Cuba,8.41m,8.95m,8.95m,Field Event,Athletics
17,Triple Jump Men,2020,Tokyo,Japan,Pedro Pichardo,Zhu Yaming,Hugues Fabrice Zango,Portugal,China,Burkina Faso,17.98m,18.29m,18.29m,Field Event,Athletics
18,Shot Put Men,2020,Tokyo,Japan,Ryan Crouser,Joe Kovacs,Tom Walsh,United States,United States,New Zealand,23.30m,23.37m,23.37m,Field Event,Athletics
19,Discus Throw Men,2020,Tokyo,Japan,Daniel Stahl,Simon Pettersson,Lukas Weisshaidinger,Sweden,Sweden,Austria,68.90m,74.08m,74.08m,Field Event,Athletics
20,Hammer Throw Men,2020,Tokyo,Japan,Wojciech Nowicki,Eivind Henriksen,Paweł Fajdek,Poland,Norway,Poland,82.52m,86.74m,86.74m,Field Event,Athletics
21,Javelin Throw Men,2020,Tokyo,Japan,Neeraj Chopra,Jakub Vadlejch,Vítězslav Veselý,India,Czech Republic,Czech Republic,87.58m,98.48m,98.48m,Field Event,Athletics
22,Decathlon Men,2020,Tokyo,Japan,Damian Warner,Kevin Mayer,Ashley Moloney,Canada,France,Australia,9018 points,9126 points,9126 points,Combined Event,Athletics
23,20km Race Walk Men,2020,Tokyo,Japan,Massimo Stano,Koki Ikeda,Toshikazu Yamanishi,Italy,Japan,Japan,1:21:05,1:16:36,1:16:36,Race Walk,Athletics
24,50km Race Walk Men,2020,Tokyo,Japan,Dawid Tomala,Jonathan Hilbert,Evan Dunfee,Poland,Germany,Canada,3:50:08,3:32:33,3:32:33,Race Walk,Athletics
25,100m Women,2020,Tokyo,Japan,Elaine Thompson-Herah,Shelly-Ann Fraser-Pryce,Shericka Jackson,Jamaica,Jamaica,Jamaica,10.61,10.49,10.49,Track and Field,Athletics
26,200m Women,2020,Tokyo,Japan,Elaine Thompson-Herah,Christine Mboma,Gabrielle Thomas,Jamaica,Namibia,United States,21.53,21.34,21.34,Track and Field,Athletics
27,400m Women,2020,Tokyo,Japan,Shaunae Miller-Uibo,Marileidy Paulino,Allyson Felix,Bahamas,Dominican Republic,United States,48.36,47.60,47.60,Track and Field,Athletics
28,800m Women,2020,Tokyo,Japan,Athing Mu,Keely Hodgkinson,Raevyn Rogers,United States,Great Britain,United States,1:55.21,1:53.28,1:53.28,Track and Field,Athletics
29,1500m Women,2020,Tokyo,Japan,Faith Kipyegon,Laura Muir,Sifan Hassan,Kenya,Great Britain,Netherlands,3:53.11,3:49.11,3:49.11,Track and Field,Athletics
30,5000m Women,2020,Tokyo,Japan,Sifan Hassan,Hellen Obiri,Gudaf Tsegay,Netherlands,Kenya,Ethiopia,14:36.79,14:06.62,14:06.62,Track and Field,Athletics
