# Airline Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Airline_Name,Country,Hub_Airport,Fleet_Size,Destinations,Passengers_Millions_2023,Revenue_Billions_USD,Employees,Founded_Year,Safety_Rating,Alliance,Main_Aircraft_Types
1,American Airlines,United States,Dallas-Fort Worth,950,350,200,45.0,130000,1930,7,OneWorld,Boeing 737,787,777
2,Delta Air Lines,United States,Atlanta,900,325,180,50.0,100000,1928,8,SkyTeam,Airbus A320,330,350
3,United Airlines,United States,Chicago,800,300,160,48.0,90000,1926,7,Star Alliance,Boeing 737,787,777
4,Southwest Airlines,United States,Dallas Love Field,750,100,150,25.0,60000,1971,8,None,Boeing 737
5,Lufthansa,Germany,Frankfurt,300,200,100,35.0,100000,1953,8,Star Alliance,Airbus A320,330,350
6,Air France,France,Paris Charles de Gaulle,250,200,80,20.0,80000,1933,7,SkyTeam,Airbus A320,330,350
7,British Airways,United Kingdom,London Heathrow,280,200,90,25.0,35000,1974,8,OneWorld,Boeing 777,787,Airbus A320
8,Emirates,United Arab Emirates,Dubai,260,150,80,30.0,100000,1985,8,None,Airbus A380,777,350
9,Qatar Airways,Qatar,Doha,200,150,60,15.0,50000,1993,8,OneWorld,Airbus A350,777,787
10,Singapore Airlines,Singapore,Singapore Changi,150,100,50,12.0,25000,1972,9,Star Alliance,Airbus A350,777,787
11,Turkish Airlines,Turkey,Istanbul,350,300,70,18.0,40000,1933,7,Star Alliance,Boeing 737,777,Airbus A320
12,Japan Airlines,Japan,Tokyo Haneda,150,100,40,10.0,30000,1951,8,OneWorld,Boeing 777,787,Airbus A350
13,All Nippon Airways,Japan,Tokyo Narita,200,100,50,12.0,35000,1952,8,Star Alliance,Boeing 777,787,Airbus A320
14,Air China,China,Beijing Capital,400,200,100,20.0,80000,1988,7,Star Alliance,Boeing 737,777,Airbus A320
15,China Eastern Airlines,China,Shanghai Pudong,350,200,80,15.0,70000,1988,7,SkyTeam,Boeing 737,777,Airbus A320
16,China Southern Airlines,China,Guangzhou Baiyun,400,200,90,18.0,75000,1988,7,None,Boeing 737,777,Airbus A320
17,Korean Air,South Korea,Seoul Incheon,150,100,30,8.0,20000,1962,8,SkyTeam,Boeing 777,787,Airbus A330
18,Asiana Airlines,South Korea,Seoul Incheon,100,80,20,5.0,15000,1988,7,Star Alliance,Boeing 777,787,Airbus A330
19,Thai Airways,Thailand,Bangkok Suvarnabhumi,100,80,25,6.0,25000,1960,7,Star Alliance,Boeing 777,787,Airbus A350
20,Malaysia Airlines,Malaysia,Kuala Lumpur,100,80,20,4.0,20000,1937,7,OneWorld,Boeing 737,777,Airbus A330
21,Garuda Indonesia,Indonesia,Jakarta Soekarno-Hatta,150,100,30,7.0,30000,1949,7,SkyTeam,Boeing 737,777,Airbus A330
22,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
23,Philippine Airlines,Philippines,Manila Ninoy Aquino,80,60,15,3.0,15000,1941,6,None,Boeing 777,787,Airbus A330
24,Cathay Pacific,Hong Kong,Hong Kong International,150,100,35,8.0,25000,1946,8,OneWorld,Boeing 777,787,Airbus A350
25,EVA Air,Taiwan,Taipei Taoyuan,100,80,20,4.0,15000,1989,8,Star Alliance,Boeing 777,787,Airbus A330
26,Air India,India,Delhi Indira Gandhi,150,100,40,8.0,30000,1932,6,Star Alliance,Boeing 777,787,Airbus A320
27,IndiGo,India,Delhi Indira Gandhi,300,80,80,12.0,25000,2006,7,None,Airbus A320,321
28,SpiceJet,India,Mumbai,100,60,20,3.0,15000,2005,6,None,Boeing 737,Airbus A320
29,Jet Airways,India,Mumbai,100,80,15,2.0,12000,1993,6,None,Boeing 737,777
30,AirAsia,Malaysia,Kuala Lumpur,200,100,50,8.0,20000,1993,7,None,Airbus A320,321
31,Thai AirAsia,Thailand,Bangkok Don Mueang,80,60,20,3.0,8000,2004,7,None,Airbus A320
32,Indonesia AirAsia,Indonesia,Jakarta Soekarno-Hatta,100,80,25,4.0,12000,1999,7,None,Airbus A320
