# Video Game Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Title,Genre,Release_Year,Platform,Developer,Publisher,Sales_Millions
1,Minecraft,Sandbox,2011,PC,Notch Studios,Microsoft,300.0
2,Grand Theft Auto V,Action,2013,PlayStation 3,Rockstar North,Rockstar Games,190.0
3,Tetris,Puzzle,1984,Game Boy,Alexey Pajitnov,Electronic Arts,520.0
4,Wii Sports,Sports,2006,Nintendo Wii,Nintendo,Nintendo,82.9
5,PlayerUnknown's Battlegrounds,Action,2017,PC,PUBG Corporation,PUBG Corporation,75.0
6,Super Mario Bros,Platform,1985,Nintendo Entertainment System,Nintendo,Nintendo,40.2
7,Pokemon Red/Green/Blue,RPG,1996,Game Boy,Game Freak,Nintendo,31.4
8,Pac-Man,Arcade,1980,Arcade,Namco,Namco,40.0
9,Call of Duty: Modern Warfare 3,Shooter,2011,PlayStation 3,Infinity Ward,Activision,30.7
10,Call of Duty: Black Ops,Shooter,2010,PlayStation 3,Treyarch,Activision,30.7
11,Call of Duty: Black Ops II,Shooter,2012,PlayStation 3,Treyarch,Activision,30.0
12,Call of Duty: Modern Warfare 2,Shooter,2009,PlayStation 3,Infinity Ward,Activision,30.0
13,Call of Duty: Black Ops III,Shooter,2015,PlayStation 4,Treyarch,Activision,26.0
14,Call of Duty: WWII,Shooter,2017,PlayStation 4,Sledgehammer Games,Activision,25.0
15,Call of Duty: Black Ops 4,Shooter,2018,PlayStation 4,Treyarch,Activision,24.0
16,Call of Duty: Modern Warfare,Shooter,2019,PlayStation 4,Infinity Ward,Activision,30.0
17,Call of Duty: Black Ops Cold War,Shooter,2020,PlayStation 5,Treyarch,Activision,25.0
18,Call of Duty: Vanguard,Shooter,2021,PlayStation 5,Sledgehammer Games,Activision,20.0
19,Call of Duty: Modern Warfare II,Shooter,2022,PlayStation 5,Infinity Ward,Activision,25.0
20,Call of Duty: Modern Warfare III,Shooter,2023,PlayStation 5,Sledgehammer Games,Activision,15.0
21,Grand Theft Auto: San Andreas,Action,2004,PlayStation 2,Rockstar North,Rockstar Games,27.5
22,Grand Theft Auto IV,Action,2008,PlayStation 3,Rockstar North,Rockstar Games,25.0
23,Grand Theft Auto: Vice City,Action,2002,PlayStation 2,Rockstar North,Rockstar Games,20.0
24,Grand Theft Auto III,Action,2001,PlayStation 2,Rockstar North,Rockstar Games,17.5
25,Grand Theft Auto: Liberty City Stories,Action,2005,PlayStation Portable,Rockstar Leeds,Rockstar Games,8.0
26,Grand Theft Auto: Vice City Stories,Action,2006,PlayStation Portable,Rockstar Leeds,Rockstar Games,4.5
